Bin number;Particle Size;Average volume  [æm3];Density/weighting [g/cm3];Respiratory Factor PM 1;Respiratory Factor PM 2.5;Respiratory Factor PM 10;Volume Particle more accurately
0;0.35-0.46;0.04;1.65;97.53;98.8;98.8;0.0348
1;0.46-0.66;0.09;1.65;90.84;98.8;98.35;0.092
2;0.66-1.0;0.3;1.65;66.06;97.25;97.57;0.2994
3;1.0-1.3;0.8;1.65;35.3;93.99;96.67;0.7963
4;1.3-1.7;1.77;1.65;15.18;85.76;95.7;18
5;1.7-2.3;4.19;1.65;4.12;66.89;94.34;42
6;2.3-3.0;9.74;1.65;0.75;41.03;92.6;9.744
7;3.0-4.0;22.45;1.65;0.09;18.41;90.09;22.4493
8;4.0-5.2;50.97;1.65;7.88E-03;5.83;85.5;50.965
9;5.2-6.5;104.83;1.65;7.11E-04;1.53;77.27;104.8253
10;6.5-8;199.53;1.65;7.25E-05;0.36;64.75;199.532
11;8.0-10;381.7;1.65;6.72E-06;0.06;47.68;381.7035
12;10-12;696.91;1.65;7.18E-07;0.01;30.87;696.91
13;12-14;1150.35;1.65;1.12E-07;2.00E-03;18.87;1150.3465
14;14-16;1767.15;1.65;2.30E-08;4.53E-04;11.16;1767.1459
15;16-18;2572.44;1.65;7.37E-11;3.98E-05;1.21;2572.4408
16;18-20;3591.36;1.65;1.75E-09;3.50E-05;3.74;3591.364
17;20-22;4849.05;1.65;6.02E-10;1.16E-05;2.16;4849.0483
18;22-25;6795.2;1.65;1.84E-10;3.29E-06;1.09;6795.1995
19;25-28;9743.98;1.65;5.30E-11;8.55E-07;0.49;9743.9769
20;28-31;13442.02;1.65;1.78E-11;2.57E-07;0.22;13442.0241
21;31-34;17974.16;1.65;6.77E-12;8.75E-08;0.1;17974.1642
22;34-37;23425.22;1.65;2.84E-12;3.29E-08;5.02E-02;23425.2202
23;37-40;29880.02;1.65;8.98E-13;8.92E-09;1.76E-02;29880.015
