Data Measurement of Sensor: SPS30 
Start Time: 10.12.2019 12:57:31 
Sensortype: Particle Sensor 
Timestamp; ; Mass PM1.0 [ug/m^3]; Mass PM2.5 [ug/m^3]; Mass PM4.0 [ug/m^3]; Mass PM10.0 [ug/m^3]; Number PM0.5 [#/cm^3]; Number PM1.0 [#/cm^3]; Number PM2.5 [#/cm^3]; Number PM4.0 [#/cm^3]; Number PM10.0 [#/cm^3]; Typical Particle Size [um];
10.12.2019; 12:58:08; 2.471965551e+00 ; 2.712502718e+00 ; 2.792215824e+00 ; 2.808158159e+00 ; 1.685058022e+01 ; 1.954803467e+01 ; 1.972198486e+01 ; 1.974810219e+01 ; 1.975588036e+01 ; 4.053077996e-01 ;
10.12.2019; 13:13:08; 1.641089678e+00 ; 3.330842257e+00 ; 4.622074604e+00 ; 4.880320549e+00 ; 7.982939720e+00 ; 1.148315144e+01 ; 1.299371433e+01 ; 1.327006054e+01 ; 1.331408978e+01 ; 9.380556941e-01 ;
10.12.2019; 13:28:07; 8.374833465e-01 ; 1.722663403e+00 ; 2.400110006e+00 ; 2.535600185e+00 ; 4.023962498e+00 ; 5.837767601e+00 ; 6.629486084e+00 ; 6.774381161e+00 ; 6.797432899e+00 ; 7.469890714e-01 ;
10.12.2019; 13:43:08; 7.744191289e-01 ; 1.296246648e+00 ; 1.682558656e+00 ; 1.759821177e+00 ; 4.346819401e+00 ; 5.687952995e+00 ; 6.149533272e+00 ; 6.233293056e+00 ; 6.247071743e+00 ; 7.489730716e-01 ;
10.12.2019; 13:58:08; 8.488199711e-01 ; 1.150682330e+00 ; 1.355511427e+00 ; 1.396477222e+00 ; 5.326446533e+00 ; 6.498217106e+00 ; 6.757873058e+00 ; 6.803956985e+00 ; 6.812197208e+00 ; 6.524143815e-01 ;
10.12.2019; 14:13:08; 5.881372094e-01 ; 1.402807355e+00 ; 2.034785986e+00 ; 2.161181688e+00 ; 2.440544844e+00 ; 3.911135674e+00 ; 4.643141270e+00 ; 4.777575016e+00 ; 4.798666000e+00 ; 1.041265726e+00 ;
10.12.2019; 14:28:08; 8.627122641e-01 ; 1.145702720e+00 ; 1.334612608e+00 ; 1.372394562e+00 ; 5.467404842e+00 ; 6.627828121e+00 ; 6.870019913e+00 ; 6.912828445e+00 ; 6.920599937e+00 ; 5.465664268e-01 ;
10.12.2019; 14:43:08; 2.045531988e+00 ; 3.460020542e+00 ; 4.509668827e+00 ; 4.719598770e+00 ; 1.139560318e+01 ; 1.498871899e+01 ; 1.624088097e+01 ; 1.646824265e+01 ; 1.650555229e+01 ; 7.694880366e-01 ;
10.12.2019; 14:58:08; 1.147769570e+00 ; 2.932222605e+00 ; 4.323041439e+00 ; 4.601204395e+00 ; 4.317103863e+00 ; 7.442650795e+00 ; 9.048613548e+00 ; 9.343904495e+00 ; 9.390008926e+00 ; 1.309149981e+00 ;
10.12.2019; 15:13:08; 1.462105155e+00 ; 1.811321974e+00 ; 2.025955439e+00 ; 2.068882227e+00 ; 9.536704063e+00 ; 1.136004353e+01 ; 1.165162086e+01 ; 1.170209789e+01 ; 1.171195316e+01 ; 5.008704662e-01 ;
10.12.2019; 15:28:08; 2.117263556e+00 ; 3.026630640e+00 ; 3.664137363e+00 ; 3.791638851e+00 ; 1.295816898e+01 ; 1.605613327e+01 ; 1.684642029e+01 ; 1.698784828e+01 ; 1.701237488e+01 ; 5.798742771e-01 ;
10.12.2019; 15:43:08; 1.272810102e+00 ; 2.096097231e+00 ; 2.703209162e+00 ; 2.824631691e+00 ; 7.210001945e+00 ; 9.382107735e+00 ; 1.010940361e+01 ; 1.024125195e+01 ; 1.026302242e+01 ; 7.370690703e-01 ;
10.12.2019; 15:58:08; 8.959773183e-01 ; 1.980795383e+00 ; 2.817094088e+00 ; 2.984353781e+00 ; 4.020552635e+00 ; 6.110905647e+00 ; 7.083578110e+00 ; 7.261921406e+00 ; 7.290083408e+00 ; 8.320888281e-01 ;
10.12.2019; 16:13:08; 8.803412318e-01 ; 1.080582380e+00 ; 1.201701760e+00 ; 1.225925446e+00 ; 5.764651775e+00 ; 6.849732399e+00 ; 7.016152382e+00 ; 7.044848442e+00 ; 7.050529957e+00 ; 4.871868491e-01 ;
10.12.2019; 16:28:08; 8.531079888e-01 ; 1.464407802e+00 ; 1.919471502e+00 ; 2.010483980e+00 ; 4.711695671e+00 ; 6.230308533e+00 ; 6.772023201e+00 ; 6.870463848e+00 ; 6.886567593e+00 ; 7.549517155e-01 ;
10.12.2019; 16:43:08; 1.399691701e+00 ; 1.706546068e+00 ; 1.889797211e+00 ; 1.926447511e+00 ; 9.187329292e+00 ; 1.090192699e+01 ; 1.115602303e+01 ; 1.119969845e+01 ; 1.120843601e+01 ; 5.424687862e-01 ;
10.12.2019; 16:58:08; 1.571334600e+00 ; 1.821558237e+00 ; 1.950995207e+00 ; 1.976882577e+00 ; 1.050723648e+01 ; 1.233088112e+01 ; 1.253019524e+01 ; 1.256326771e+01 ; 1.257068729e+01 ; 5.005010962e-01 ;
10.12.2019; 17:13:08; 8.675747514e-01 ; 1.222096682e+00 ; 1.468672276e+00 ; 1.517987490e+00 ; 5.347719669e+00 ; 6.596880436e+00 ; 6.904204369e+00 ; 6.959092140e+00 ; 6.968682289e+00 ; 5.393117070e-01 ;
10.12.2019; 17:28:08; 1.912739992e+00 ; 3.331134558e+00 ; 4.390119553e+00 ; 4.601915836e+00 ; 1.049700737e+01 ; 1.392218208e+01 ; 1.518034267e+01 ; 1.540914726e+01 ; 1.544646835e+01 ; 1.003256440e+00 ;
10.12.2019; 17:43:08; 1.058366537e+00 ; 1.601477146e+00 ; 1.991808414e+00 ; 2.069875002e+00 ; 6.295702457e+00 ; 7.939578056e+00 ; 8.415351868e+00 ; 8.501038551e+00 ; 8.515546799e+00 ; 6.205450296e-01 ;
10.12.2019; 17:58:08; 2.062142849e+00 ; 3.417550325e+00 ; 4.418610573e+00 ; 4.618822098e+00 ; 1.163608456e+01 ; 1.517935848e+01 ; 1.637734795e+01 ; 1.659460831e+01 ; 1.663043022e+01 ; 6.981786489e-01 ;
10.12.2019; 18:13:08; 2.591251373e+00 ; 3.640376806e+00 ; 4.368949890e+00 ; 4.514664650e+00 ; 1.599674988e+01 ; 1.971292305e+01 ; 2.062193871e+01 ; 2.078423119e+01 ; 2.081262779e+01 ; 6.128321290e-01 ;
10.12.2019; 18:28:08; 1.724907756e+00 ; 3.890723228e+00 ; 5.563345909e+00 ; 5.897871017e+00 ; 7.573359013e+00 ; 1.168897343e+01 ; 1.363206291e+01 ; 1.398849869e+01 ; 1.404468060e+01 ; 1.158433795e+00 ;
10.12.2019; 18:43:08; 2.315774441e+00 ; 3.423662901e+00 ; 4.212605476e+00 ; 4.370394230e+00 ; 1.393565750e+01 ; 1.745090675e+01 ; 1.841855812e+01 ; 1.859242058e+01 ; 1.862212563e+01 ; 7.410003543e-01 ;
10.12.2019; 18:58:08; 1.298560500e+00 ; 1.847712159e+00 ; 2.231762886e+00 ; 2.308573246e+00 ; 7.990401268e+00 ; 9.855930328e+00 ; 1.033280659e+01 ; 1.041809464e+01 ; 1.043292046e+01 ; 6.501094103e-01 ;
10.12.2019; 19:13:08; 1.870732069e+00 ; 2.046139479e+00 ; 2.101101637e+00 ; 2.112093925e+00 ; 1.276606083e+01 ; 1.480001640e+01 ; 1.492561817e+01 ; 1.494425869e+01 ; 1.494997787e+01 ; 4.159917235e-01 ;
10.12.2019; 19:28:08; 4.021285534e+00 ; 7.056896687e+00 ; 9.326672554e+00 ; 9.780626297e+00 ; 2.187198830e+01 ; 2.921719360e+01 ; 3.191120529e+01 ; 3.240131378e+01 ; 3.248114395e+01 ; 7.670407891e-01 ;
10.12.2019; 19:43:08; 2.644448996e+00 ; 3.010590076e+00 ; 3.183935881e+00 ; 3.218605042e+00 ; 1.779820633e+01 ; 2.080572701e+01 ; 2.109103775e+01 ; 2.113739777e+01 ; 2.114847946e+01 ; 5.344890356e-01 ;
10.12.2019; 19:58:08; 2.446835756e+00 ; 3.397845268e+00 ; 4.053728104e+00 ; 4.184904099e+00 ; 1.520572853e+01 ; 1.865300369e+01 ; 1.947521210e+01 ; 1.962174225e+01 ; 1.964755249e+01 ; 6.130192876e-01 ;
10.12.2019; 20:13:08; 2.671821356e+00 ; 4.135694504e+00 ; 5.196184635e+00 ; 5.408281326e+00 ; 1.569290447e+01 ; 1.995263863e+01 ; 2.123833084e+01 ; 2.147035027e+01 ; 2.150934029e+01 ; 8.449711204e-01 ;
10.12.2019; 20:28:08; 4.022089005e+00 ; 5.391839981e+00 ; 6.313363075e+00 ; 6.497668743e+00 ; 2.536614227e+01 ; 3.085065269e+01 ; 3.202574921e+01 ; 3.223386765e+01 ; 3.227137375e+01 ; 7.243767381e-01 ;
10.12.2019; 20:43:08; 2.809054613e+00 ; 3.685890198e+00 ; 4.264897823e+00 ; 4.380698681e+00 ; 1.788320160e+01 ; 2.162425613e+01 ; 2.237218857e+01 ; 2.250402641e+01 ; 2.252819061e+01 ; 7.038007379e-01 ;
10.12.2019; 20:58:08; 4.919125557e+00 ; 6.455607891e+00 ; 7.470353127e+00 ; 7.673302174e+00 ; 3.131439590e+01 ; 3.786673355e+01 ; 3.917737579e+01 ; 3.940841293e+01 ; 3.945076370e+01 ; 7.046594620e-01 ;
10.12.2019; 21:13:08; 1.168142700e+01 ; 1.458219910e+01 ; 1.638661575e+01 ; 1.674749374e+01 ; 7.593013000e+01 ; 9.065245056e+01 ; 9.308293152e+01 ; 9.350498962e+01 ; 9.358653259e+01 ; 6.797178984e-01 ;
10.12.2019; 21:28:08; 1.104760742e+01 ; 1.291594601e+01 ; 1.391426468e+01 ; 1.411392593e+01 ; 7.364473724e+01 ; 8.658842468e+01 ; 8.808917999e+01 ; 8.834019470e+01 ; 8.839510345e+01 ; 5.735231042e-01 ;
10.12.2019; 21:43:08; 4.676849842e+00 ; 5.710324287e+00 ; 6.329238892e+00 ; 6.453022480e+00 ; 3.066799927e+01 ; 3.641910172e+01 ; 3.727557373e+01 ; 3.742290115e+01 ; 3.745229721e+01 ; 6.283600330e-01 ;
10.12.2019; 21:58:08; 5.674137592e+00 ; 6.794590473e+00 ; 7.437521935e+00 ; 7.566108227e+00 ; 3.749499893e+01 ; 4.431536865e+01 ; 4.523284531e+01 ; 4.538899994e+01 ; 4.542128754e+01 ; 6.280649304e-01 ;
10.12.2019; 22:13:08; 2.453305244e+00 ; 4.194517136e+00 ; 5.489626408e+00 ; 5.748647690e+00 ; 1.357349014e+01 ; 1.793299294e+01 ; 1.947556877e+01 ; 1.975583076e+01 ; 1.980171776e+01 ; 8.947031498e-01 ;
10.12.2019; 22:28:08; 3.771586657e+00 ; 5.230037212e+00 ; 6.234994888e+00 ; 6.435986042e+00 ; 2.344254494e+01 ; 2.875927353e+01 ; 3.001984406e+01 ; 3.024444962e+01 ; 3.028404427e+01 ; 6.633501053e-01 ;
10.12.2019; 22:43:08; 3.884477854e+00 ; 5.460711956e+00 ; 6.555744648e+00 ; 6.774749756e+00 ; 2.397100449e+01 ; 2.954769325e+01 ; 3.091357803e+01 ; 3.115745735e+01 ; 3.120012093e+01 ; 7.347142696e-01 ;
10.12.2019; 22:58:08; 2.973313332e+00 ; 3.416678667e+00 ; 3.637229681e+00 ; 3.681339502e+00 ; 1.994901657e+01 ; 2.336217499e+01 ; 2.371186256e+01 ; 2.376935196e+01 ; 2.378261948e+01 ; 5.875276923e-01 ;
10.12.2019; 23:13:08; 4.059609413e+00 ; 6.713653088e+00 ; 8.672835350e+00 ; 9.064669609e+00 ; 2.294484520e+01 ; 2.989657402e+01 ; 3.224197006e+01 ; 3.266726303e+01 ; 3.273742294e+01 ; 8.557031751e-01 ;
10.12.2019; 23:28:08; 2.398165226e+00 ; 4.624481678e+00 ; 6.314759731e+00 ; 6.652815819e+00 ; 1.216937447e+01 ; 1.701791000e+01 ; 1.900380898e+01 ; 1.936650848e+01 ; 1.942468643e+01 ; 1.012102723e+00 ;
10.12.2019; 23:43:08; 2.129133701e+00 ; 2.590670586e+00 ; 2.865186930e+00 ; 2.920090437e+00 ; 1.398035717e+01 ; 1.658852386e+01 ; 1.697026825e+01 ; 1.703581810e+01 ; 1.704898071e+01 ; 5.462634563e-01 ;
10.12.2019; 23:58:08; 1.882176280e+00 ; 2.286299229e+00 ; 2.525833607e+00 ; 2.573740721e+00 ; 1.237077808e+01 ; 1.466821575e+01 ; 1.500214863e+01 ; 1.505943966e+01 ; 1.507097530e+01 ; 5.211223364e-01 ;
11.12.2019; 00:13:08; 1.388677478e+00 ; 2.283166647e+00 ; 2.942515612e+00 ; 3.074385643e+00 ; 7.882514477e+00 ; 1.023984337e+01 ; 1.102993584e+01 ; 1.117315006e+01 ; 1.119680786e+01 ; 9.092307687e-01 ;
11.12.2019; 00:28:08; 1.890141606e+00 ; 3.085156918e+00 ; 3.964406729e+00 ; 4.140256882e+00 ; 1.077249813e+01 ; 1.395950031e+01 ; 1.501440334e+01 ; 1.520552921e+01 ; 1.523716164e+01 ; 9.560481310e-01 ;
11.12.2019; 00:43:08; 2.627344847e+00 ; 3.470980644e+00 ; 4.031568527e+00 ; 4.143686295e+00 ; 1.668094063e+01 ; 2.020247269e+01 ; 2.092346191e+01 ; 2.105075455e+01 ; 2.107395554e+01 ; 6.043545604e-01 ;
11.12.2019; 00:58:08; 4.354022026e+00 ; 6.202369690e+00 ; 7.495794773e+00 ; 7.754477978e+00 ; 2.669318771e+01 ; 3.303965378e+01 ; 3.464503098e+01 ; 3.493220139e+01 ; 3.498209381e+01 ; 6.207002997e-01 ;
11.12.2019; 01:13:08; 3.887121916e+00 ; 4.550661564e+00 ; 4.906908035e+00 ; 4.978157520e+00 ; 2.590298462e+01 ; 3.046027374e+01 ; 3.099394417e+01 ; 3.108330727e+01 ; 3.110278130e+01 ; 5.473088026e-01 ;
11.12.2019; 01:28:08; 3.194817066e+00 ; 4.589813232e+00 ; 5.570239067e+00 ; 5.766324043e+00 ; 1.950908661e+01 ; 2.420540428e+01 ; 2.541870117e+01 ; 2.563597298e+01 ; 2.567356491e+01 ; 6.936845183e-01 ;
11.12.2019; 01:43:08; 2.482347012e+00 ; 3.374815941e+00 ; 3.981667280e+00 ; 4.103038311e+00 ; 1.556058884e+01 ; 1.899437523e+01 ; 1.976255226e+01 ; 1.989896584e+01 ; 1.992331123e+01 ; 6.408442259e-01 ;
11.12.2019; 01:58:08; 2.901439905e+00 ; 4.010522842e+00 ; 4.773196697e+00 ; 4.925730705e+00 ; 1.804877853e+01 ; 2.213677788e+01 ; 2.309476852e+01 ; 2.326537514e+01 ; 2.329550362e+01 ; 7.701083422e-01 ;
11.12.2019; 02:13:08; 2.568494081e+00 ; 3.230453730e+00 ; 3.646743774e+00 ; 3.730001211e+00 ; 1.664864731e+01 ; 1.990894127e+01 ; 2.046536064e+01 ; 2.056224823e+01 ; 2.058079147e+01 ; 6.729043126e-01 ;
11.12.2019; 02:28:08; 2.084669352e+00 ; 3.678139925e+00 ; 4.870822430e+00 ; 5.109358311e+00 ; 1.129515171e+01 ; 1.512712193e+01 ; 1.654175949e+01 ; 1.679918671e+01 ; 1.684107018e+01 ; 8.507642746e-01 ;
11.12.2019; 02:43:08; 3.821048975e+00 ; 4.974587917e+00 ; 5.730474949e+00 ; 5.881651878e+00 ; 2.441571045e+01 ; 2.945292091e+01 ; 3.043457031e+01 ; 3.060726738e+01 ; 3.063915253e+01 ; 7.165604830e-01 ;
11.12.2019; 02:58:08; 4.393085003e+00 ; 5.005826950e+00 ; 5.297431469e+00 ; 5.355752945e+00 ; 2.956168365e+01 ; 3.455908585e+01 ; 3.503715515e+01 ; 3.511491776e+01 ; 3.513344955e+01 ; 5.740438104e-01 ;
11.12.2019; 03:13:08; 1.913971186e+00 ; 3.212918282e+00 ; 4.175173759e+00 ; 4.367625237e+00 ; 1.072776890e+01 ; 1.404869938e+01 ; 1.519792461e+01 ; 1.540650463e+01 ; 1.544079304e+01 ; 7.404657006e-01 ;
11.12.2019; 03:28:08; 3.400076389e+00 ; 4.878506660e+00 ; 5.916911125e+00 ; 6.124592781e+00 ; 2.077521896e+01 ; 2.576658821e+01 ; 2.705218506e+01 ; 2.728237915e+01 ; 2.732222557e+01 ; 7.762708068e-01 ;
11.12.2019; 03:43:08; 9.130744934e-01 ; 1.401457191e+00 ; 1.754253387e+00 ; 1.824812651e+00 ; 5.390389919e+00 ; 6.830268860e+00 ; 7.258810043e+00 ; 7.336088181e+00 ; 7.349110126e+00 ; 6.587085128e-01 ;
11.12.2019; 03:58:08; 9.192968011e-01 ; 1.332612276e+00 ; 1.624365330e+00 ; 1.682716131e+00 ; 5.587584972e+00 ; 6.953382015e+00 ; 7.313363552e+00 ; 7.377900600e+00 ; 7.389019489e+00 ; 5.725827813e-01 ;
11.12.2019; 04:13:08; 1.197472334e+00 ; 2.764575481e+00 ; 3.977176905e+00 ; 4.219696522e+00 ; 5.121711731e+00 ; 8.052700996e+00 ; 9.459576607e+00 ; 9.717782021e+00 ; 9.758397102e+00 ; 9.327707887e-01 ;
11.12.2019; 04:28:08; 1.081238151e+00 ; 3.090470552e+00 ; 4.666302204e+00 ; 4.981467724e+00 ; 3.382635832e+00 ; 6.690665722e+00 ; 8.502797127e+00 ; 8.836533546e+00 ; 8.888303757e+00 ; 1.321067810e+00 ;
11.12.2019; 04:43:08; 5.428217053e-01 ; 1.180298090e+00 ; 1.670977354e+00 ; 1.769113064e+00 ; 2.478400946e+00 ; 3.721543074e+00 ; 4.292819023e+00 ; 4.397524357e+00 ; 4.414083481e+00 ; 8.299905658e-01 ;
11.12.2019; 04:58:08; 7.364535332e-01 ; 1.186668515e+00 ; 1.516788244e+00 ; 1.582812071e+00 ; 4.230408669e+00 ; 5.454061508e+00 ; 5.851043224e+00 ; 5.922905445e+00 ; 5.934838295e+00 ; 7.601951361e-01 ;
11.12.2019; 05:13:08; 5.135021210e-01 ; 1.211072206e+00 ; 1.751750112e+00 ; 1.859885573e+00 ; 2.224984646e+00 ; 3.428207874e+00 ; 4.054813862e+00 ; 4.169864178e+00 ; 4.187930584e+00 ; 7.531846762e-01 ;
11.12.2019; 05:28:08; 5.288125873e-01 ; 1.023816705e+00 ; 1.399841785e+00 ; 1.475046754e+00 ; 2.678732634e+00 ; 3.748580933e+00 ; 4.190211296e+00 ; 4.270881176e+00 ; 4.283812523e+00 ; 7.208154798e-01 ;
11.12.2019; 05:43:08; 5.185334086e-01 ; 1.347357273e+00 ; 1.994027615e+00 ; 2.123361349e+00 ; 1.906731367e+00 ; 3.340277910e+00 ; 4.086465359e+00 ; 4.223706245e+00 ; 4.245110512e+00 ; 9.484783411e-01 ;
11.12.2019; 05:58:08; 5.649992228e-01 ; 1.319879413e+00 ; 1.904545188e+00 ; 2.021478415e+00 ; 2.393825769e+00 ; 3.784360170e+00 ; 4.462275505e+00 ; 4.586723804e+00 ; 4.606280327e+00 ; 7.642724514e-01 ;
11.12.2019; 06:13:08; 3.983435333e-01 ; 9.598618150e-01 ; 1.395785689e+00 ; 1.482970357e+00 ; 1.623308778e+00 ; 2.639482737e+00 ; 3.144152403e+00 ; 3.236853123e+00 ; 3.251386166e+00 ; 1.197681308e+00 ;
11.12.2019; 06:28:08; 5.689238310e-01 ; 1.767411709e+00 ; 2.710915089e+00 ; 2.899615765e+00 ; 1.506570339e+00 ; 3.382500410e+00 ; 4.464815140e+00 ; 4.664334774e+00 ; 4.695163250e+00 ; 1.254793763e+00 ;
11.12.2019; 06:43:08; 1.657958984e+00 ; 5.479293823e+00 ; 8.494878769e+00 ; 9.097995758e+00 ; 3.632629156e+00 ; 9.536249161e+00 ; 1.299003506e+01 ; 1.362711620e+01 ; 1.372530556e+01 ; 1.534147263e+00 ;
11.12.2019; 06:58:08; 6.750821471e-01 ; 2.237848759e+00 ; 3.471233606e+00 ; 3.717911005e+00 ; 1.476466417e+00 ; 3.876287699e+00 ; 5.288796902e+00 ; 5.549352169e+00 ; 5.589507580e+00 ; 1.406692266e+00 ;
11.12.2019; 07:13:08; 5.953264832e-01 ; 2.524755955e+00 ; 4.058598042e+00 ; 4.365365982e+00 ; 1.792701930e-01 ; 2.879891872e+00 ; 4.628179550e+00 ; 4.951275826e+00 ; 5.000689983e+00 ; 1.568369150e+00 ;
11.12.2019; 07:28:08; 6.329762936e-01 ; 1.547072172e+00 ; 2.257432699e+00 ; 2.399505138e+00 ; 2.527566433e+00 ; 4.172871590e+00 ; 4.994708061e+00 ; 5.145706654e+00 ; 5.169354439e+00 ; 6.905720234e-01 ;
11.12.2019; 07:43:08; 7.082825303e-01 ; 1.832717538e+00 ; 2.709807873e+00 ; 2.885226727e+00 ; 2.619164467e+00 ; 4.570104599e+00 ; 5.582344055e+00 ; 5.768502712e+00 ; 5.797544003e+00 ; 1.175487876e+00 ;
11.12.2019; 07:58:08; 1.081477880e+00 ; 2.324660301e+00 ; 3.280500174e+00 ; 3.471668482e+00 ; 4.990297794e+00 ; 7.440779686e+00 ; 8.554441452e+00 ; 8.758497238e+00 ; 8.790804863e+00 ; 9.460222721e-01 ;
11.12.2019; 08:13:08; 6.678451300e-01 ; 1.365043998e+00 ; 1.898243189e+00 ; 2.004883289e+00 ; 3.240662098e+00 ; 4.663766384e+00 ; 5.287201405e+00 ; 5.401277065e+00 ; 5.419438839e+00 ; 8.082078695e-01 ;
11.12.2019; 08:28:08; 5.013675308e+01 ; 5.611130142e+01 ; 5.861501694e+01 ; 5.911576080e+01 ; 3.394682312e+02 ; 3.954054871e+02 ; 3.999328308e+02 ; 4.006480408e+02 ; 4.008336487e+02 ; 5.664442778e-01 ;
11.12.2019; 08:43:08; 3.717630148e+00 ; 4.951823235e+00 ; 5.777792931e+00 ; 5.942986965e+00 ; 2.351283836e+01 ; 2.854649734e+01 ; 2.960358047e+01 ; 2.979054642e+01 ; 2.982440567e+01 ; 5.535919070e-01 ;
11.12.2019; 08:58:08; 1.495550275e+00 ; 3.478856087e+00 ; 5.014436722e+00 ; 5.321553707e+00 ; 6.349599838e+00 ; 1.003169727e+01 ; 1.181258774e+01 ; 1.213948727e+01 ; 1.219087601e+01 ; 1.220525861e+00 ;
11.12.2019; 09:13:08; 4.541196823e+00 ; 6.179923534e+00 ; 7.294991970e+00 ; 7.518006325e+00 ; 2.845059776e+01 ; 3.474232483e+01 ; 3.615314865e+01 ; 3.640372086e+01 ; 3.644841385e+01 ; 7.570047975e-01 ;
11.12.2019; 09:28:08; 6.577980518e-01 ; 1.735422015e+00 ; 2.576975584e+00 ; 2.745285988e+00 ; 2.404742479e+00 ; 4.211801052e+00 ; 5.182283878e+00 ; 5.360817432e+00 ; 5.388635635e+00 ; 1.017753959e+00 ;
