Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0x274784d6
SPS30 serial number: 15E099066D0D420B
SPS30 firmware version: 2.1
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:53:57;4.674788475e+00;5.016428947e+00;5.075516701e+00;5.087337494e+00;3.213611984e+01;3.708300400e+01;3.730401993e+01;3.733470917e+01;3.734681320e+01;5.612347126e-01;1.145769968e+01;9.824263847e+04;1.463882305e+01
2021-02-15T10:08:56;2.997673273e+00;3.169925928e+00;3.169924021e+00;3.169924021e+00;2.071018028e+01;2.382732391e+01;2.392396736e+01;2.393468094e+01;2.394101143e+01;5.056505203e-01;1.203968980e+01;9.818661757e+04;1.273954532e+01
2021-02-15T10:23:56;1.909239650e+00;2.342230558e+00;2.603869200e+00;2.656197309e+00;1.247838116e+01;1.484354210e+01;1.521636009e+01;1.528508949e+01;1.529900074e+01;6.612415314e-01;1.322954092e+01;9.817795049e+04;1.117916766e+01
2021-02-15T10:38:56;1.608707786e+00;2.405735493e+00;2.975973129e+00;3.090020180e+00;9.562192917e+00;1.206284618e+01;1.279310894e+01;1.293378162e+01;1.295870972e+01;6.673569679e-01;1.512050129e+01;9.817851506e+04;9.827770445e+00
2021-02-15T10:53:56;1.692497253e+00;1.789751649e+00;1.789750576e+00;1.789750576e+00;1.169304276e+01;1.345299339e+01;1.350755787e+01;1.351360703e+01;1.351718235e+01;4.682928324e-01;1.804337938e+01;9.816209336e+04;8.367018397e+00
2021-02-15T11:08:56;1.686341643e+00;2.304704905e+00;2.726734638e+00;2.811141968e+00;1.050190926e+01;1.286813450e+01;1.342458057e+01;1.353046417e+01;1.354995918e+01;5.326572657e-01;2.169272083e+01;9.814948072e+04;5.959443741e+00
2021-02-15T11:23:56;2.018341303e+00;2.773300648e+00;3.290440321e+00;3.393868446e+00;1.253675938e+01;1.538628960e+01;1.606659126e+01;1.619616318e+01;1.621995163e+01;7.708600163e-01;2.290888170e+01;9.812281304e+04;5.813838643e+00
2021-02-15T11:38:56;1.717139721e+00;2.116281271e+00;2.359457016e+00;2.408092260e+00;1.120145607e+01;1.334005928e+01;1.368472004e+01;1.374839497e+01;1.376120281e+01;6.312820911e-01;2.330607722e+01;9.811147015e+04;6.359888360e+00
2021-02-15T11:53:56;1.419960022e+00;1.727155805e+00;1.909739256e+00;1.946256280e+00;9.313225746e+00;1.105484104e+01;1.131783581e+01;1.136611080e+01;1.137600422e+01;6.212296486e-01;2.356981091e+01;9.810678972e+04;5.887739018e+00
2021-02-15T12:08:56;1.500924587e+00;2.227698803e+00;2.746090651e+00;2.849769354e+00;8.958649635e+00;1.127195835e+01;1.193706703e+01;1.206508732e+01;1.208782959e+01;8.736991882e-01;2.231245315e+01;9.808529680e+04;6.248294923e+00
2021-02-15T12:23:56;2.356637955e+00;3.708258390e+00;4.692557335e+00;4.889416218e+00;1.360254383e+01;1.748203850e+01;1.872901344e+01;1.897032928e+01;1.901246834e+01;7.145992517e-01;2.085971284e+01;9.806505748e+04;6.737404750e+00
2021-02-15T12:38:56;1.296065807e+00;1.431945562e+00;1.481640100e+00;1.491578937e+00;8.818942070e+00;1.023880768e+01;1.033971405e+01;1.035610485e+01;1.036071777e+01;5.866012573e-01;1.940986955e+01;9.805168956e+04;8.108725434e+00
2021-02-15T12:53:56;1.875551105e+00;1.983324170e+00;1.983322978e+00;1.983322978e+00;1.295771599e+01;1.490801620e+01;1.496848297e+01;1.497518539e+01;1.497914791e+01;4.818221331e-01;1.718135190e+01;9.804146737e+04;8.623084451e+00
2021-02-15T13:08:56;1.910619259e+00;2.969776392e+00;3.738120794e+00;3.891789436e+00;1.110885429e+01;1.421104813e+01;1.518672752e+01;1.537535381e+01;1.540839863e+01;8.998619318e-01;1.424253904e+01;9.802925922e+04;9.850257157e+00
2021-02-15T13:23:56;2.202179193e+00;3.400711775e+00;4.268295765e+00;4.441812515e+00;1.285307598e+01;1.640251923e+01;1.750566101e+01;1.771881104e+01;1.775621796e+01;7.404941320e-01;1.405577363e+01;9.800299345e+04;1.169255440e+01
2021-02-15T13:38:56;1.620001912e+00;1.713090539e+00;1.713089585e+00;1.713089585e+00;1.119219017e+01;1.287675667e+01;1.292898369e+01;1.293477345e+01;1.293819618e+01;4.997228384e-01;1.217952123e+01;9.797852136e+04;1.164947329e+01
2021-02-15T13:53:56;2.192238569e+00;2.596545696e+00;2.821809530e+00;2.866862535e+00;1.453254890e+01;1.713917923e+01;1.747784805e+01;1.753898048e+01;1.755211639e+01;6.598415971e-01;1.010952754e+01;9.795711771e+04;1.339815037e+01
2021-02-15T14:08:56;1.802760124e+00;2.435611486e+00;2.863952160e+00;2.949620485e+00;1.128903961e+01;1.378548431e+01;1.435319328e+01;1.446098614e+01;1.448096371e+01;7.322560549e-01;9.301527865e+00;9.794364123e+04;1.408933859e+01
2021-02-15T14:23:56;2.260822535e+00;2.620352268e+00;2.806185722e+00;2.843351364e+00;1.511368847e+01;1.773439598e+01;1.802836800e+01;1.808041573e+01;1.809220886e+01;6.156443357e-01;8.879813027e+00;9.792830647e+04;1.485007112e+01
2021-02-15T14:38:56;1.967851043e+00;3.358834028e+00;4.393069744e+00;4.599916935e+00;1.078060246e+01;1.432831001e+01;1.562215996e+01;1.587390327e+01;1.591710663e+01;8.092181683e-01;7.844529072e+00;9.791809147e+04;1.591280700e+01
2021-02-15T14:53:56;1.807215095e+00;1.954508185e+00;1.989669442e+00;1.996702075e+00;1.238989735e+01;1.432018566e+01;1.442028236e+01;1.443506050e+01;1.444020462e+01;5.791565180e-01;7.751312602e+00;9.791126135e+04;1.618067404e+01
2021-02-15T15:08:56;2.269064188e+00;3.181062222e+00;3.813636541e+00;3.940152645e+00;1.395477295e+01;1.723259735e+01;1.805831146e+01;1.821609306e+01;1.824477005e+01;7.383827567e-01;7.290339429e+00;9.790200470e+04;1.639539610e+01
