Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0xbe90f3bf
SPS30 serial number: 6F5BAC226EB9E8CE
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:54:00;4.392704487e+00;4.993101597e+00;5.274725437e+00;5.331057549e+00;3.025135994e+01;3.461215210e+01;3.503490829e+01;3.511553192e+01;3.513191223e+01;6.156899929e-01;1.090894790e+01;9.810096456e+04;1.364968755e+01
2021-02-15T10:09:00;2.927388191e+00;3.413050890e+00;3.669963837e+00;3.721354485e+00;1.996514130e+01;2.297653770e+01;2.334242821e+01;2.341284752e+01;2.342610359e+01;6.555955410e-01;6.086153163e+00;9.805855706e+04;1.672607555e+01
2021-02-15T10:24:00;2.113248587e+00;3.122013092e+00;3.840148449e+00;3.983779430e+00;1.291245937e+01;1.589630032e+01;1.680790901e+01;1.698717117e+01;1.701473808e+01;7.604500651e-01;5.777094460e+00;9.805017381e+04;1.582750742e+01
2021-02-15T10:39:00;1.802538872e+00;2.616674185e+00;3.191741467e+00;3.306757689e+00;1.111950493e+01;1.360764313e+01;1.433965969e+01;1.448352814e+01;1.450577545e+01;8.596560359e-01;5.294032732e+00;9.804645725e+04;1.655175980e+01
2021-02-15T10:54:00;1.649330854e+00;2.243020535e+00;2.646802902e+00;2.727561235e+00;1.051912785e+01;1.260965919e+01;1.313066769e+01;1.323279572e+01;1.324901676e+01;7.676935196e-01;6.658297707e+00;9.804286278e+04;1.541194611e+01
2021-02-15T11:09:00;1.266984105e+00;1.339787960e+00;1.339787006e+00;1.339788914e+00;8.954140663e+00;1.008840656e+01;1.011160469e+01;1.011527443e+01;1.011725521e+01;5.348489285e-01;7.903490973e+00;9.803883188e+04;1.325044707e+01
2021-02-15T11:24:00;2.139401913e+00;3.046167135e+00;3.680534840e+00;3.807410717e+00;1.333320332e+01;1.621308708e+01;1.702335548e+01;1.718249702e+01;1.720727539e+01;8.653766513e-01;8.125711897e+00;9.801168441e+04;1.398781127e+01
2021-02-15T11:39:00;1.845048666e+00;1.951069474e+00;1.951068044e+00;1.951070786e+00;1.303948879e+01;1.469126511e+01;1.472504902e+01;1.473039246e+01;1.473327732e+01;4.676007032e-01;8.843782988e+00;9.800530934e+04;1.537095033e+01
2021-02-15T11:54:00;1.718652487e+00;1.841296554e+00;1.860626936e+00;1.864496827e+00;1.209176636e+01;1.365978336e+01;1.371474934e+01;1.372438908e+01;1.372772884e+01;5.645112991e-01;8.606553886e+00;9.799123422e+04;1.442391878e+01
2021-02-15T12:09:00;1.822844625e+00;2.780983686e+00;3.471651316e+00;3.609789133e+00;1.093744564e+01;1.361953926e+01;1.449244308e+01;1.466424274e+01;1.469042778e+01;7.661064267e-01;7.648384585e+00;9.797361322e+04;1.512386195e+01
2021-02-15T12:24:00;2.747984409e+00;4.620708942e+00;6.008545399e+00;6.286115170e+00;1.551224995e+01;2.008265114e+01;2.181992149e+01;2.216248703e+01;2.221367455e+01;7.704818249e-01;7.895189628e+00;9.795146377e+04;1.447404373e+01
2021-02-15T12:38:59;1.497776031e+00;1.583841681e+00;1.583840609e+00;1.583842874e+00;1.058521366e+01;1.192609501e+01;1.195351982e+01;1.195785809e+01;1.196019936e+01;5.032128096e-01;9.026733989e+00;9.793937654e+04;1.484158378e+01
2021-02-15T12:53:59;1.666782618e+00;2.093399763e+00;2.361153126e+00;2.414708138e+00;1.102555561e+01;1.292487526e+01;1.328085804e+01;1.335024166e+01;1.336189365e+01;7.487651110e-01;8.983630317e+00;9.792588899e+04;1.360650366e+01
2021-02-15T13:08:59;1.470766902e+00;1.555280566e+00;1.555279493e+00;1.555281639e+00;1.039433193e+01;1.171103382e+01;1.173796368e+01;1.174222374e+01;1.174452305e+01;5.030730963e-01;7.118697921e+00;9.790736066e+04;1.436994264e+01
