Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0xb2881e43
SPS30 serial number: AFD8C4D630E0E33E
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:53:57;3.865013599e+00;4.254959106e+00;4.390808582e+00;4.417976379e+00;2.693350029e+01;3.059937668e+01;3.083518028e+01;3.087912941e+01;3.088970375e+01;5.889853239e-01;1.086476472e+01;9.813949250e+04;1.582359669e+01
2021-02-15T10:08:57;2.575605154e+00;2.958052635e+00;3.147795439e+00;3.185742617e+00;1.766878128e+01;2.026256561e+01;2.054028702e+01;2.059348679e+01;2.060388374e+01;5.962268114e-01;8.330348097e+00;9.809087679e+04;1.584792023e+01
2021-02-15T10:23:57;2.500121593e+00;3.713087797e+00;4.578499317e+00;4.751579285e+00;1.523238373e+01;1.878612518e+01;1.988366890e+01;2.009948158e+01;2.013257599e+01;8.531641364e-01;1.046025334e+01;9.808340628e+04;1.305219835e+01
2021-02-15T10:38:57;2.144609451e+00;2.267843723e+00;2.267843723e+00;2.267842293e+00;1.515709019e+01;1.707657051e+01;1.711579704e+01;1.712201691e+01;1.712534142e+01;4.214526415e-01;1.123145488e+01;9.808385605e+04;1.251535171e+01
2021-02-15T10:53:57;1.385914087e+00;1.989470482e+00;2.413489819e+00;2.498292208e+00;8.600802422e+00;1.048605537e+01;1.102675533e+01;1.113296223e+01;1.114942646e+01;7.891917229e-01;1.393487918e+01;9.807507561e+04;1.097633686e+01
2021-02-15T11:08:57;1.052088261e+00;1.311887145e+00;1.473220110e+00;1.505485654e+00;6.981295109e+00;8.168287277e+00;8.383613586e+00;8.425546646e+00;8.432623863e+00;6.077083349e-01;1.653228131e+01;9.807038254e+04;8.567186281e+00
2021-02-15T11:23:56;1.853556275e+00;2.167261124e+00;2.334948540e+00;2.368483305e+00;1.262779808e+01;1.454178810e+01;1.477949715e+01;1.482528591e+01;1.483381748e+01;5.701053143e-01;1.917623958e+01;9.804121640e+04;7.865600307e+00
2021-02-15T11:38:56;1.761362910e+00;2.354337692e+00;2.752332926e+00;2.831930399e+00;1.132759380e+01;1.350930595e+01;1.402524376e+01;1.412626743e+01;1.414243507e+01;7.616237402e-01;2.052709875e+01;9.803896847e+04;7.883198720e+00
2021-02-15T11:53:56;1.825239539e+00;2.116255522e+00;2.266896009e+00;2.297024012e+00;1.247567558e+01;1.433839893e+01;1.455487251e+01;1.459647083e+01;1.460438347e+01;5.600194931e-01;2.084189607e+01;9.803147975e+04;7.567664469e+00
2021-02-15T12:08:56;1.865167260e+00;1.972344041e+00;1.972344041e+00;1.972342849e+00;1.318212414e+01;1.485149670e+01;1.488561153e+01;1.489102173e+01;1.489391136e+01;4.617593288e-01;1.782187448e+01;9.800493139e+04;8.696002152e+00
2021-02-15T12:23:56;2.362981558e+00;4.082336903e+00;5.363955498e+00;5.620278358e+00;1.309095573e+01;1.715489960e+01;1.875579453e+01;1.907151222e+01;1.911844826e+01;7.459573746e-01;1.979685012e+01;9.798713350e+04;7.405893896e+00
2021-02-15T12:38:56;1.416832685e+00;1.875520349e+00;2.180856228e+00;2.241921902e+00;9.153574944e+00;1.088601398e+01;1.128303146e+01;1.136072636e+01;1.137323093e+01;6.954388618e-01;2.422619683e+01;9.797594406e+04;5.999494626e+00
2021-02-15T12:53:56;1.222188354e+00;1.825711846e+00;2.257317305e+00;2.343637705e+00;7.422300816e+00;9.172553062e+00;9.719478607e+00;9.827038765e+00;9.843505859e+00;6.692106724e-01;2.461281726e+01;9.795867989e+04;5.597320792e+00
2021-02-15T13:08:56;1.382403255e+00;1.917902112e+00;2.287003040e+00;2.360822439e+00;8.730656624e+00;1.052925205e+01;1.100314045e+01;1.109610271e+01;1.111070633e+01;5.620177984e-01;2.057390154e+01;9.793535620e+04;6.792666195e+00
2021-02-15T13:23:56;1.446269751e+00;1.681203365e+00;1.804080844e+00;1.828654766e+00;9.875487328e+00;1.135680103e+01;1.153259945e+01;1.156640816e+01;1.157279587e+01;5.593732595e-01;2.506612059e+01;9.791074565e+04;5.732455569e+00
2021-02-15T13:38:56;1.755128384e+00;1.949556112e+00;2.025288582e+00;2.040432453e+00;1.219113350e+01;1.387718678e+01;1.400133419e+01;1.402467632e+01;1.402995205e+01;5.770061016e-01;2.080503075e+01;9.788301329e+04;6.623029656e+00
2021-02-15T13:53:56;2.019851923e+00;2.135917187e+00;2.135917187e+00;2.135915995e+00;1.427536201e+01;1.608318138e+01;1.612012672e+01;1.612598419e+01;1.612911415e+01;4.551103115e-01;1.815910148e+01;9.785669838e+04;8.253665535e+00
2021-02-15T14:08:56;1.789290428e+00;2.379512310e+00;2.773979664e+00;2.852870703e+00;1.153490448e+01;1.373624897e+01;1.424841022e+01;1.434866524e+01;1.436475563e+01;7.059789300e-01;1.713684594e+01;9.784110103e+04;8.906821080e+00
2021-02-15T14:23:56;2.021764278e+00;2.406333447e+00;2.623550892e+00;2.666992664e+00;1.367711830e+01;1.581698132e+01;1.611796570e+01;1.617617989e+01;1.618664551e+01;5.271779299e-01;1.516769828e+01;9.782379170e+04;1.039445880e+01
2021-02-15T14:38:56;1.980399132e+00;2.634732008e+00;3.072197437e+00;3.159690619e+00;1.276447201e+01;1.520225334e+01;1.577017021e+01;1.588134193e+01;1.589918137e+01;6.575970650e-01;1.093047395e+01;9.781360931e+04;1.352667729e+01
2021-02-15T14:53:56;1.796534657e+00;2.118593693e+00;2.295693398e+00;2.331111670e+00;1.219828415e+01;1.407555389e+01;1.432366085e+01;1.437155247e+01;1.438031483e+01;5.479202271e-01;9.653159185e+00;9.780459391e+04;1.460739282e+01
2021-02-15T15:08:56;2.057934523e+00;2.741158009e+00;3.198400259e+00;3.289846897e+00;1.325675964e+01;1.579401207e+01;1.638738441e+01;1.650354767e+01;1.652217293e+01;7.668378949e-01;8.496059014e+00;9.779441689e+04;1.539128398e+01
2021-02-15T15:23:56;2.309134007e+00;2.692482233e+00;2.895347118e+00;2.935917616e+00;1.574853325e+01;1.812377357e+01;1.841257095e+01;1.846815681e+01;1.847858429e+01;6.347742081e-01;7.846679093e+00;9.777335577e+04;1.616172011e+01
2021-02-15T15:38:55;3.349001169e+00;3.541442394e+00;3.541442394e+00;3.541440248e+00;2.366916275e+01;2.666660500e+01;2.672786140e+01;2.673757553e+01;2.674276352e+01;5.118659735e-01;6.882233518e+00;9.776745057e+04;1.689414824e+01
2021-02-15T15:53:55;2.550187111e+00;3.515401363e+00;4.177970886e+00;4.310484409e+00;1.615749168e+01;1.944757652e+01;2.029950333e+01;2.046657944e+01;2.049290085e+01;8.008770347e-01;6.016837477e+00;9.776339376e+04;1.783810349e+01
2021-02-15T16:08:55;3.910988092e+00;5.688770771e+00;6.945686817e+00;7.197068214e+00;2.410110855e+01;2.951299095e+01;3.111217499e+01;3.142642784e+01;3.147492981e+01;7.912669182e-01;4.445684070e+00;9.774697672e+04;1.931953850e+01
2021-02-15T16:23:55;3.830880165e+00;6.628470421e+00;8.714460373e+00;9.131657600e+00;2.119997787e+01;2.780097580e+01;3.040634727e+01;3.092017746e+01;3.099654579e+01;8.908777237e-01;3.498261641e+00;9.772459202e+04;2.126294120e+01
2021-02-15T16:38:55;2.699425220e+00;3.360719919e+00;3.770383120e+00;3.852313519e+00;1.792451477e+01;2.096356201e+01;2.151083755e+01;2.161739349e+01;2.163540649e+01;6.747362018e-01;2.938979383e+00;9.771427540e+04;2.217246820e+01
2021-02-15T16:53:55;5.454506874e+00;7.583893299e+00;9.053586006e+00;9.347520828e+00;3.441071701e+01;4.152766418e+01;4.341369247e+01;4.378370285e+01;4.384177780e+01;7.771252394e-01;2.558541224e+00;9.770956623e+04;2.374864320e+01
2021-02-15T17:08:55;7.704032421e+00;8.980953217e+00;9.656106949e+00;9.791134834e+00;5.254699326e+01;6.046904373e+01;6.143054199e+01;6.161559677e+01;6.165032578e+01;5.715224743e-01;2.279383324e+00;9.770664951e+04;2.474985774e+01
2021-02-15T17:23:55;1.270094299e+01;1.532520771e+01;1.685841560e+01;1.716504288e+01;8.544623566e+01;9.914552307e+01;1.012412872e+02;1.016476212e+02;1.017190628e+02;6.394508481e-01;1.904716958e+00;9.770479647e+04;2.731073401e+01
2021-02-15T17:38:55;1.253356647e+01;1.442601967e+01;1.537474251e+01;1.556447315e+01;8.590941620e+01;9.857004547e+01;9.995236206e+01;1.002173615e+02;1.002688065e+02;6.169797182e-01;1.219809064e+00;9.770487585e+04;3.208505325e+01
2021-02-15T17:53:55;2.814526367e+01;3.433224487e+01;3.803059769e+01;3.877025223e+01;1.885016327e+02;2.193166199e+02;2.243263550e+02;2.252993011e+02;2.254677582e+02;6.404578090e-01;6.099024735e-01;9.769105167e+04;3.263480153e+01
2021-02-15T18:08:55;2.062873459e+01;2.383806419e+01;2.547610092e+01;2.580368996e+01;1.411809082e+02;1.621351929e+02;1.645033569e+02;1.649579468e+02;1.650452118e+02;6.265000105e-01;2.820349180e-02;9.768892547e+04;3.416146996e+01
2021-02-15T18:23:55;1.380317879e+01;1.740150833e+01;1.967179680e+01;2.012584305e+01;9.116043854e+01;1.069671707e+02;1.099789352e+02;1.105661011e+02;1.106641464e+02;7.399056554e-01;-4.368325044e-01;9.767679966e+04;3.691948705e+01
2021-02-15T18:38:55;1.370439243e+01;1.513727379e+01;1.565960217e+01;1.576405334e+01;9.538512421e+01;1.084452286e+02;1.093307343e+02;1.094963760e+02;1.095352325e+02;5.673286915e-01;-8.496260630e-01;9.768887317e+04;3.616357000e+01
2021-02-15T18:53:55;1.245955181e+01;1.519398785e+01;1.682758904e+01;1.715430450e+01;8.345744324e+01;9.709336090e+01;9.930672455e+01;9.973654938e+01;9.981101227e+01;6.317915320e-01;-1.200563203e+00;9.767811791e+04;3.503391807e+01
2021-02-15T19:08:55;1.525664806e+01;1.849987793e+01;2.041517448e+01;2.079821777e+01;1.024326706e+02;1.190004349e+02;1.216073303e+02;1.221131592e+02;1.222014618e+02;6.475886703e-01;-1.512399353e+00;9.768158505e+04;3.813477971e+01
2021-02-15T19:23:55;1.140265560e+01;1.313423729e+01;1.400535965e+01;1.417957401e+01;7.813521576e+01;8.966563416e+01;9.093295288e+01;9.117597961e+01;9.122304535e+01;6.390759349e-01;-1.682258263e+00;9.768160338e+04;4.118038961e+01
2021-02-15T19:38:55;2.427440453e+01;3.013038635e+01;3.374085617e+01;3.446294022e+01;1.613917236e+02;1.886085358e+02;1.934406891e+02;1.943812103e+02;1.945407257e+02;6.411309838e-01;-1.814619796e+00;9.767032949e+04;4.238746288e+01
2021-02-15T19:53:54;1.524569321e+01;1.657640266e+01;1.694435883e+01;1.701794624e+01;1.067130737e+02;1.209179382e+02;1.216440125e+02;1.217769165e+02;1.218129425e+02;5.919203758e-01;-1.887049995e+00;9.764841028e+04;3.723128589e+01
2021-02-15T20:08:54;1.681692696e+01;1.921669388e+01;2.037678909e+01;2.060881042e+01;1.155868759e+02;1.324026794e+02;1.341202545e+02;1.344486084e+02;1.345138397e+02;6.088633537e-01;-1.961403060e+00;9.763521511e+04;4.006744974e+01
2021-02-15T20:23:54;1.139914227e+01;1.302734280e+01;1.381495667e+01;1.397247314e+01;7.834557343e+01;8.974586487e+01;9.091162109e+01;9.113450623e+01;9.117874908e+01;5.810481310e-01;-1.977106933e+00;9.762841381e+04;4.392211550e+01
2021-02-15T20:38:54;1.583258915e+01;2.103189087e+01;2.450349426e+01;2.519781113e+01;1.021200333e+02;1.215700455e+02;1.260790024e+02;1.269615707e+02;1.271033173e+02;7.361362576e-01;-1.917175814e+00;9.760775885e+04;4.406591197e+01
2021-02-15T20:53:54;1.813707733e+01;2.019905472e+01;2.102438354e+01;2.118943787e+01;1.258599091e+02;1.433481750e+02;1.446830139e+02;1.449345398e+02;1.449904785e+02;6.332787871e-01;-1.934482130e+00;9.759609647e+04;4.799850085e+01
2021-02-15T21:08:54;2.110525703e+01;2.327411270e+01;2.404790878e+01;2.420265961e+01;1.469827423e+02;1.670492249e+02;1.683757172e+02;1.686234283e+02;1.686822357e+02;6.215234995e-01;-1.978388881e+00;9.758618008e+04;4.901120145e+01
2021-02-15T21:23:54;1.516843128e+01;1.693992043e+01;1.766821098e+01;1.781385040e+01;1.051522064e+02;1.198358841e+02;1.209984894e+02;1.212179947e+02;1.212660828e+02;5.580806732e-01;-2.034474116e+00;9.757935659e+04;5.066379748e+01
2021-02-15T21:38:54;1.458494091e+01;1.609564400e+01;1.664000320e+01;1.674886513e+01;1.015463867e+02;1.154281082e+02;1.163564987e+02;1.165299911e+02;1.165709686e+02;6.087443829e-01;-2.008514669e+00;9.756765471e+04;4.654363781e+01
2021-02-15T21:53:54;2.174038506e+01;2.478267288e+01;2.623381424e+01;2.652403069e+01;1.495638733e+02;1.712288818e+02;1.733902588e+02;1.738030396e+02;1.738856964e+02;6.157023907e-01;-1.994733725e+00;9.756054614e+04;4.995307243e+01
2021-02-15T22:08:54;1.784901047e+01;1.974308777e+01;2.044592476e+01;2.058647919e+01;1.241689606e+02;1.412131195e+02;1.423938293e+02;1.426149902e+02;1.426663666e+02;5.993371010e-01;-2.013962949e+00;9.755763598e+04;4.883478045e+01
2021-02-15T22:23:54;1.937214279e+01;2.122064972e+01;2.181578255e+01;2.193479347e+01;1.352370758e+02;1.534806824e+02;1.545583344e+02;1.547579346e+02;1.548080597e+02;5.730046034e-01;-1.994092751e+00;9.755573092e+04;4.964083001e+01
2021-02-15T22:38:54;1.636049461e+01;1.730060577e+01;1.730060577e+01;1.730059433e+01;1.156282730e+02;1.302713318e+02;1.305705719e+02;1.306180267e+02;1.306433868e+02;5.083594322e-01;-1.988964957e+00;9.754901684e+04;4.903280107e+01
2021-02-15T22:53:54;1.399098969e+01;1.820410728e+01;2.096320534e+01;2.151502991e+01;9.111111450e+01;1.078293152e+02;1.114386215e+02;1.121441345e+02;1.122589722e+02;7.275322676e-01;-1.993131289e+00;9.752576501e+04;4.927377182e+01
2021-02-15T23:08:54;1.874499321e+01;2.340244102e+01;2.630006790e+01;2.687957573e+01;1.243200684e+02;1.455038605e+02;1.493684692e+02;1.501211700e+02;1.502480469e+02;6.848473549e-01;-2.004348337e+00;9.749171801e+04;4.894466041e+01
2021-02-15T23:23:54;2.503128815e+01;3.237643051e+01;3.715691376e+01;3.811298752e+01;1.634458313e+02;1.931193695e+02;1.993873749e+02;2.006120758e+02;2.008122711e+02;7.336133718e-01;-1.987683008e+00;9.748678394e+04;4.960816224e+01
