Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0x73eba155
SPS30 serial number: FD1922CB58117D02
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:53:58;4.043816090e+00;4.649744034e+00;4.952074051e+00;5.012543201e+00;2.772780228e+01;3.180728149e+01;3.224881744e+01;3.233342743e+01;3.234995270e+01;6.897842884e-01;1.082707657e+01;9.813121835e+04;1.434832575e+01
2021-02-15T10:08:58;2.276737452e+00;2.407563448e+00;2.407563448e+00;2.407563448e+00;1.609051895e+01;1.812857819e+01;1.817028999e+01;1.817690468e+01;1.818046379e+01;4.141061306e-01;5.218557441e+00;9.808890224e+04;1.804084164e+01
2021-02-15T10:23:58;2.022859573e+00;2.438440084e+00;2.680706263e+00;2.729158163e+00;1.361411285e+01;1.579318810e+01;1.612469482e+01;1.618895721e+01;1.620029449e+01;6.004338264e-01;5.829013501e+00;9.807603498e+04;1.632532254e+01
2021-02-15T10:38:58;1.668909550e+00;1.764808416e+00;1.764808416e+00;1.764808416e+00;1.179478073e+01;1.328873348e+01;1.331930828e+01;1.332415771e+01;1.332676697e+01;5.260387659e-01;4.900492848e+00;9.807220773e+04;1.738601324e+01
2021-02-15T10:53:58;1.974681735e+00;2.852634907e+00;3.471349478e+00;3.595091581e+00;1.221363831e+01;1.492184067e+01;1.571000290e+01;1.586484337e+01;1.588880920e+01;7.692317367e-01;5.875552118e+00;9.806996780e+04;1.658580743e+01
2021-02-15T11:08:58;1.601555943e+00;1.693584561e+00;1.693584561e+00;1.693584561e+00;1.131876850e+01;1.275242805e+01;1.278176880e+01;1.278642273e+01;1.278892708e+01;5.292919874e-01;6.846128448e+00;9.805649143e+04;1.476719700e+01
2021-02-15T11:23:57;1.844828129e+00;2.124893427e+00;2.265763283e+00;2.293937683e+00;1.264140797e+01;1.450697803e+01;1.471198750e+01;1.475129604e+01;1.475893402e+01;6.474777460e-01;8.096595287e+00;9.803128797e+04;1.458785886e+01
2021-02-15T11:38:57;1.910830259e+00;2.335198164e+00;2.589785099e+00;2.640702963e+00;1.278766727e+01;1.488518810e+01;1.522961998e+01;1.529652405e+01;1.530810261e+01;6.855012178e-01;8.498763983e+00;9.803008900e+04;1.577036022e+01
2021-02-15T11:53:57;2.119613647e+00;3.323841572e+00;4.199875355e+00;4.375081539e+00;1.251337337e+01;1.574247837e+01;1.684604263e+01;1.706331444e+01;1.709619141e+01;6.463387609e-01;8.395413198e+00;9.801635840e+04;1.510059667e+01
2021-02-15T12:08:57;2.126780748e+00;3.346784115e+00;4.235251427e+00;4.412945747e+00;1.252901554e+01;1.578343678e+01;1.690224266e+01;1.712253380e+01;1.715583992e+01;8.011476398e-01;7.274610393e+00;9.799720438e+04;1.580486113e+01
