Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0xbd69061e
SPS30 serial number: 00941E593F1072DE
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:54:02;4.364531994e+00;5.063523293e+00;5.426258087e+00;5.498805046e+00;2.983209229e+01;3.428501892e+01;3.480355835e+01;3.490225601e+01;3.492065048e+01;6.264131069e-01;1.198386226e+01;9.804261112e+04;1.300715646e+01
2021-02-15T10:09:02;2.919910431e+00;3.732003450e+00;4.253454208e+00;4.357745171e+00;1.918958855e+01;2.258155441e+01;2.326152611e+01;2.339334869e+01;2.341452026e+01;7.044624686e-01;8.494530874e+00;9.799916532e+04;1.450299533e+01
2021-02-15T10:24:02;2.176389694e+00;2.547866106e+00;2.747294426e+00;2.787180662e+00;1.482475376e+01;1.707269859e+01;1.735343361e+01;1.740702820e+01;1.741678810e+01;5.681283474e-01;1.128329441e+01;9.797869188e+04;1.149821249e+01
2021-02-15T10:39:02;1.999299526e+00;2.114183426e+00;2.114183426e+00;2.114183426e+00;1.412340736e+01;1.591708374e+01;1.595610046e+01;1.596209908e+01;1.596523762e+01;4.775539637e-01;8.931130365e+00;9.797887477e+04;1.299976532e+01
2021-02-15T10:54:02;2.065702915e+00;2.184402466e+00;2.184402466e+00;2.184402466e+00;1.459249115e+01;1.644574165e+01;1.648605537e+01;1.649225235e+01;1.649549484e+01;4.690870047e-01;1.133614913e+01;9.797117179e+04;1.145464189e+01
2021-02-15T11:09:02;1.510302186e+00;1.760147929e+00;1.892116785e+00;1.918509722e+00;1.030532360e+01;1.185576344e+01;1.204290390e+01;1.207857800e+01;1.208514786e+01;5.656434298e-01;1.378063385e+01;9.796821966e+04;9.211766546e+00
2021-02-15T11:24:02;1.911243439e+00;2.606510162e+00;3.080321074e+00;3.175084352e+00;1.219548893e+01;1.461196232e+01;1.521533298e+01;1.533288574e+01;1.535095882e+01;6.894566417e-01;1.227921074e+01;9.793747340e+04;1.092245637e+01
2021-02-15T11:39:02;1.843437195e+00;2.314850569e+00;2.610645533e+00;2.669804811e+00;1.220712662e+01;1.429909420e+01;1.468846226e+01;1.476379871e+01;1.477610302e+01;7.005929947e-01;1.113914532e+01;9.793207168e+04;1.261559264e+01
2021-02-15T11:54:02;2.221436501e+00;3.349027872e+00;4.158302784e+00;4.320157528e+00;1.346217346e+01;1.665381813e+01;1.766402817e+01;1.786168098e+01;1.789091301e+01;8.497614264e-01;9.926059765e+00;9.792637461e+04;1.352461229e+01
2021-02-15T12:09:02;1.819872618e+00;2.069354057e+00;2.186630487e+00;2.210086584e+00;1.253267574e+01;1.433908749e+01;1.451471424e+01;1.454785156e+01;1.455443954e+01;5.669789314e-01;7.757153404e+00;9.790634712e+04;1.534077493e+01
2021-02-15T12:24:02;2.324471474e+00;4.415527344e+00;5.999762058e+00;6.316608906e+00;1.205415916e+01;1.648609161e+01;1.842417717e+01;1.880502319e+01;1.885906982e+01;7.465127707e-01;7.178018417e+00;9.788559462e+04;1.525220571e+01
2021-02-15T12:39:02;1.389480233e+00;1.756202579e+00;1.988380551e+00;2.034815311e+00;9.175628662e+00;1.076609993e+01;1.107060337e+01;1.112956619e+01;1.113913345e+01;7.395460606e-01;7.685722284e+00;9.787835587e+04;1.601038200e+01
2021-02-15T12:54:02;1.674790740e+00;2.127206087e+00;2.415468216e+00;2.473120689e+00;1.103653717e+01;1.296604824e+01;1.334312439e+01;1.341617870e+01;1.342797852e+01;5.540072918e-01;7.421139344e+00;9.786610411e+04;1.573402227e+01
2021-02-15T13:09:01;2.527385473e+00;2.672614336e+00;2.672614336e+00;2.672614336e+00;1.785389900e+01;2.012134933e+01;2.017067337e+01;2.017825508e+01;2.018222237e+01;4.315843582e-01;5.772478382e+00;9.784193395e+04;1.588765132e+01
2021-02-15T13:24:01;2.017397881e+00;2.264004469e+00;2.369766951e+00;2.390919685e+00;1.395975876e+01;1.592632675e+01;1.609205627e+01;1.612306786e+01;1.612960052e+01;5.438071489e-01;7.475273079e+00;9.781228771e+04;1.600987851e+01
2021-02-15T13:39:01;2.167243004e+00;2.291777372e+00;2.291777372e+00;2.291777372e+00;1.530978966e+01;1.725413895e+01;1.729643250e+01;1.730293465e+01;1.730633545e+01;4.986832142e-01;5.801947091e+00;9.778348071e+04;1.610141770e+01
2021-02-15T13:54:01;1.976512313e+00;2.289906740e+00;2.451624155e+00;2.483969688e+00;1.351672077e+01;1.552948761e+01;1.576126766e+01;1.580536366e+01;1.581361103e+01;5.569593906e-01;5.229230851e+00;9.776955437e+04;1.702426696e+01
2021-02-15T14:09:01;2.741550684e+00;2.899085999e+00;2.899085999e+00;2.899085999e+00;1.936680031e+01;2.182639122e+01;2.187989235e+01;2.188811684e+01;2.189242172e+01;5.162039995e-01;5.474588706e+00;9.775044099e+04;1.695573760e+01
