Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0x7e8af484
SPS30 serial number: FF3297200FEEBA54
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:54:03;4.165629387e+00;4.753823757e+00;5.036134243e+00;5.092605591e+00;2.804523277e+01;3.276824188e+01;3.322260284e+01;3.330778885e+01;3.332433701e+01;6.100704670e-01;1.119335949e+01;9.817444159e+04;1.086545857e+01
2021-02-15T10:09:03;2.850427628e+00;3.297332525e+00;3.526462317e+00;3.572293520e+00;1.909446144e+01;2.237522125e+01;2.273044395e+01;2.279780388e+01;2.281041336e+01;6.255493164e-01;4.014550188e+00;9.813294824e+04;1.642405855e+01
2021-02-15T10:24:03;1.953159094e+00;2.065391302e+00;2.065391302e+00;2.065393925e+00;1.350366879e+01;1.553799915e+01;1.558786201e+01;1.559441566e+01;1.559744740e+01;4.879206419e-01;3.143387054e+00;9.812883727e+04;1.634873320e+01
2021-02-15T10:39:03;1.827422023e+00;2.216626644e+00;2.446631670e+00;2.492635250e+00;1.201930523e+01;1.423573685e+01;1.456592369e+01;1.463007164e+01;1.464112473e+01;7.251798511e-01;2.067518672e+00;9.812745186e+04;1.770596433e+01
2021-02-15T10:54:03;2.459625721e+00;2.860647917e+00;3.070817471e+00;3.112858295e+00;1.644325066e+01;1.929116249e+01;1.961303902e+01;1.967430305e+01;1.968562889e+01;5.411468744e-01;2.727578653e+00;9.812742545e+04;1.714392247e+01
2021-02-15T11:09:03;1.251277328e+00;1.541820526e+00;1.718772411e+00;1.754164696e+00;8.177849770e+00;9.721981049e+00;9.972057343e+00;1.002088928e+01;1.002915382e+01;6.049728394e-01;3.538470601e+00;9.811666482e+04;1.535456440e+01
2021-02-15T11:24:03;2.334092855e+00;3.477765322e+00;4.294817448e+00;4.458229065e+00;1.395252037e+01;1.749571228e+01;1.856250000e+01;1.877642059e+01;1.880923080e+01;5.564022064e-01;4.230747917e+00;9.809023442e+04;1.581746956e+01
2021-02-15T11:39:03;1.406369209e+00;1.513985872e+00;1.535678864e+00;1.540019274e+00;9.665287018e+00;1.115963078e+01;1.122227573e+01;1.123246670e+01;1.123542404e+01;5.413209200e-01;4.517736860e+00;9.808249925e+04;1.692671274e+01
2021-02-15T11:54:03;1.781134605e+00;1.883481741e+00;1.883481741e+00;1.883484244e+00;1.231433201e+01;1.416948891e+01;1.421496010e+01;1.422093678e+01;1.422370052e+01;5.230202675e-01;4.603195968e+00;9.807934243e+04;1.640583336e+01
2021-02-15T12:09:03;1.703323603e+00;1.992511988e+00;2.147345066e+00;2.178314447e+00;1.136233521e+01;1.334719276e+01;1.358154392e+01;1.362631321e+01;1.363448811e+01;5.812102556e-01;4.172393611e+00;9.805546622e+04;1.664870514e+01
