Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0x92b16a1b
SPS30 serial number: C498FD7969A0A47B
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:53:41;4.782388210e+00;5.546767235e+00;5.942986012e+00;6.022230625e+00;3.200892639e+01;3.749739838e+01;3.813571930e+01;3.826029968e+01;3.828577805e+01;5.897216797e-01;1.044927339e+01;9.819065518e+04;1.296689709e+01
2021-02-15T10:08:41;2.680895090e+00;3.597586870e+00;4.214807510e+00;4.338253498e+00;1.681342316e+01;2.045794868e+01;2.134630203e+01;2.152448845e+01;2.155523491e+01;7.013792396e-01;7.608899110e+00;9.814781127e+04;1.343349321e+01
2021-02-15T10:23:41;2.526735783e+00;2.671926975e+00;2.671926975e+00;2.671926975e+00;1.751037407e+01;2.010932350e+01;2.016548538e+01;2.017390251e+01;2.017863846e+01;4.381629229e-01;8.875675128e+00;9.814180813e+04;1.165259092e+01
2021-02-15T10:38:41;2.235843420e+00;2.542687654e+00;2.687045097e+00;2.715915680e+00;1.508161259e+01;1.758880997e+01;1.783234024e+01;1.787937355e+01;1.788958168e+01;5.761915445e-01;8.556106203e+00;9.814424190e+04;1.141196621e+01
2021-02-15T10:53:40;1.866158247e+00;2.393453836e+00;2.733418941e+00;2.801412582e+00;1.196023083e+01;1.436828899e+01;1.486625099e+01;1.496569347e+01;1.498335934e+01;6.477515697e-01;1.163084707e+01;9.813389717e+04;9.167881917e+00
2021-02-15T11:08:40;1.255874872e+00;1.328039885e+00;1.328039885e+00;1.328039885e+00;8.703260422e+00;9.995027542e+00;1.002294254e+01;1.002712536e+01;1.002947998e+01;5.112254620e-01;1.406268389e+01;9.812970954e+04;7.208767562e+00
2021-02-15T11:23:40;1.754120708e+00;2.493832350e+00;3.010919809e+00;3.114337206e+00;1.067723083e+01;1.322459030e+01;1.395789146e+01;1.410553074e+01;1.413036633e+01;7.087865472e-01;1.499814610e+01;9.809043088e+04;6.755008211e+00
2021-02-15T11:38:40;1.812039256e+00;2.071739912e+00;2.197651625e+00;2.222832918e+00;1.219738960e+01;1.424216270e+01;1.445150566e+01;1.449206924e+01;1.450071239e+01;5.451066494e-01;1.797732305e+01;9.808605739e+04;5.670161362e+00
2021-02-15T11:53:40;1.815047026e+00;2.272769928e+00;2.558805227e+00;2.616012335e+00;1.176027107e+01;1.403825188e+01;1.446266651e+01;1.454714870e+01;1.456247139e+01;6.565986276e-01;1.869954332e+01;9.806686189e+04;5.374534860e+00
2021-02-15T12:08:40;2.571698666e+00;3.168968439e+00;3.532755852e+00;3.605511189e+00;1.678152657e+01;1.994952202e+01;2.049514961e+01;2.060347557e+01;2.062345505e+01;6.229673624e-01;1.620085196e+01;9.805669751e+04;6.916645205e+00
