Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0x95444f80
SPS30 serial number: 244063AEB5C5B31E
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:53:42;5.400035381e+00;7.692329884e+00;9.296395302e+00;9.617218971e+00;3.319804001e+01;4.091674805e+01;4.296818542e+01;4.336514664e+01;4.343072510e+01;7.414089441e-01;1.086674726e+01;9.823752652e+04;1.215883925e+01
2021-02-15T10:08:41;3.385465622e+00;3.888967514e+00;4.139017105e+00;4.189036369e+00;2.275654030e+01;2.661192513e+01;2.699881744e+01;2.706907654e+01;2.708423996e+01;5.803215504e-01;7.088802476e+00;9.818516566e+04;1.374399567e+01
2021-02-15T10:23:41;2.324362993e+00;3.664315224e+00;4.640670776e+00;4.835945129e+00;1.355416965e+01;1.724880219e+01;1.847206688e+01;1.871051979e+01;1.874856377e+01;8.920889497e-01;8.623772828e+00;9.818917195e+04;1.175670555e+01
2021-02-15T10:38:41;2.008548260e+00;2.123963356e+00;2.123961926e+00;2.123964548e+00;1.388272858e+01;1.597692871e+01;1.602991295e+01;1.603652573e+01;1.604042816e+01;4.683037996e-01;8.131583588e+00;9.818686957e+04;1.185071594e+01
2021-02-15T10:53:41;2.077357292e+00;2.737229109e+00;3.174670219e+00;3.262158632e+00;1.323312473e+01;1.596858692e+01;1.654397964e+01;1.665422630e+01;1.667328262e+01;6.995852590e-01;1.023473797e+01;9.818798122e+04;9.737037553e+00
2021-02-15T11:08:41;1.272052526e+00;1.578199983e+00;1.766814470e+00;1.804537892e+00;8.307040215e+00;9.878901482e+00;1.013692474e+01;1.018570042e+01;1.019464779e+01;6.737430692e-01;1.160122426e+01;9.817059434e+04;8.466850797e+00
2021-02-15T11:23:41;2.041845322e+00;2.292464733e+00;2.400340319e+00;2.421917915e+00;1.383539104e+01;1.610475159e+01;1.628699875e+01;1.631922340e+01;1.632689285e+01;5.243897438e-01;1.301305854e+01;9.814248342e+04;7.708460643e+00
2021-02-15T11:38:41;1.575347900e+00;1.665870309e+00;1.665869236e+00;1.665871382e+00;1.088852406e+01;1.253105068e+01;1.257260704e+01;1.257779503e+01;1.258085442e+01;4.405832291e-01;1.542021864e+01;9.813731814e+04;6.822753867e+00
2021-02-15T11:53:41;1.991736412e+00;2.708568811e+00;3.196088552e+00;3.293594599e+00;1.251251030e+01;1.522390079e+01;1.585663605e+01;1.597843742e+01;1.599904823e+01;7.648909092e-01;1.560121314e+01;9.812833521e+04;6.662606314e+00
2021-02-15T12:08:41;2.252299786e+00;2.381721258e+00;2.381719589e+00;2.381722689e+00;1.556749630e+01;1.791584206e+01;1.797525597e+01;1.798267174e+01;1.798704720e+01;4.800088406e-01;1.374372263e+01;9.811338038e+04;8.587470889e+00
2021-02-15T12:23:41;2.126362801e+00;3.499566793e+00;4.512039661e+00;4.714537621e+00;1.209272099e+01;1.562793446e+01;1.688896179e+01;1.713530159e+01;1.717420006e+01;8.058366776e-01;1.573241043e+01;9.808179185e+04;6.728757914e+00
2021-02-15T12:38:41;1.133745790e+00;1.353373408e+00;1.478397012e+00;1.503403306e+00;7.514657021e+00;8.859522820e+00;9.038221359e+00;9.071508408e+00;9.078003883e+00;5.930603743e-01;1.803014993e+01;9.807538361e+04;5.062403136e+00
