Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0xbb1a5576
SPS30 serial number: 7D6E454FFCFF64BB
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:53:39;4.300551414e+00;5.274919033e+00;5.863498688e+00;5.981205463e+00;2.821042824e+01;3.346091461e+01;3.427482986e+01;3.442823029e+01;3.445679855e+01;6.867753863e-01;1.111346732e+01;9.815288351e+04;1.176683613e+01
2021-02-15T10:08:39;2.590152025e+00;2.738987446e+00;2.738989353e+00;2.738985538e+00;1.790252686e+01;2.060324478e+01;2.067160797e+01;2.068016052e+01;2.068521500e+01;4.506106377e-01;5.148202745e+00;9.810946851e+04;1.632094149e+01
2021-02-15T10:23:38;2.655739307e+00;3.089778423e+00;3.317552805e+00;3.363104105e+00;1.776995468e+01;2.083563423e+01;2.117677689e+01;2.123941612e+01;2.125240326e+01;5.672429800e-01;5.015866012e+00;9.809939742e+04;1.555613447e+01
2021-02-15T10:38:38;1.981808424e+00;2.599296331e+00;3.006878614e+00;3.088392735e+00;1.264938641e+01;1.524648476e+01;1.578381634e+01;1.588675594e+01;1.590459347e+01;7.643651366e-01;4.779002927e+00;9.809817092e+04;1.582784358e+01
2021-02-15T10:53:38;1.696884871e+00;1.794391274e+00;1.794392467e+00;1.794390082e+00;1.172847176e+01;1.349779224e+01;1.354257870e+01;1.354818249e+01;1.355149269e+01;5.132361650e-01;5.681067840e+00;9.808873170e+04;1.422801215e+01
2021-02-15T11:08:38;1.917371750e+00;2.565095901e+00;3.000146389e+00;3.087154388e+00;1.213336277e+01;1.469903755e+01;1.526735497e+01;1.537657547e+01;1.539523029e+01;6.631683707e-01;6.121874646e+00;9.807899123e+04;1.322651094e+01
2021-02-15T11:23:38;1.862568021e+00;2.504479885e+00;2.937375307e+00;3.023950815e+00;1.176011658e+01;1.426584244e+01;1.483014774e+01;1.493867779e+01;1.495715332e+01;7.568539381e-01;6.657302791e+00;9.805180266e+04;1.321775853e+01
2021-02-15T11:38:38;2.322435379e+00;3.278925657e+00;3.945029974e+00;4.078248501e+00;1.433873653e+01;1.762761116e+01;1.848157501e+01;1.864677811e+01;1.867414474e+01;7.705847025e-01;7.382293564e+00;9.804512025e+04;1.326135529e+01
2021-02-15T11:53:38;2.261406898e+00;2.718255758e+00;2.982828140e+00;3.035738468e+00;1.494976997e+01;1.765219307e+01;1.802672195e+01;1.809675980e+01;1.811024094e+01;6.506487727e-01;7.473716978e+00;9.803567823e+04;1.330806160e+01
2021-02-15T12:08:38;2.222186804e+00;2.899278164e+00;3.343922138e+00;3.432847261e+00;1.421549797e+01;1.711149025e+01;1.769926643e+01;1.781176376e+01;1.783134270e+01;5.857523680e-01;6.569716118e+00;9.801811513e+04;1.526997433e+01
2021-02-15T12:23:38;2.365421295e+00;3.299617290e+00;3.945679426e+00;4.074886799e+00;1.468740082e+01;1.799499702e+01;1.882624435e+01;1.898685074e+01;1.901361275e+01;7.897703648e-01;6.807223243e+00;9.799794897e+04;1.425618359e+01
2021-02-15T12:38:38;1.259267211e+00;1.556996465e+00;1.739394188e+00;1.775872111e+00;8.234587669e+00;9.785099983e+00;1.003538799e+01;1.008268356e+01;1.009139347e+01;6.602844000e-01;7.784749079e+00;9.798969199e+04;1.262818456e+01
2021-02-15T12:53:38;1.778310299e+00;1.948072672e+00;2.002766371e+00;2.013702869e+00;1.215058231e+01;1.407601643e+01;1.418803310e+01;1.420684242e+01;1.421218491e+01;5.589655638e-01;7.866582987e+00;9.797409936e+04;1.234462595e+01
2021-02-15T13:08:38;2.390112877e+00;2.981038809e+00;3.348136425e+00;3.421551228e+00;1.557563400e+01;1.854574966e+01;1.904568100e+01;1.914039230e+01;1.915764046e+01;6.519672275e-01;6.252614717e+00;9.795177508e+04;1.316670953e+01
2021-02-15T13:23:38;1.852960348e+00;2.130058765e+00;2.268149376e+00;2.295763731e+00;1.245202732e+01;1.456388378e+01;1.477711582e+01;1.481589222e+01;1.482424259e+01;6.226903200e-01;9.286541008e+00;9.792223639e+04;1.233766365e+01
2021-02-15T13:38:38;1.515621662e+00;1.898199558e+00;2.137344837e+00;2.185171843e+00;9.860478401e+00;1.175217533e+01;1.207676125e+01;1.213832474e+01;1.214947987e+01;6.783797145e-01;8.105052532e+00;9.789620041e+04;1.221369841e+01
2021-02-15T13:53:38;2.105170488e+00;2.450265408e+00;2.631658554e+00;2.667933702e+00;1.408385944e+01;1.651507568e+01;1.678649521e+01;1.683634567e+01;1.684667206e+01;6.882315874e-01;7.032583881e+00;9.787275583e+04;1.323589531e+01
2021-02-15T14:08:38;1.813084960e+00;2.863880157e+00;3.629993677e+00;3.783214331e+00;1.056097221e+01;1.344896984e+01;1.440850449e+01;1.459567738e+01;1.462547970e+01;9.098531008e-01;6.096941354e+00;9.785374335e+04;1.410031952e+01
