Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0x9442d23b
SPS30 serial number: 4484E7F7A263A28F
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:53:48;3.915762901e+00;4.253401756e+00;4.344550610e+00;4.362777233e+00;2.683001900e+01;3.103200340e+01;3.124378395e+01;3.127827263e+01;3.128906441e+01;6.052341461e-01;1.089933910e+01;9.819263756e+04;2.018769983e+01
2021-02-15T10:08:48;2.915067673e+00;3.559515953e+00;3.945510864e+00;4.022713661e+00;1.915521431e+01;2.269748688e+01;2.323374176e+01;2.333465958e+01;2.335362816e+01;6.068985462e-01;8.215549635e+00;9.814629747e+04;2.073291230e+01
2021-02-15T10:23:48;2.341727734e+00;2.476288319e+00;2.476284742e+00;2.476284742e+00;1.618525124e+01;1.862718773e+01;1.868896675e+01;1.869669724e+01;1.870127869e+01;4.813218117e-01;9.250620155e+00;9.814570247e+04;1.924045062e+01
2021-02-15T10:38:48;1.788144112e+00;2.108199596e+00;2.284067631e+00;2.319242001e+00;1.190673351e+01;1.400032997e+01;1.425679302e+01;1.430429268e+01;1.431383419e+01;5.655893087e-01;8.765539284e+00;9.814430268e+04;1.920485469e+01
2021-02-15T10:53:47;2.073658228e+00;2.773114443e+00;3.242761135e+00;3.336689472e+00;1.312453175e+01;1.589827728e+01;1.651187515e+01;1.662980080e+01;1.664999771e+01;7.777057290e-01;1.106817781e+01;9.814173575e+04;1.719421178e+01
2021-02-15T11:08:47;1.254217505e+00;1.326287389e+00;1.326285362e+00;1.326285362e+00;8.668737411e+00;9.976626396e+00;1.000971508e+01;1.001385593e+01;1.001630878e+01;5.100274086e-01;1.278216450e+01;9.812707429e+04;1.586005012e+01
2021-02-15T11:23:47;1.856376648e+00;1.963047981e+00;1.963045001e+00;1.963045001e+00;1.283066368e+01;1.476647949e+01;1.481545448e+01;1.482158279e+01;1.482521439e+01;5.452818871e-01;1.344154643e+01;9.809764618e+04;1.570069928e+01
2021-02-15T11:38:47;1.876027584e+00;2.251224756e+00;2.467632055e+00;2.510913372e+00;1.240988731e+01;1.464790058e+01;1.495492649e+01;1.501230431e+01;1.502341080e+01;6.557191014e-01;1.520258677e+01;9.809472281e+04;1.519050320e+01
2021-02-15T11:53:47;1.544415236e+00;1.986826539e+00;2.273052454e+00;2.330299139e+00;9.938323975e+00;1.192141819e+01;1.230278111e+01;1.237557602e+01;1.238843441e+01;7.004961371e-01;1.494036321e+01;9.808375188e+04;1.510556335e+01
2021-02-15T12:08:47;1.940206051e+00;2.271161556e+00;2.448778152e+00;2.484300613e+00;1.295323658e+01;1.520767975e+01;1.547023678e+01;1.551865292e+01;1.552855206e+01;5.943237543e-01;1.250587787e+01;9.806205277e+04;1.704980574e+01
2021-02-15T12:23:47;2.020103216e+00;3.567630053e+00;4.726129055e+00;4.957828522e+00;1.098268604e+01;1.459727764e+01;1.602921104e+01;1.630988121e+01;1.635364723e+01;9.768958092e-01;1.133710528e+01;9.803297057e+04;1.761154553e+01
2021-02-15T12:38:47;1.066139102e+00;1.127401710e+00;1.127400041e+00;1.127400041e+00;7.368802071e+00;8.480564117e+00;8.508691788e+00;8.512210846e+00;8.514296532e+00;5.239452124e-01;1.064959909e+01;9.803242542e+04;1.797187744e+01
2021-02-15T12:53:47;1.597143769e+00;1.822652698e+00;1.930883765e+00;1.952530622e+00;1.076055908e+01;1.256693745e+01;1.273787498e+01;1.276874638e+01;1.277558994e+01;6.350992322e-01;8.928938020e+00;9.801532349e+04;1.924945114e+01
2021-02-15T13:08:47;1.427350760e+00;1.509369373e+00;1.509366989e+00;1.509366989e+00;9.865377426e+00;1.135380840e+01;1.139146519e+01;1.139617729e+01;1.139896965e+01;4.381231070e-01;6.324186484e+00;9.800144775e+04;2.096738241e+01
2021-02-15T13:23:47;1.728336811e+00;1.871590853e+00;1.907150984e+00;1.914260864e+00;1.185423183e+01;1.370281887e+01;1.379073620e+01;1.380485249e+01;1.380945492e+01;5.644245148e-01;7.677394414e+00;9.796670445e+04;2.152888574e+01
2021-02-15T13:38:47;1.832942605e+00;2.358447313e+00;2.698505402e+00;2.766516209e+00;1.179407692e+01;1.414811993e+01;1.460115528e+01;1.468763542e+01;1.470290756e+01;5.909708738e-01;5.817378263e+00;9.794536377e+04;2.174082021e+01
2021-02-15T13:53:47;1.982351184e+00;2.235150099e+00;2.347554922e+00;2.370033979e+00;1.341225433e+01;1.562575626e+01;1.581182098e+01;1.584495068e+01;1.585269165e+01;6.232972145e-01;5.135989503e+00;9.792354417e+04;2.290285239e+01
2021-02-15T14:08:47;1.674420476e+00;2.648929358e+00;3.359749317e+00;3.501912355e+00;9.744846344e+00;1.241621017e+01;1.330627632e+01;1.347992325e+01;1.350762844e+01;8.014165163e-01;4.816880071e+00;9.790540179e+04;2.312062272e+01
2021-02-15T14:23:47;1.949972153e+00;2.388073683e+00;2.651952028e+00;2.704728842e+00;1.279887486e+01;1.517579174e+01;1.554125881e+01;1.561010933e+01;1.562299156e+01;6.616810560e-01;5.152616479e+00;9.789152005e+04;2.321761399e+01
