Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0xe7d0d0f1
SPS30 serial number: AB41F5B2330B0ECB
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:53:48;4.271719456e+00;5.231586933e+00;5.809766769e+00;5.925401211e+00;2.794690895e+01;3.319787979e+01;3.404555511e+01;3.420827484e+01;3.423657227e+01;6.011054516e-01;1.050893616e+01;9.814813898e+04;1.150663726e+01
2021-02-15T10:08:48;2.793439627e+00;3.309460402e+00;3.597176313e+00;3.654719830e+00;1.851919556e+01;2.183020020e+01;2.227093315e+01;2.235429955e+01;2.236960220e+01;7.199669480e-01;4.663601449e+00;9.809934985e+04;1.539757434e+01
2021-02-15T10:23:48;2.316255093e+00;3.000520706e+00;3.446592331e+00;3.535805464e+00;1.479627800e+01;1.782363892e+01;1.844989395e+01;1.857192230e+01;1.859195709e+01;7.765498757e-01;3.755659339e+00;9.809179417e+04;1.546877583e+01
2021-02-15T10:38:48;2.320568323e+00;2.682153702e+00;2.866871834e+00;2.903816223e+00;1.553064823e+01;1.820739555e+01;1.850528145e+01;1.856069183e+01;1.857148552e+01;5.773547888e-01;3.196756344e+00;9.808777225e+04;1.580069608e+01
2021-02-15T10:53:48;1.872320056e+00;2.284147024e+00;2.530374289e+00;2.579616547e+00;1.226869011e+01;1.456044769e+01;1.492294693e+01;1.499243355e+01;1.500458145e+01;6.917474866e-01;3.911287469e+00;9.808421797e+04;1.515189857e+01
2021-02-15T11:08:47;1.403627038e+00;1.729846954e+00;1.928586483e+00;1.968333483e+00;9.159353256e+00;1.089664745e+01;1.118618965e+01;1.124188995e+01;1.125149727e+01;6.059477329e-01;4.662955683e+00;9.807118628e+04;1.394311230e+01
2021-02-15T11:23:47;1.732622266e+00;3.012084484e+00;3.967003822e+00;4.157986164e+00;9.393218040e+00;1.250189877e+01;1.375119686e+01;1.400085926e+01;1.403784275e+01;1.009575844e+00;5.052030353e+00;9.804992763e+04;1.404707337e+01
2021-02-15T11:38:47;1.727739215e+00;2.289065838e+00;2.663010120e+00;2.737797499e+00;1.092573166e+01;1.323989391e+01;1.375882721e+01;1.386035538e+01;1.387676048e+01;6.662915945e-01;5.580593358e+00;9.804069483e+04;1.470572946e+01
2021-02-15T11:53:47;1.749200344e+00;1.849713564e+00;1.849713564e+00;1.849712372e+00;1.208207703e+01;1.391056633e+01;1.396009731e+01;1.396636963e+01;1.396957302e+01;4.686325788e-01;5.491153955e+00;9.803087545e+04;1.468199081e+01
2021-02-15T12:08:47;2.121429920e+00;2.330625057e+00;2.401272774e+00;2.415399790e+00;1.446268368e+01;1.677626991e+01;1.692513847e+01;1.695075607e+01;1.695714378e+01;6.236251593e-01;4.409492989e+00;9.801036934e+04;1.577158971e+01
