Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0xb208f50b
SPS30 serial number: BA5D484176C95811
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:53:35;4.344068527e+00;5.319930077e+00;5.907696724e+00;6.025251389e+00;2.851281166e+01;3.380800247e+01;3.462219620e+01;3.477556229e+01;3.480422592e+01;6.518968940e-01;1.056706927e+01;9.816200564e+04;1.160971867e+01
2021-02-15T10:08:35;2.605774641e+00;3.316679716e+00;3.770849466e+00;3.861683130e+00;1.684188652e+01;2.015053940e+01;2.075985718e+01;2.087589264e+01;2.089657211e+01;7.190146446e-01;3.100717765e+00;9.813318064e+04;1.761190458e+01
2021-02-15T10:23:35;2.101145744e+00;3.776958466e+00;5.035516739e+00;5.287227154e+00;1.128425312e+01;1.511456013e+01;1.666797066e+01;1.697265244e+01;1.701998520e+01;9.245732427e-01;1.690790257e+00;9.810413250e+04;1.855568345e+01
2021-02-15T10:38:35;1.986009836e+00;2.100130081e+00;2.100131512e+00;2.100131512e+00;1.372683239e+01;1.579763794e+01;1.585003948e+01;1.585657978e+01;1.586045074e+01;5.411089659e-01;1.406683820e+00;9.810488889e+04;1.895762209e+01
2021-02-15T10:53:35;1.792390227e+00;2.167946100e+00;2.388537407e+00;2.432654619e+00;1.182098198e+01;1.397725010e+01;1.428709698e+01;1.434518909e+01;1.435626125e+01;6.639360189e-01;2.101990046e+00;9.809840127e+04;1.741933504e+01
2021-02-15T11:08:35;1.497364163e+00;2.022453547e+00;2.377784252e+00;2.448851585e+00;9.435133934e+00;1.145929909e+01;1.192173195e+01;1.201073074e+01;1.202585602e+01;7.121816874e-01;3.105544117e+00;9.809612759e+04;1.554288381e+01
2021-02-15T11:23:34;1.737957239e+00;2.473738194e+00;2.988398552e+00;3.091330290e+00;1.068809032e+01;1.317067051e+01;1.382908916e+01;1.395657635e+01;1.397764397e+01;8.343856335e-01;4.170887265e+00;9.806326573e+04;1.504206834e+01
2021-02-15T11:38:34;1.571645856e+00;1.876030803e+00;2.049287081e+00;2.083936930e+00;1.041704655e+01;1.228148556e+01;1.252916813e+01;1.257533455e+01;1.258434963e+01;6.096009016e-01;5.211145257e+00;9.805565125e+04;1.495590486e+01
2021-02-15T11:53:34;1.704291344e+00;1.802223444e+00;1.802224755e+00;1.802224755e+00;1.177966022e+01;1.355671883e+01;1.360168743e+01;1.360729980e+01;1.361062241e+01;5.473563671e-01;5.232381702e+00;9.804870868e+04;1.472938484e+01
2021-02-15T12:08:34;3.625757456e+00;7.168642998e+00;9.867362022e+00;1.040710354e+01;1.811635971e+01;2.541238976e+01;2.872014999e+01;2.937057686e+01;2.947035599e+01;8.892514706e-01;4.421217363e+00;9.803453433e+04;1.668882168e+01
