Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0xe6d64d4a
SPS30 serial number: 934B87913FD5D3F2
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:53:35;4.223292351e+00;4.741716385e+00;4.964884758e+00;5.009514809e+00;2.861585617e+01;3.331040955e+01;3.368754196e+01;3.375428772e+01;3.377022552e+01;6.246442795e-01;1.091790617e+01;9.814726046e+04;1.345019481e+01
2021-02-15T10:08:35;2.663450003e+00;2.816497326e+00;2.816497326e+00;2.816497326e+00;1.840901566e+01;2.118627548e+01;2.125658417e+01;2.126538277e+01;2.127060509e+01;4.526989460e-01;4.884280830e+00;9.810353540e+04;1.809594711e+01
2021-02-15T10:23:35;2.384235859e+00;3.804643393e+00;4.843330383e+00;5.051067352e+00;1.380597973e+01;1.764554977e+01;1.894490623e+01;1.919848824e+01;1.923880959e+01;9.177290797e-01;3.888904302e+00;9.809932017e+04;1.834475637e+01
2021-02-15T10:38:35;2.283310890e+00;2.769198895e+00;3.056250334e+00;3.113662004e+00;1.504283714e+01;1.779775810e+01;1.819972801e+01;1.827517319e+01;1.828950310e+01;6.888775826e-01;3.108293553e+00;9.810731250e+04;1.953555642e+01
2021-02-15T10:53:35;2.043133259e+00;2.881944656e+00;3.465795279e+00;3.582565546e+00;1.261895084e+01;1.551017189e+01;1.625910187e+01;1.640396500e+01;1.642800713e+01;7.870550752e-01;2.944747017e+00;9.809902006e+04;1.894576166e+01
2021-02-15T11:08:35;1.849189520e+00;2.542865753e+00;3.018275738e+00;3.113358736e+00;1.155755043e+01;1.410523605e+01;1.471996307e+01;1.483853245e+01;1.485847473e+01;7.835136652e-01;2.951148050e+00;9.808997485e+04;1.828524657e+01
2021-02-15T11:23:34;1.883286119e+00;2.171082973e+00;2.316420078e+00;2.345488310e+00;1.264269924e+01;1.479584026e+01;1.501855946e+01;1.505915928e+01;1.506784153e+01;6.548366547e-01;2.765198226e+00;9.806700115e+04;1.942437121e+01
2021-02-15T11:38:34;1.899684191e+00;2.452538490e+00;2.811629772e+00;2.883448124e+00;1.220591736e+01;1.465468693e+01;1.513228416e+01;1.522350407e+01;1.523955345e+01;6.652302146e-01;3.082689379e+00;9.805971919e+04;1.989836827e+01
2021-02-15T11:53:34;1.803348660e+00;1.906972885e+00;1.906972885e+00;1.906972885e+00;1.246423817e+01;1.434464455e+01;1.439224720e+01;1.439820480e+01;1.440174103e+01;4.716978073e-01;3.081729223e+00;9.805618824e+04;1.979507458e+01
2021-02-15T12:08:34;3.465396404e+00;7.547664165e+00;1.069037247e+01;1.131891251e+01;1.586370277e+01;2.357225800e+01;2.740471649e+01;2.815958595e+01;2.827423668e+01;1.037554741e+00;2.837529781e+00;9.803016499e+04;2.131429327e+01
2021-02-15T12:23:34;2.174463749e+00;2.299412966e+00;2.299412966e+00;2.299412966e+00;1.502928066e+01;1.729666138e+01;1.735405922e+01;1.736124229e+01;1.736550713e+01;4.824485779e-01;2.806484814e+00;9.801516398e+04;2.051256883e+01
2021-02-15T12:38:34;2.037515163e+00;2.329578638e+00;2.471195936e+00;2.499519825e+00;1.371825886e+01;1.602737236e+01;1.624973488e+01;1.628996658e+01;1.629882240e+01;5.971887112e-01;3.316007684e+00;9.800740193e+04;1.929664680e+01
