Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0xc09c6a7a
SPS30 serial number: E9DEFAD71B7FAF3F
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:53:25;4.429186344e+00;4.934347153e+00;5.137201309e+00;5.177771568e+00;3.004697418e+01;3.495210266e+01;3.533237839e+01;3.539999390e+01;3.541530609e+01;5.460652113e-01;1.071379045e+01;9.824411338e+04;1.353319978e+01
2021-02-15T10:08:24;2.381253004e+00;2.722748756e+00;2.888387203e+00;2.921514750e+00;1.600152588e+01;1.871556091e+01;1.899112701e+01;1.904191017e+01;1.905214882e+01;6.400026083e-01;9.098238414e+00;9.819134216e+04;1.192688428e+01
2021-02-15T10:23:24;1.674653649e+00;1.770883203e+00;1.770882130e+00;1.770882130e+00;1.156743240e+01;1.331778526e+01;1.336515236e+01;1.337115288e+01;1.337422466e+01;4.073635340e-01;1.080643718e+01;9.817933292e+04;9.661392430e+00
2021-02-15T10:38:24;1.820334673e+00;2.495983601e+00;2.958143234e+00;3.050576925e+00;1.132749557e+01;1.385829735e+01;1.449074078e+01;1.461515427e+01;1.463486862e+01;6.578049660e-01;1.425328320e+01;9.817501077e+04;7.351850712e+00
2021-02-15T10:53:24;1.788628459e+00;1.972447038e+00;2.038031816e+00;2.051149130e+00;1.217784309e+01;1.413647175e+01;1.426950741e+01;1.429264545e+01;1.429825115e+01;5.309119225e-01;1.576509391e+01;9.817117277e+04;6.119320683e+00
2021-02-15T11:08:24;1.488475919e+00;1.668052316e+00;1.744163632e+00;1.759385467e+00;1.007620049e+01;1.173541451e+01;1.187319088e+01;1.189793968e+01;1.190336704e+01;5.813207626e-01;1.763029191e+01;9.815699298e+04;4.724651734e+00
2021-02-15T11:23:24;1.727353573e+00;2.057820320e+00;2.244941473e+00;2.282365561e+00;1.142687893e+01;1.348665524e+01;1.377073383e+01;1.382465363e+01;1.383445454e+01;5.150781870e-01;1.843989831e+01;9.812944474e+04;4.474574363e+00
2021-02-15T11:38:24;1.841846585e+00;2.048937798e+00;2.130884886e+00;2.147274494e+00;1.250132370e+01;1.453781223e+01;1.469292068e+01;1.472042274e+01;1.472670555e+01;5.364067554e-01;1.858015840e+01;9.812053901e+04;4.504517356e+00
2021-02-15T11:53:24;1.591020465e+00;1.682444215e+00;1.682443261e+00;1.682443261e+00;1.098974705e+01;1.265268707e+01;1.269768906e+01;1.270338917e+01;1.270630836e+01;4.148417711e-01;1.992685819e+01;9.811277983e+04;4.012362695e+00
2021-02-15T12:08:24;2.909114361e+00;3.938366890e+00;4.636070251e+00;4.775611401e+00;1.821294403e+01;2.220190048e+01;2.316122818e+01;2.334962845e+01;2.337968445e+01;7.095177174e-01;1.865300428e+01;9.809296706e+04;5.026372543e+00
2021-02-15T12:23:24;1.535467029e+00;1.956693172e+00;2.226191759e+00;2.280091286e+00;9.879320145e+00;1.185050583e+01;1.223270893e+01;1.230695629e+01;1.231932163e+01;6.784809232e-01;1.827663455e+01;9.806617647e+04;4.713233635e+00
2021-02-15T12:38:24;1.482017756e+00;1.918268561e+00;2.202412605e+00;2.259242773e+00;9.470634460e+00;1.140586281e+01;1.180496407e+01;1.188275528e+01;1.189554119e+01;5.984296799e-01;1.954153704e+01;9.805901249e+04;4.062488950e+00
2021-02-15T12:53:24;1.545445800e+00;2.113892794e+00;2.502075195e+00;2.579713106e+00;9.628215790e+00;1.177115154e+01;1.230282784e+01;1.240738583e+01;1.242397404e+01;6.883418560e-01;1.932555344e+01;9.804815098e+04;3.943903905e+00
2021-02-15T13:08:24;1.860219121e+00;1.967111707e+00;1.967110515e+00;1.967110515e+00;1.284919930e+01;1.479350662e+01;1.484612179e+01;1.485278702e+01;1.485619926e+01;3.993296623e-01;1.577723451e+01;9.802492022e+04;5.552886455e+00
2021-02-15T13:23:24;1.923069239e+00;2.498001099e+00;2.873872042e+00;2.949044943e+00;1.226979923e+01;1.479069042e+01;1.531757069e+01;1.542034054e+01;1.543718529e+01;5.944029093e-01;1.927890616e+01;9.798898250e+04;4.529974876e+00
2021-02-15T13:38:24;1.709102750e+00;1.807311893e+00;1.807310820e+00;1.807310820e+00;1.180538464e+01;1.359174442e+01;1.364008617e+01;1.364620972e+01;1.364934444e+01;4.294353724e-01;1.753540166e+01;9.797375087e+04;5.258894755e+00
2021-02-15T13:53:24;2.017769814e+00;3.095830441e+00;3.874488831e+00;4.030220509e+00;1.183781910e+01;1.500517368e+01;1.604105377e+01;1.624691010e+01;1.627819824e+01;7.618436217e-01;1.109683740e+01;9.795206051e+04;9.356203973e+00
2021-02-15T14:08:23;1.988992453e+00;2.324642420e+00;2.503788471e+00;2.539619923e+00;1.325560951e+01;1.557801723e+01;1.585947227e+01;1.591229725e+01;1.592229366e+01;6.256031990e-01;7.891305523e+00;9.793291915e+04;1.204284743e+01
2021-02-15T14:23:23;2.070743322e+00;2.648732901e+00;3.020210505e+00;3.094506741e+00;1.330168152e+01;1.597095299e+01;1.649648857e+01;1.659866714e+01;1.661562538e+01;7.060254216e-01;6.724320993e+00;9.791401863e+04;1.304791758e+01
2021-02-15T14:38:23;2.980221510e+00;3.151472092e+00;3.151470184e+00;3.151470184e+00;2.058545685e+01;2.370039368e+01;2.378468895e+01;2.379536629e+01;2.380083275e+01;5.095676184e-01;5.228315657e+00;9.790792479e+04;1.483987647e+01
2021-02-15T14:53:23;2.414670706e+00;3.413724422e+00;4.109982967e+00;4.249235153e+00;1.480154324e+01;1.827173996e+01;1.921526718e+01;1.940152550e+01;1.943062401e+01;7.686170936e-01;4.938573324e+00;9.789291508e+04;1.562919546e+01
2021-02-15T15:08:23;3.276934862e+00;4.018174648e+00;4.465677738e+00;4.555181503e+00;2.142827225e+01;2.546159744e+01;2.611681747e+01;2.624271011e+01;2.626457977e+01;5.873322487e-01;4.467704097e+00;9.789392473e+04;1.648370009e+01
2021-02-15T15:23:23;2.377921581e+00;2.674401760e+00;2.803761482e+00;2.829634428e+00;1.607633591e+01;1.873757744e+01;1.896744919e+01;1.900896645e+01;1.901791191e+01;5.257836580e-01;4.352063593e+00;9.787336786e+04;1.649529227e+01
2021-02-15T15:38:23;3.893239260e+00;5.211315155e+00;6.097001553e+00;6.274140358e+00;2.450375366e+01;2.977683258e+01;3.100030136e+01;3.124017715e+01;3.127869797e+01;6.936826110e-01;4.483357105e+00;9.786246283e+04;1.718651081e+01
2021-02-15T15:53:23;2.871682405e+00;3.376764059e+00;3.651987314e+00;3.707031965e+00;1.909360123e+01;2.246918678e+01;2.289637947e+01;2.297687149e+01;2.299189186e+01;5.587506294e-01;4.227798134e+00;9.786327621e+04;1.617568176e+01
2021-02-15T16:08:23;3.872077227e+00;4.956491947e+00;5.654058456e+00;5.793572903e+00;2.486484528e+01;2.986010551e+01;3.084650040e+01;3.103831482e+01;3.107013130e+01;7.291226387e-01;3.750863151e+00;9.784955821e+04;1.686266479e+01
2021-02-15T16:23:23;3.498898983e+00;4.292041302e+00;4.771227837e+00;4.867069244e+00;2.287602043e+01;2.718441010e+01;2.788573647e+01;2.802050972e+01;2.804390335e+01;5.196317434e-01;3.418958788e+00;9.782352238e+04;1.770640922e+01
2021-02-15T16:38:23;2.541305780e+00;3.187844276e+00;3.592915297e+00;3.673931122e+00;1.646143723e+01;1.966820526e+01;2.024927902e+01;2.036171150e+01;2.038072777e+01;6.986307502e-01;2.957680844e+00;9.781706700e+04;1.833230918e+01
2021-02-15T16:53:23;6.501258850e+00;6.954137325e+00;7.018310070e+00;7.031147957e+00;4.473346710e+01;5.161583710e+01;5.188039780e+01;5.192005920e+01;5.193426514e+01;5.590130091e-01;2.768889793e+00;9.780994417e+04;1.897875539e+01
2021-02-15T17:08:23;7.881300926e+00;1.092006493e+01;1.301287460e+01;1.343143654e+01;4.879573822e+01;5.987791061e+01;6.273158264e+01;6.329367447e+01;6.338227844e+01;6.674659848e-01;2.373739589e+00;9.780673334e+04;2.073651009e+01
