Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0xc59627fb
SPS30 serial number: 9BC4514C922B18F5
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:53:20;4.715827465e+00;5.761715889e+00;6.388856888e+00;6.514286041e+00;3.098048973e+01;3.671505356e+01;3.758599091e+01;3.774995041e+01;3.778073502e+01;7.410860062e-01;1.036960970e+01;9.818630181e+04;1.201882032e+01
2021-02-15T10:08:20;3.038213253e+00;3.212796926e+00;3.212794781e+00;3.212794781e+00;2.099900246e+01;2.416735077e+01;2.424751282e+01;2.425754356e+01;2.426350212e+01;5.210416317e-01;6.241497161e+00;9.813839869e+04;1.398223311e+01
2021-02-15T10:23:19;2.017748594e+00;2.133693695e+00;2.133692265e+00;2.133692265e+00;1.394593048e+01;1.605010414e+01;1.610334206e+01;1.611000252e+01;1.611396027e+01;5.171067715e-01;6.674107913e+00;9.812708549e+04;1.266129655e+01
2021-02-15T10:38:19;2.281026840e+00;2.658403397e+00;2.857739925e+00;2.897608042e+00;1.525274181e+01;1.789107132e+01;1.818853569e+01;1.824323082e+01;1.825454903e+01;5.578708649e-01;9.399828489e+00;9.812887806e+04;1.046645258e+01
2021-02-15T10:53:19;1.835753083e+00;2.293604851e+00;2.578781366e+00;2.635814428e+00;1.195432568e+01;1.424009895e+01;1.462798786e+01;1.470152473e+01;1.471491814e+01;7.203440070e-01;9.726959125e+00;9.811887551e+04;9.785554443e+00
2021-02-15T11:08:19;2.397915840e+00;2.535706282e+00;2.535704613e+00;2.535704613e+00;1.657350349e+01;1.907412910e+01;1.913739777e+01;1.914531326e+01;1.915001678e+01;5.217794180e-01;1.018991227e+01;9.810860131e+04;8.982987720e+00
2021-02-15T11:23:19;2.315850019e+00;3.017771244e+00;3.478150368e+00;3.570226192e+00;1.482180405e+01;1.783641052e+01;1.844551659e+01;1.856209183e+01;1.858244324e+01;6.724686027e-01;1.004505769e+01;9.808113100e+04;9.501083849e+00
2021-02-15T11:38:19;2.128981829e+00;2.655960560e+00;2.983442068e+00;3.048940897e+00;1.387216282e+01;1.651882553e+01;1.696480942e+01;1.704932594e+01;1.706474686e+01;7.338644862e-01;9.854069372e+00;9.807567625e+04;9.858534507e+00
2021-02-15T11:53:19;2.044924021e+00;2.162430763e+00;2.162429333e+00;2.162429333e+00;1.413375664e+01;1.626626968e+01;1.632022476e+01;1.632697487e+01;1.633098602e+01;4.118620157e-01;1.002892690e+01;9.806483119e+04;1.000414835e+01
2021-02-15T12:08:19;3.203865767e+00;5.122405052e+00;6.526120186e+00;6.806863308e+00;1.853237152e+01;2.370155907e+01;2.545697021e+01;2.579968262e+01;2.585416985e+01;8.607270718e-01;8.817190427e+00;9.804823846e+04;1.176199857e+01
2021-02-15T12:23:19;1.861001492e+00;1.967939377e+00;1.967938066e+00;1.967938066e+00;1.286255169e+01;1.480326366e+01;1.485236645e+01;1.485851002e+01;1.486215973e+01;4.962527752e-01;8.450059378e+00;9.802918692e+04;1.120990228e+01
2021-02-15T12:38:19;1.638201833e+00;2.646584034e+00;3.386501312e+00;3.534485817e+00;9.418937683e+00;1.209092045e+01;1.301488686e+01;1.319537067e+01;1.322399139e+01;8.603764772e-01;9.456285862e+00;9.801501528e+04;1.027618696e+01
2021-02-15T12:53:19;1.446051121e+00;1.529145002e+00;1.529144049e+00;1.529144049e+00;9.994568825e+00;1.150255775e+01;1.154071140e+01;1.154548550e+01;1.154832172e+01;4.503272772e-01;9.842132616e+00;9.800304198e+04;9.515126501e+00
2021-02-15T13:08:19;2.010478973e+00;2.159593582e+00;2.186773300e+00;2.192209721e+00;1.382574749e+01;1.595774078e+01;1.604314423e+01;1.605621338e+01;1.606109047e+01;5.530132055e-01;8.805253806e+00;9.798247776e+04;9.935816714e+00
