Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0xe0da3bb4
SPS30 serial number: 98F9290B17B584E9
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:53:17;4.615867138e+00;4.997354507e+00;5.091437340e+00;5.110251904e+00;3.157673645e+01;3.657720184e+01;3.683098221e+01;3.686966705e+01;3.688033676e+01;5.682158470e-01;1.071782275e+01;9.817164598e+04;1.236473768e+01
2021-02-15T10:08:17;2.425678492e+00;2.969048977e+00;3.296002150e+00;3.361392975e+00;1.586759377e+01;1.885706520e+01;1.933274078e+01;1.942187119e+01;1.943727875e+01;5.330209732e-01;8.013310199e+00;9.812935696e+04;1.328162347e+01
2021-02-15T10:23:17;2.016585827e+00;3.202609777e+00;4.068700314e+00;4.241919041e+00;1.163627434e+01;1.489609623e+01;1.602458954e+01;1.624602890e+01;1.627982140e+01;9.148218036e-01;9.092373509e+00;9.811588209e+04;1.144179527e+01
2021-02-15T10:38:17;1.349258184e+00;1.548295856e+00;1.646632314e+00;1.666298628e+00;9.044775963e+00;1.059877586e+01;1.076033401e+01;1.078920460e+01;1.079482460e+01;5.502845049e-01;1.219368149e+01;9.811968577e+04;9.709174419e+00
2021-02-15T10:53:17;1.648738503e+00;1.743478894e+00;1.743477821e+00;1.743477821e+00;1.136681843e+01;1.310913277e+01;1.315832806e+01;1.316381454e+01;1.316643810e+01;4.155398607e-01;1.358601754e+01;9.810518968e+04;7.887509822e+00
2021-02-15T11:08:16;1.571410060e+00;2.127446413e+00;2.504378557e+00;2.579763651e+00;9.847257614e+00;1.199911404e+01;1.251094627e+01;1.260962772e+01;1.262543869e+01;5.409162045e-01;1.561468043e+01;9.810118232e+04;6.127284617e+00
2021-02-15T11:23:16;1.843488097e+00;2.457989931e+00;2.869585514e+00;2.951905251e+00;1.163231564e+01;1.411686993e+01;1.467958069e+01;1.478775978e+01;1.480522728e+01;6.216347218e-01;1.635741263e+01;9.807165978e+04;5.968103101e+00
2021-02-15T11:38:16;2.077025175e+00;2.493076086e+00;2.733200073e+00;2.781225681e+00;1.369112110e+01;1.619898796e+01;1.655715752e+01;1.662360191e+01;1.663538742e+01;6.684032679e-01;1.694130998e+01;9.806071783e+04;5.731901492e+00
2021-02-15T11:53:16;2.003884077e+00;2.740713835e+00;3.243854761e+00;3.344481230e+00;1.249855423e+01;1.527191734e+01;1.595233345e+01;1.608374405e+01;1.610470009e+01;7.591989636e-01;1.889094498e+01;9.804862469e+04;4.991201006e+00
2021-02-15T12:08:16;2.736048698e+00;4.997968674e+00;6.701344490e+00;7.042020321e+00;1.440524101e+01;1.951660156e+01;2.169935608e+01;2.213077354e+01;2.219527435e+01;8.177852631e-01;1.805415652e+01;9.803325481e+04;5.845292799e+00
