Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0x9744e944
SPS30 serial number: DE685F7756526A66
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:53:15;4.595928192e+00;5.377647400e+00;5.796575069e+00;5.880357742e+00;3.065277481e+01;3.597133636e+01;3.664579010e+01;3.677983856e+01;3.680680084e+01;6.114050150e-01;1.013381536e+01;9.818036272e+04;1.182712316e+01
2021-02-15T10:08:15;2.178297997e+00;2.347608805e+00;2.383332729e+00;2.390478134e+00;1.499894810e+01;1.728337288e+01;1.738179398e+01;1.739904404e+01;1.740472412e+01;5.710651875e-01;5.853047555e+00;9.813394870e+04;1.446274063e+01
2021-02-15T10:23:14;1.557921648e+00;2.382366896e+00;2.977155685e+00;3.096112728e+00;9.081829071e+00;1.154198837e+01;1.238582420e+01;1.255996990e+01;1.258884811e+01;8.541040421e-01;5.968448348e+00;9.813302935e+04;1.320792123e+01
2021-02-15T10:38:14;2.416412115e+00;2.889853716e+00;3.160645485e+00;3.214801788e+00;1.597031784e+01;1.884002304e+01;1.926329041e+01;1.934813309e+01;1.936451149e+01;6.503213048e-01;8.698581271e+00;9.814134775e+04;1.168702201e+01
2021-02-15T10:53:14;1.558275223e+00;1.931478143e+00;2.161051273e+00;2.206964970e+00;1.013997078e+01;1.207032681e+01;1.241793919e+01;1.248827267e+01;1.250122833e+01;5.908161402e-01;9.251695190e+00;9.813049768e+04;1.013453767e+01
2021-02-15T11:08:14;1.537481666e+00;1.625828505e+00;1.625828505e+00;1.625827432e+00;1.065941143e+01;1.223519802e+01;1.227040291e+01;1.227541065e+01;1.227832031e+01;4.937709570e-01;9.783452894e+00;9.811592495e+04;9.149036497e+00
2021-02-15T11:23:14;1.622120380e+00;1.715330720e+00;1.715330720e+00;1.715329528e+00;1.124621391e+01;1.290874767e+01;1.294589043e+01;1.295117378e+01;1.295424366e+01;4.888151884e-01;1.032796586e+01;9.808727776e+04;9.284490459e+00
2021-02-15T11:38:14;1.386553526e+00;1.890506983e+00;2.233885527e+00;2.302559614e+00;8.620453835e+00;1.054001713e+01;1.103832626e+01;1.114045048e+01;1.115804386e+01;8.002665043e-01;9.749022443e+00;9.808130230e+04;1.002087624e+01
2021-02-15T11:53:14;1.497332454e+00;1.739976645e+00;1.866719365e+00;1.892066717e+00;1.001469231e+01;1.173331451e+01;1.193981266e+01;1.198071575e+01;1.198907471e+01;5.750641823e-01;1.020012616e+01;9.807454671e+04;9.915781588e+00
2021-02-15T12:08:14;2.936682940e+00;4.538290501e+00;5.697933197e+00;5.929860115e+00;1.700806427e+01;2.170130348e+01;2.334419823e+01;2.368339729e+01;2.373950958e+01;9.728260636e-01;9.179646728e+00;9.805534712e+04;1.153042319e+01
2021-02-15T12:23:14;1.502426982e+00;1.588759542e+00;1.588759542e+00;1.588758469e+00;1.041637611e+01;1.195623398e+01;1.199063683e+01;1.199553013e+01;1.199837303e+01;4.225364923e-01;8.702406831e+00;9.803276069e+04;1.102654722e+01
2021-02-15T12:38:14;1.260877848e+00;1.333330393e+00;1.333330393e+00;1.333329558e+00;8.741707802e+00;1.003399849e+01;1.006287003e+01;1.006697655e+01;1.006936264e+01;4.805049896e-01;9.094846400e+00;9.802272905e+04;1.055305353e+01
2021-02-15T12:53:14;1.721615314e+00;2.117572308e+00;2.357965708e+00;2.406043768e+00;1.124113846e+01;1.335461140e+01;1.372066402e+01;1.379460239e+01;1.380834103e+01;6.690300703e-01;9.033637190e+00;9.801095787e+04;1.028693490e+01
2021-02-15T13:08:14;1.437621832e+00;1.911458254e+00;2.228087664e+00;2.291413307e+00;9.051833153e+00;1.098490524e+01;1.144804001e+01;1.154272556e+01;1.155924988e+01;7.177734971e-01;7.950049842e+00;9.798312204e+04;1.113200504e+01
2021-02-15T13:23:14;1.629965186e+00;1.942966819e+00;2.120483398e+00;2.155986309e+00;1.078747463e+01;1.271574020e+01;1.299426174e+01;1.305003071e+01;1.306085396e+01;6.280025244e-01;1.061520735e+01;9.796034028e+04;9.951339218e+00
2021-02-15T13:38:14;1.982489824e+00;2.222033978e+00;2.323705196e+00;2.344038963e+00;1.345077610e+01;1.563024807e+01;1.581378937e+01;1.584914589e+01;1.585732937e+01;5.863466263e-01;9.749341244e+00;9.793486090e+04;1.008993711e+01
2021-02-15T13:53:14;1.828100085e+00;3.464539528e+00;4.703928471e+00;4.951804638e+00;9.091709137e+00;1.276451015e+01;1.449037170e+01;1.484862900e+01;1.490612030e+01;9.048750401e-01;8.264700067e+00;9.791552063e+04;1.156503253e+01
2021-02-15T14:08:14;2.329581261e+00;2.463443756e+00;2.463443756e+00;2.463442087e+00;1.615106392e+01;1.853868294e+01;1.859202576e+01;1.859961319e+01;1.860402298e+01;4.826754332e-01;7.428504392e+00;9.789666752e+04;1.204663376e+01
2021-02-15T14:23:13;1.898618698e+00;2.007717371e+00;2.007717371e+00;2.007715940e+00;1.316318703e+01;1.510910702e+01;1.515258121e+01;1.515876579e+01;1.516235828e+01;5.141937733e-01;6.651292551e+00;9.787750131e+04;1.273398271e+01
2021-02-15T14:38:13;1.679872870e+00;1.776401758e+00;1.776401758e+00;1.776400685e+00;1.164661407e+01;1.336833858e+01;1.340680408e+01;1.341227627e+01;1.341545486e+01;4.761384726e-01;4.474944077e+00;9.786272665e+04;1.515188125e+01
2021-02-15T14:53:13;2.266142607e+00;3.308838367e+00;4.047326565e+00;4.195022583e+00;1.357657146e+01;1.697119713e+01;1.802649879e+01;1.824379921e+01;1.828028107e+01;8.469558954e-01;4.168914265e+00;9.785479892e+04;1.608730375e+01
2021-02-15T15:08:13;2.721474648e+00;2.877856255e+00;2.877856255e+00;2.877854347e+00;1.886807442e+01;2.165735054e+01;2.171966743e+01;2.172853088e+01;2.173368073e+01;4.704993963e-01;3.605630882e+00;9.784790908e+04;1.705627641e+01
2021-02-15T15:23:13;1.842323780e+00;2.355270386e+00;2.684731722e+00;2.750622034e+00;1.182055283e+01;1.418703747e+01;1.467687321e+01;1.477652550e+01;1.479437447e+01;7.250375748e-01;3.496289923e+00;9.782802666e+04;1.709554466e+01
2021-02-15T15:38:13;2.442060947e+00;2.582386732e+00;2.582386732e+00;2.582385063e+00;1.693088913e+01;1.943379211e+01;1.948970985e+01;1.949766350e+01;1.950228500e+01;5.161588192e-01;3.496608701e+00;9.782166773e+04;1.776928856e+01
2021-02-15T15:53:13;2.418393850e+00;3.017218113e+00;3.389391422e+00;3.463824034e+00;1.569100285e+01;1.870991325e+01;1.927097511e+01;1.938464355e+01;1.940544510e+01;7.330902815e-01;3.790203823e+00;9.781672209e+04;1.616892281e+01
2021-02-15T16:08:13;2.097891808e+00;2.947524309e+00;3.537585974e+00;3.655597687e+00;1.283912182e+01;1.584584236e+01;1.669561958e+01;1.687018013e+01;1.689987564e+01;7.574295998e-01;3.090167534e+00;9.780410106e+04;1.709253947e+01
2021-02-15T16:23:13;2.939901114e+00;3.108834028e+00;3.108834028e+00;3.108831882e+00;2.038243294e+01;2.339557838e+01;2.346289444e+01;2.347247124e+01;2.347803497e+01;5.167971849e-01;2.716562069e+00;9.778400500e+04;1.787912378e+01
