Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0xee103ef
SPS30 serial number: 3D0EBA6AC17D82AF
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:52:45;3.828472853e+00;4.048463821e+00;4.048469067e+00;4.048463821e+00;2.646245003e+01;3.045342064e+01;3.055444908e+01;3.056701660e+01;3.057447815e+01;5.142819881e-01;1.163690472e+01;9.821801200e+04;1.729956642e+01
2021-02-15T10:07:45;2.955953598e+00;3.125808001e+00;3.125811815e+00;3.125808001e+00;2.043158531e+01;2.351300240e+01;2.359100723e+01;2.360070992e+01;2.360647202e+01;4.608882666e-01;7.791288928e+00;9.816283627e+04;1.812487393e+01
2021-02-15T10:22:45;2.586199045e+00;3.237489223e+00;3.644324780e+00;3.725685835e+00;1.682933044e+01;2.005516243e+01;2.060742188e+01;2.071200752e+01;2.073100090e+01;6.850222945e-01;6.910612179e+00;9.815688287e+04;1.832040071e+01
2021-02-15T10:37:45;1.800516248e+00;2.581510305e+00;3.129854202e+00;3.239521742e+00;1.103466988e+01;1.362577629e+01;1.432565975e+01;1.446109200e+01;1.448340607e+01;8.059501648e-01;1.021751778e+01;9.815435547e+04;1.561601708e+01
2021-02-15T10:52:45;2.184658289e+00;2.766112566e+00;3.135099411e+00;3.208895922e+00;1.415122890e+01;1.690918541e+01;1.740582275e+01;1.750015068e+01;1.751706314e+01;6.168195009e-01;1.047564470e+01;9.814319858e+04;1.523934250e+01
2021-02-15T11:07:45;2.331296921e+00;3.049567461e+00;3.522464037e+00;3.617039204e+00;1.489750862e+01;1.794366074e+01;1.856778908e+01;1.868714142e+01;1.870790291e+01;6.438339949e-01;1.126892523e+01;9.812853940e+04;1.453224719e+01
2021-02-15T11:22:45;2.026121616e+00;2.142546415e+00;2.142549038e+00;2.142546415e+00;1.400457764e+01;1.611669731e+01;1.617016411e+01;1.617681503e+01;1.618076324e+01;4.142472744e-01;1.081928131e+01;9.810703898e+04;1.502454382e+01
2021-02-15T11:37:45;1.488492012e+00;1.669527173e+00;1.746821404e+00;1.762277722e+00;1.008965302e+01;1.174198914e+01;1.187322521e+01;1.189636803e+01;1.190192032e+01;6.060063839e-01;1.047692573e+01;9.810274251e+04;1.580930714e+01
2021-02-15T11:52:45;1.947043180e+00;2.457211494e+00;2.779555559e+00;2.844021559e+00;1.262881184e+01;1.507832050e+01;1.551319504e+01;1.559572601e+01;1.561057472e+01;5.634919405e-01;1.019702138e+01;9.809041160e+04;1.603138363e+01
2021-02-15T12:07:44;2.492087603e+00;3.066382408e+00;3.415279388e+00;3.485055923e+00;1.632786560e+01;1.938013458e+01;1.986098289e+01;1.995157242e+01;1.996839523e+01;5.581384897e-01;9.870360652e+00;9.807347093e+04;1.661197847e+01
2021-02-15T12:22:44;2.005213499e+00;3.150119543e+00;3.983466148e+00;4.150132179e+00;1.171641445e+01;1.489210033e+01;1.593645668e+01;1.613987923e+01;1.617236710e+01;8.866044283e-01;8.387592030e+00;9.805628960e+04;1.759843367e+01
2021-02-15T12:37:44;1.571548581e+00;2.011117935e+00;2.293788195e+00;2.350319386e+00;1.013544464e+01;1.214184952e+01;1.251961422e+01;1.259154129e+01;1.260429764e+01;7.296173573e-01;7.657105261e+00;9.804213664e+04;1.766246814e+01
2021-02-15T12:52:44;2.011397362e+00;4.377779007e+00;6.199403286e+00;6.563725948e+00;9.216969490e+00;1.368625450e+01;1.590653992e+01;1.634342194e+01;1.640980911e+01;1.154871464e+00;7.816908744e+00;9.802750009e+04;1.756324022e+01
2021-02-15T13:07:44;1.482766390e+00;2.250268221e+00;2.802468538e+00;2.912907839e+00;8.828455925e+00;1.109335041e+01;1.178943729e+01;1.192473793e+01;1.194656467e+01;5.949810743e-01;7.189225348e+00;9.800807939e+04;1.792486461e+01
2021-02-15T13:22:44;1.510435462e+00;1.597227931e+00;1.597229838e+00;1.597227931e+00;1.044014835e+01;1.201469326e+01;1.205455112e+01;1.205950928e+01;1.206245327e+01;4.372891188e-01;8.810642969e+00;9.797359995e+04;1.706759074e+01
2021-02-15T13:37:44;2.795556307e+00;3.848551989e+00;4.570761681e+00;4.715197563e+00;1.746516418e+01;2.131998634e+01;2.225297546e+01;2.243274117e+01;2.246295547e+01;7.628354430e-01;8.282870416e+00;9.795111501e+04;1.744321826e+01
2021-02-15T13:52:44;1.739918828e+00;2.152268171e+00;2.405078650e+00;2.455639601e+00;1.137603092e+01;1.351906204e+01;1.386574554e+01;1.393117142e+01;1.394323254e+01;5.749418736e-01;6.142028588e+00;9.793070483e+04;2.011550392e+01
2021-02-15T14:07:44;1.829371333e+00;2.205125570e+00;2.424158812e+00;2.467962503e+00;1.208121395e+01;1.427350235e+01;1.458236027e+01;1.464010143e+01;1.465117931e+01;6.265851259e-01;5.157610670e+00;9.791139859e+04;2.038959040e+01
2021-02-15T14:22:44;1.743091106e+00;1.843252301e+00;1.843254566e+00;1.843252301e+00;1.204826641e+01;1.386534214e+01;1.391133976e+01;1.391706181e+01;1.392045879e+01;5.044926405e-01;4.455971275e+00;9.789005423e+04;2.195448120e+01
2021-02-15T14:37:44;3.141686916e+00;3.322213888e+00;3.322217941e+00;3.322213888e+00;2.171537781e+01;2.499040985e+01;2.507331467e+01;2.508362961e+01;2.508975220e+01;4.891101122e-01;3.352445413e+00;9.787981144e+04;2.267352224e+01
2021-02-15T14:52:44;2.233226776e+00;3.022686005e+00;3.557758093e+00;3.664769411e+00;1.405971050e+01;1.708460808e+01;1.778011894e+01;1.791383743e+01;1.793653870e+01;6.224615574e-01;3.303129715e+00;9.786865745e+04;2.312162376e+01
