Software version: 0.4.1
Software UUID: 0x5e55d3cc
Hardware UUID: 0x7c759c9e
SPS30 serial number: E7D536CB98CF8EA6
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-02-15T09:53:12;4.266581059e+00;4.758106232e+00;4.957495689e+00;4.997369766e+00;2.892597771e+01;3.367391968e+01;3.403493500e+01;3.409796143e+01;3.411182785e+01;5.397976637e-01;1.130258916e+01;9.819405720e+04;1.392564636e+01
2021-02-15T10:08:12;2.739595652e+00;2.897018671e+00;2.897020340e+00;2.897020340e+00;1.891158867e+01;2.178818130e+01;2.186429214e+01;2.187344360e+01;2.187790871e+01;5.192828178e-01;7.880940856e+00;9.813132444e+04;1.502533720e+01
2021-02-15T10:23:11;2.051955938e+00;3.484638691e+00;4.548715115e+00;4.761529922e+00;1.135507011e+01;1.493991375e+01;1.629099464e+01;1.655817413e+01;1.659839439e+01;8.422741294e-01;8.195737092e+00;9.812113636e+04;1.421424077e+01
2021-02-15T10:38:11;1.488507748e+00;2.021162510e+00;2.383028269e+00;2.455401659e+00;9.319745064e+00;1.136908817e+01;1.185052586e+01;1.194402599e+01;1.195899391e+01;7.627896070e-01;1.078223923e+01;9.812332305e+04;1.252412489e+01
2021-02-15T10:53:11;1.569367290e+00;1.855221629e+00;2.013587713e+00;2.045260191e+00;1.041527176e+01;1.227598190e+01;1.251217651e+01;1.255616188e+01;1.256420803e+01;6.036832333e-01;1.196229466e+01;9.811657838e+04;1.086530073e+01
2021-02-15T11:08:11;1.831706762e+00;1.936960459e+00;1.936961651e+00;1.936961651e+00;1.264437866e+01;1.456768227e+01;1.461857033e+01;1.462468815e+01;1.462767410e+01;4.646381140e-01;1.286334064e+01;9.810497448e+04;9.777349268e+00
2021-02-15T11:23:11;1.689372182e+00;1.786447048e+00;1.786448121e+00;1.786448121e+00;1.166183472e+01;1.343568611e+01;1.348262024e+01;1.348826313e+01;1.349101639e+01;5.126293898e-01;1.533469251e+01;9.807523440e+04;8.766008612e+00
2021-02-15T11:38:11;1.991917014e+00;2.106376648e+00;2.106378078e+00;2.106378078e+00;1.375031853e+01;1.584184456e+01;1.589718342e+01;1.590383720e+01;1.590708351e+01;4.849103689e-01;1.551490786e+01;9.806397734e+04;8.960877059e+00
2021-02-15T11:53:11;2.371777534e+00;2.508064747e+00;2.508066177e+00;2.508066177e+00;1.637251854e+01;1.886289978e+01;1.892879105e+01;1.893671417e+01;1.894058037e+01;5.210899115e-01;1.668489131e+01;9.805741719e+04;8.095214128e+00
2021-02-15T12:08:11;2.595067263e+00;3.689820290e+00;4.455147266e+00;4.608211517e+00;1.589305592e+01;1.964660263e+01;2.064944649e+01;2.084535217e+01;2.087610245e+01;7.739745975e-01;1.648060234e+01;9.803911923e+04;8.688266512e+00
2021-02-15T12:23:11;3.144070387e+00;6.188752651e+00;8.506664276e+00;8.970245361e+00;1.558323193e+01;2.200014496e+01;2.490642166e+01;2.548400116e+01;2.556945038e+01;8.179261684e-01;1.703931004e+01;9.801368699e+04;7.913620013e+00
2021-02-15T12:38:11;1.696097970e+00;2.558343410e+00;3.177300453e+00;3.301089764e+00;1.007390308e+01;1.268678570e+01;1.348664951e+01;1.364374256e+01;1.366795635e+01;7.530253530e-01;1.771046076e+01;9.800508634e+04;7.313375194e+00
2021-02-15T12:53:11;1.984647632e+00;3.136340141e+00;3.976134539e+00;4.144092560e+00;1.148265457e+01;1.469535637e+01;1.577180767e+01;1.598389149e+01;1.601622963e+01;8.907809258e-01;1.798475034e+01;9.799185127e+04;7.130875516e+00
2021-02-15T13:08:11;1.484588504e+00;3.348037004e+00;4.787124157e+00;5.074941635e+00;6.448275566e+00;9.941452980e+00;1.173284435e+01;1.208987713e+01;1.214216614e+01;1.165485859e+00;1.708998665e+01;9.796753368e+04;7.629409491e+00
2021-02-15T13:23:11;1.615182519e+00;2.283975601e+00;2.750131130e+00;2.843361139e+00;9.918812752e+00;1.224134636e+01;1.285313320e+01;1.297257233e+01;1.299135876e+01;6.939113140e-01;1.811207675e+01;9.794242490e+04;7.653313277e+00
2021-02-15T13:38:11;1.890735507e+00;1.999381065e+00;1.999382257e+00;1.999382257e+00;1.305185699e+01;1.503714085e+01;1.508967018e+01;1.509598541e+01;1.509906673e+01;5.231169462e-01;1.749540058e+01;9.791468078e+04;7.497090487e+00
2021-02-15T13:53:11;1.745384216e+00;2.040862322e+00;2.198829889e+00;2.230422258e+00;1.163137531e+01;1.367637062e+01;1.391697311e+01;1.396144867e+01;1.396976757e+01;5.650203228e-01;1.392275444e+01;9.789415276e+04;9.851143529e+00
2021-02-15T14:08:11;2.308194399e+00;2.984880686e+00;3.425194979e+00;3.513257027e+00;1.477094746e+01;1.778641319e+01;1.838602829e+01;1.850146103e+01;1.852048111e+01;6.260238886e-01;1.173426340e+01;9.787673670e+04;1.127504694e+01
2021-02-15T14:23:10;2.144063711e+00;2.663627625e+00;2.984413624e+00;3.048570395e+00;1.395356274e+01;1.663602448e+01;1.708571434e+01;1.717135429e+01;1.718596649e+01;6.276911497e-01;9.742181993e+00;9.785868601e+04;1.264786673e+01
2021-02-15T14:38:10;2.430386782e+00;2.791317225e+00;2.970402956e+00;3.006218672e+00;1.630422783e+01;1.909686470e+01;1.938217735e+01;1.943410683e+01;1.944427681e+01;6.333510876e-01;5.751820357e+00;9.785214301e+04;1.644289017e+01
2021-02-15T14:53:10;2.139631748e+00;2.623209715e+00;2.915076017e+00;2.973449230e+00;1.399932957e+01;1.663826752e+01;1.705266380e+01;1.713121223e+01;1.714481544e+01;6.495761871e-01;4.657352707e+00;9.783896101e+04;1.947653928e+01
2021-02-15T15:08:10;2.634271622e+00;3.208611488e+00;3.550933123e+00;3.619395494e+00;1.728063583e+01;2.050676537e+01;2.099626160e+01;2.108880615e+01;2.110496330e+01;6.477602720e-01;3.906814164e+00;9.783586378e+04;1.893898751e+01
2021-02-15T15:23:10;2.369709015e+00;3.247589350e+00;3.847875357e+00;3.967931747e+00;1.477318192e+01;1.806826401e+01;1.886413383e+01;1.901890945e+01;1.904357338e+01;7.465907335e-01;3.538197573e+00;9.781016806e+04;1.986054812e+01
2021-02-15T15:38:10;2.516685009e+00;3.133172512e+00;3.515070677e+00;3.591452837e+00;1.636441803e+01;1.952028084e+01;2.005464554e+01;2.015648079e+01;2.017381859e+01;6.893678904e-01;3.481195145e+00;9.780653518e+04;2.046788045e+01
2021-02-15T15:53:10;2.358716965e+00;2.820211172e+00;3.084017992e+00;3.136776924e+00;1.558578205e+01;1.841704369e+01;1.880339813e+01;1.887581635e+01;1.888880348e+01;6.904130578e-01;3.219934487e+00;9.780111325e+04;1.980527011e+01
2021-02-15T16:08:10;2.337918520e+00;2.472260237e+00;2.472261667e+00;2.472261667e+00;1.613878822e+01;1.859361649e+01;1.865856934e+01;1.866637802e+01;1.867018890e+01;4.860723019e-01;2.864304556e+00;9.778438611e+04;2.052247926e+01
2021-02-15T16:23:10;2.926622629e+00;3.617089987e+00;4.039797783e+00;4.124338627e+00;1.908648300e+01;2.272763443e+01;2.332301712e+01;2.343620682e+01;2.345562744e+01;5.697823763e-01;2.619512925e+00;9.776270442e+04;2.076834825e+01
2021-02-15T16:38:10;3.089671850e+00;3.390273809e+00;3.489873171e+00;3.509793520e+00;2.106519508e+01;2.444324493e+01;2.465020752e+01;2.468489265e+01;2.469338226e+01;5.378252268e-01;2.180916425e+00;9.775533237e+04;2.153266265e+01
2021-02-15T16:53:10;6.890460014e+00;7.694598198e+00;8.024965286e+00;8.091039658e+00;4.669291306e+01;5.437199783e+01;5.496520233e+01;5.506903839e+01;5.509172058e+01;6.514041424e-01;1.573535125e+00;9.774910561e+04;2.331571080e+01
2021-02-15T17:08:10;8.117359161e+00;1.315353775e+01;1.685193443e+01;1.759160614e+01;4.626897049e+01;5.976343918e+01;6.448674774e+01;6.541867065e+01;6.556006622e+01;8.903233409e-01;9.712247436e-01;9.774653542e+04;2.609305008e+01
2021-02-15T17:23:10;1.051031113e+01;1.569412231e+01;1.940071678e+01;2.014203644e+01;6.276600266e+01;7.878410339e+01;8.358387756e+01;8.452579498e+01;8.467137146e+01;8.212231994e-01;2.698011710e-01;9.774113533e+04;2.966621235e+01
2021-02-15T17:38:10;1.176224804e+01;1.400695515e+01;1.527664375e+01;1.553058052e+01;7.784286499e+01;9.189994049e+01;9.377084351e+01;9.412075806e+01;9.418393707e+01;6.208279133e-01;-3.230003165e-01;9.774361521e+04;3.497379806e+01
2021-02-15T17:53:10;1.781721306e+01;2.223433876e+01;2.498064041e+01;2.552988434e+01;1.157416687e+02;1.381412506e+02;1.419761658e+02;1.427075500e+02;1.428317566e+02;6.767742634e-01;-9.031312483e-01;9.773390368e+04;3.566985236e+01
2021-02-15T18:08:10;1.698039627e+01;1.973213577e+01;2.116952324e+01;2.145699883e+01;1.134212723e+02;1.331828308e+02;1.354026337e+02;1.358110046e+02;1.358885040e+02;6.771969199e-01;-1.491174920e+00;9.773070173e+04;3.777438235e+01
2021-02-15T18:23:09;1.323431015e+01;1.520927906e+01;1.619221115e+01;1.638878632e+01;8.876180267e+01;1.039791107e+02;1.055421677e+02;1.058268356e+02;1.058824692e+02;6.101518869e-01;-2.002582896e+00;9.771750116e+04;4.079914861e+01
2021-02-15T18:38:09;2.069955063e+01;2.411366272e+01;2.591415787e+01;2.627425194e+01;1.381360168e+02;1.622907867e+02;1.650555267e+02;1.655651398e+02;1.656612701e+02;6.133207083e-01;-2.438306485e+00;9.772809541e+04;3.955308503e+01
2021-02-15T18:53:09;1.123262691e+01;1.210523510e+01;1.228908157e+01;1.232585621e+01;7.705403900e+01;8.909547424e+01;8.963111877e+01;8.971360779e+01;8.973829651e+01;5.874836445e-01;-2.748631566e+00;9.771984730e+04;4.011009074e+01
2021-02-15T19:08:09;1.195709419e+01;1.467031002e+01;1.631011581e+01;1.663805962e+01;7.821061707e+01;9.296976471e+01;9.529619598e+01;9.573730469e+01;9.581362915e+01;6.104412079e-01;-3.009240458e+00;9.771593794e+04;4.345664752e+01
2021-02-15T19:23:09;1.096407032e+01;1.183748341e+01;1.203447914e+01;1.207388401e+01;7.516545868e+01;8.694258118e+01;8.748675537e+01;8.757157135e+01;8.759626770e+01;5.720508099e-01;-2.946225742e+00;9.772093925e+04;4.471962361e+01
2021-02-15T19:38:09;1.482621574e+01;1.650621986e+01;1.717640495e+01;1.731043434e+01;1.005766296e+02;1.170450516e+02;1.182719803e+02;1.184854507e+02;1.185328522e+02;5.837078094e-01;-2.733748653e+00;9.770293266e+04;4.267137582e+01
2021-02-15T19:53:09;1.407243538e+01;1.582961178e+01;1.659730530e+01;1.675083733e+01;9.511577606e+01;1.109237976e+02;1.122483749e+02;1.124831848e+02;1.125327377e+02;6.126742363e-01;-2.724565578e+00;9.768099485e+04;4.096797883e+01
2021-02-15T20:08:09;1.480991840e+01;1.780952454e+01;1.954844093e+01;1.989622688e+01;9.764212799e+01;1.155299835e+02;1.180562057e+02;1.185310974e+02;1.186154861e+02;6.633428335e-01;-2.757497980e+00;9.767338268e+04;4.138514559e+01
2021-02-15T20:23:09;1.126399517e+01;1.191124821e+01;1.191125488e+01;1.191125488e+01;7.775601196e+01;8.958328247e+01;8.989621735e+01;8.993383789e+01;8.995220184e+01;5.164067745e-01;-2.621335083e+00;9.766602178e+04;4.301690853e+01
2021-02-15T20:38:09;1.356754971e+01;1.718277168e+01;1.947771072e+01;1.993668747e+01;8.759781647e+01;1.049285431e+02;1.080964432e+02;1.087032089e+02;1.088048553e+02;7.163432837e-01;-2.251160934e+00;9.764609171e+04;4.269456531e+01
2021-02-15T20:53:09;1.786458778e+01;2.104831696e+01;2.279418182e+01;2.314334488e+01;1.187103424e+02;1.398149719e+02;1.424345093e+02;1.429212952e+02;1.430109100e+02;6.135501862e-01;-2.216328384e+00;9.763108951e+04;4.672399844e+01
2021-02-15T21:08:09;1.817387009e+01;2.000301361e+01;2.063822556e+01;2.076526260e+01;1.237780533e+02;1.437145233e+02;1.449919128e+02;1.452080078e+02;1.452596588e+02;5.839947462e-01;-2.285360150e+00;9.762633055e+04;4.557198146e+01
2021-02-15T21:23:09;1.431060219e+01;1.561989975e+01;1.601403999e+01;1.609285355e+01;9.774622345e+01;1.133022079e+02;1.141791077e+02;1.143233261e+02;1.143603058e+02;6.044704914e-01;-2.341092179e+00;9.762117502e+04;5.023737678e+01
2021-02-15T21:38:09;1.227553940e+01;1.456515217e+01;1.584730721e+01;1.610373688e+01;8.135321808e+01;9.596601868e+01;9.786635590e+01;9.822102356e+01;9.828546906e+01;6.982888579e-01;-2.323675923e+00;9.760182005e+04;4.531177669e+01
2021-02-15T21:53:09;1.766234589e+01;1.974754715e+01;2.061376572e+01;2.078700638e+01;1.196369781e+02;1.393468475e+02;1.408909912e+02;1.411618958e+02;1.412207184e+02;6.060540676e-01;-2.320825991e+00;9.759763196e+04;4.766871810e+01
2021-02-15T22:08:09;1.796709251e+01;1.952298355e+01;1.994665527e+01;2.003137970e+01;1.229092255e+02;1.423442383e+02;1.433586273e+02;1.435222778e+02;1.435662537e+02;5.349829197e-01;-2.327792493e+00;9.759869667e+04;4.886325817e+01
2021-02-15T22:23:08;1.792410278e+01;2.007934761e+01;2.099009514e+01;2.117223358e+01;1.213263397e+02;1.413709106e+02;1.429764557e+02;1.432591248e+02;1.433199158e+02;6.144075394e-01;-2.334442336e+00;9.759435043e+04;4.689611263e+01
2021-02-15T22:38:08;1.662815094e+01;1.899727440e+01;2.014137840e+01;2.037018967e+01;1.117640915e+02;1.307615967e+02;1.326149445e+02;1.329503632e+02;1.330171356e+02;6.111720800e-01;-2.204295319e+00;9.758802618e+04;4.790839300e+01
2021-02-15T22:53:08;1.270502758e+01;1.495304489e+01;1.618156624e+01;1.642727089e+01;8.445963287e+01;9.945130157e+01;1.012983322e+02;1.016413193e+02;1.017046051e+02;5.946569443e-01;-2.213478448e+00;9.756335522e+04;4.671842031e+01
2021-02-15T23:08:08;1.786059380e+01;1.931710434e+01;1.966529083e+01;1.973494148e+01;1.223733521e+02;1.415950928e+02;1.425147400e+02;1.426595612e+02;1.427007446e+02;5.828692913e-01;-2.194478869e+00;9.753050192e+04;4.810032047e+01
2021-02-15T23:23:08;2.344495201e+01;2.612297630e+01;2.720006371e+01;2.741548347e+01;1.589978180e+02;1.850629120e+02;1.870241547e+02;1.873659515e+02;1.874414978e+02;5.677860975e-01;-2.120697133e+00;9.752834534e+04;4.846870066e+01
2021-02-15T23:38:08;1.635418129e+01;1.927191734e+01;2.087274742e+01;2.119291306e+01;1.086668625e+02;1.279906006e+02;1.303917999e+02;1.308380737e+02;1.309201965e+02;6.354321837e-01;-2.155846380e+00;9.750515086e+04;4.718219188e+01
2021-02-15T23:53:08;1.671971130e+01;1.958813286e+01;2.113205528e+01;2.144085503e+01;1.113404083e+02;1.309714661e+02;1.333136139e+02;1.337471771e+02;1.338279419e+02;6.633461118e-01;-2.036782209e+00;9.749720788e+04;4.814948542e+01
2021-02-16T00:08:08;2.995679474e+01;3.962588120e+01;4.605816269e+01;4.734461212e+01;1.898090668e+02;2.299098206e+02;2.385646515e+02;2.402383575e+02;2.405101013e+02;6.929827929e-01;-2.013666008e+00;9.748305895e+04;4.826287926e+01
