Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x274784d6
SPS30 serial number: 15E099066D0D420B
SPS30 firmware version: 2.1
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-21T10:27:16;1.174589157e+01;1.297450638e+01;1.342260456e+01;1.351222801e+01;7.992987823e+01;9.279441833e+01;9.370619965e+01;9.385419464e+01;9.389592743e+01;5.107438564e-01;2.421854064e+00;9.647202366e+04;5.576059625e+01
2021-03-21T10:32:16;1.229865074e+01;1.344670296e+01;1.380389881e+01;1.387533569e+01;8.399617004e+01;9.730352783e+01;9.812497711e+01;9.825344086e+01;9.829290771e+01;5.895268917e-01;2.436857187e+00;9.646580060e+04;5.638594424e+01
2021-03-21T10:37:16;1.256725502e+01;1.369346237e+01;1.402048206e+01;1.408587646e+01;8.593401337e+01;9.947687531e+01;1.002710876e+02;1.003933792e+02;1.004322586e+02;5.235571861e-01;2.534217935e+00;9.645759233e+04;5.611780233e+01
2021-03-21T10:42:16;1.224707031e+01;1.357746124e+01;1.408461952e+01;1.418605232e+01;8.323166656e+01;9.670308685e+01;9.770128632e+01;9.786505890e+01;9.791006470e+01;6.032152176e-01;2.675949835e+00;9.644184136e+04;5.490611569e+01
2021-03-21T10:47:16;1.618319893e+01;1.737949562e+01;1.759505844e+01;1.763818550e+01;1.112189560e+02;1.283601074e+02;1.291383057e+02;1.292471466e+02;1.292894745e+02;5.171877146e-01;2.822470211e+00;9.644275201e+04;5.666251418e+01
2021-03-21T10:52:16;1.415638638e+01;1.496984196e+01;1.496983337e+01;1.496983337e+01;9.780295563e+01;1.125235367e+02;1.129799271e+02;1.130305176e+02;1.130604248e+02;4.943779707e-01;2.972502217e+00;9.643450888e+04;5.590803951e+01
2021-03-21T10:57:16;1.372334862e+01;1.451192093e+01;1.451191330e+01;1.451191330e+01;9.481121063e+01;1.090814896e+02;1.095239258e+02;1.095729675e+02;1.096019592e+02;4.619120359e-01;3.089974261e+00;9.642908764e+04;5.336825382e+01
2021-03-21T11:02:16;1.583508778e+01;1.689602852e+01;1.701823425e+01;1.704268265e+01;1.090680313e+02;1.257116470e+02;1.263675842e+02;1.264530869e+02;1.264911423e+02;5.428421497e-01;3.192443208e+00;9.642459261e+04;5.287789124e+01
2021-03-21T11:07:16;1.359995079e+01;1.438143253e+01;1.438142395e+01;1.438142395e+01;9.395867920e+01;1.081006470e+02;1.085391006e+02;1.085877075e+02;1.086164322e+02;5.069563389e-01;3.433453186e+00;9.641086989e+04;5.803423840e+01
2021-03-21T11:12:16;1.469011784e+01;1.589461899e+01;1.618627930e+01;1.624460983e+01;1.006965714e+02;1.163955688e+02;1.172161636e+02;1.173376694e+02;1.173797073e+02;5.459705591e-01;3.672229273e+00;9.641274338e+04;5.826260753e+01
2021-03-21T11:17:16;1.245344067e+01;1.316904163e+01;1.316903400e+01;1.316903400e+01;8.603772736e+01;9.898749542e+01;9.938898468e+01;9.943348694e+01;9.945979309e+01;4.830890894e-01;3.861846031e+00;9.640792844e+04;5.434945484e+01
2021-03-21T11:22:16;1.492771339e+01;1.726254654e+01;1.845795250e+01;1.869702721e+01;9.987839508e+01;1.171364670e+02;1.190398865e+02;1.193760834e+02;1.194527359e+02;6.193050146e-01;4.075404778e+00;9.640335363e+04;5.708336761e+01
2021-03-21T11:27:16;1.529950047e+01;1.621880913e+01;1.625130272e+01;1.625779915e+01;1.056119614e+02;1.215684052e+02;1.221003342e+02;1.221626968e+02;1.221962357e+02;5.176066160e-01;4.228311877e+00;9.639627454e+04;5.433929566e+01
2021-03-21T11:32:16;1.308971214e+01;1.384187412e+01;1.384186554e+01;1.384186554e+01;9.043356323e+01;1.040449600e+02;1.044669647e+02;1.045137405e+02;1.045413971e+02;4.854054451e-01;4.294390809e+00;9.638635119e+04;5.324492201e+01
2021-03-21T11:37:16;1.246314526e+01;1.416101646e+01;1.495552731e+01;1.511443901e+01;8.394236755e+01;9.805567169e+01;9.940269470e+01;9.963523102e+01;9.969154358e+01;6.037918329e-01;4.327909126e+00;9.637908811e+04;5.403244763e+01
2021-03-21T11:42:16;1.247214794e+01;1.318882370e+01;1.318881607e+01;1.318881607e+01;8.616696930e+01;9.913618469e+01;9.953827667e+01;9.958285522e+01;9.960919952e+01;4.930764437e-01;4.343231790e+00;9.637257337e+04;5.405421900e+01
