Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xbe90f3bf
SPS30 serial number: 6F5BAC226EB9E8CE
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-19T10:27:13;5.071265697e+00;5.619658947e+00;5.827641010e+00;5.869246483e+00;3.525434494e+01;4.011064148e+01;4.045630646e+01;4.052113724e+01;4.053609085e+01;5.810273886e-01;5.243587572e+00;9.621794197e+04;3.720823458e+01
2021-03-19T10:32:13;4.963891983e+00;5.249128819e+00;5.249125004e+00;5.249132156e+00;3.508124924e+01;3.952516556e+01;3.961605453e+01;3.963043213e+01;3.963819504e+01;4.469791651e-01;5.196654443e+00;9.621793607e+04;3.603975588e+01
2021-03-19T10:37:13;6.799748898e+00;7.591578007e+00;7.916193962e+00;7.981130123e+00;4.714155579e+01;5.372261810e+01;5.424171066e+01;5.433966827e+01;5.436126709e+01;5.571461916e-01;4.386982017e+00;9.622157086e+04;3.996694460e+01
2021-03-19T10:42:13;4.990498066e+00;5.535959244e+00;5.745322704e+00;5.787201881e+00;3.467964935e+01;3.946573639e+01;3.981160355e+01;3.987653732e+01;3.989141083e+01;6.152733564e-01;4.188396284e+00;9.622587727e+04;4.596080747e+01
2021-03-19T10:47:13;4.293234348e+00;4.539933205e+00;4.539930344e+00;4.539936543e+00;3.034151840e+01;3.418502808e+01;3.426364136e+01;3.427607346e+01;3.428278732e+01;5.030136108e-01;4.213618563e+00;9.622106653e+04;4.677506249e+01
2021-03-19T10:52:13;4.556055069e+00;4.817856312e+00;4.817852974e+00;4.817860126e+00;3.219894791e+01;3.627774811e+01;3.636117172e+01;3.637436676e+01;3.638149261e+01;5.301866531e-01;4.038339833e+00;9.621906685e+04;4.960818819e+01
2021-03-19T10:57:13;5.282687664e+00;5.586243153e+00;5.586239338e+00;5.586246967e+00;3.733427048e+01;4.206358719e+01;4.216031647e+01;4.217561722e+01;4.218387604e+01;5.182700157e-01;3.986618305e+00;9.622398520e+04;5.197157477e+01
2021-03-19T11:02:13;4.764190197e+00;5.270317554e+00;5.458373070e+00;5.495989323e+00;3.314027023e+01;3.769136047e+01;3.800718307e+01;3.806632233e+01;3.808012009e+01;5.424207449e-01;3.931065587e+00;9.622021664e+04;5.053892942e+01
2021-03-19T11:07:13;5.269016743e+00;5.940891743e+00;6.239618301e+00;6.299364090e+00;3.639635849e+01;4.156766129e+01;4.202724838e+01;4.211453247e+01;4.213286209e+01;5.704377890e-01;3.974805368e+00;9.621765291e+04;4.749426716e+01
2021-03-19T11:12:13;5.454118252e+00;5.826940060e+00;5.875020504e+00;5.884644032e+00;3.841039658e+01;4.336630249e+01;4.352462006e+01;4.355200958e+01;4.356216431e+01;5.488255024e-01;4.052706929e+00;9.621563247e+04;4.868526218e+01
2021-03-19T11:17:13;5.311268330e+00;5.616466045e+00;5.616462231e+00;5.616470337e+00;3.753625870e+01;4.229116440e+01;4.238841629e+01;4.240379715e+01;4.241210175e+01;4.850667715e-01;4.375488297e+00;9.621095633e+04;4.568773380e+01
2021-03-19T11:22:13;3.914526939e+00;4.814095497e+00;5.360085964e+00;5.469287872e+00;2.612741661e+01;3.046209908e+01;3.119744301e+01;3.134041786e+01;3.136498642e+01;7.176561952e-01;4.614621830e+00;9.620697718e+04;4.295922152e+01
2021-03-19T11:27:13;3.714356184e+00;4.205341816e+00;4.429968357e+00;4.474899292e+00;2.561780930e+01;2.928463745e+01;2.962568855e+01;2.969060135e+01;2.970400047e+01;6.293174028e-01;4.890152980e+00;9.619769480e+04;4.103653202e+01
2021-03-19T11:32:13;4.143438816e+00;4.381530285e+00;4.381527424e+00;4.381533146e+00;2.928287125e+01;3.299227905e+01;3.306814575e+01;3.308014679e+01;3.308662415e+01;4.314953089e-01;5.233370835e+00;9.619178846e+04;3.975549838e+01
2021-03-19T11:37:13;4.095249653e+00;4.629567146e+00;4.871545792e+00;4.919948101e+00;2.826081085e+01;3.229502106e+01;3.266414642e+01;3.273434830e+01;3.274892426e+01;5.459839106e-01;5.662474819e+00;9.619385949e+04;3.873930759e+01
