Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x73eba155
SPS30 serial number: FD1922CB58117D02
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-17T10:27:32;3.239554882e+00;3.664001226e+00;3.856859207e+00;3.895430326e+00;2.235205460e+01;2.554516602e+01;2.583891678e+01;2.589480591e+01;2.590637779e+01;5.882762671e-01;5.722135250e+00;9.622174435e+04;4.467923032e+01
2021-03-17T10:32:32;2.539139986e+00;3.496420383e+00;4.153084278e+00;4.284415722e+00;1.609600639e+01;1.936718369e+01;2.021181107e+01;2.037743950e+01;2.040356827e+01;8.262652755e-01;5.929472753e+00;9.622235803e+04;4.457186437e+01
2021-03-17T10:37:32;2.344304800e+00;2.719855309e+00;2.914773464e+00;2.953756332e+00;1.601919746e+01;1.841404533e+01;1.869389915e+01;1.874768448e+01;1.875792503e+01;5.896664858e-01;5.926584146e+00;9.622569182e+04;4.189757345e+01
2021-03-17T10:42:32;2.649587631e+00;2.953136444e+00;3.075585365e+00;3.100075245e+00;1.838079643e+01;2.093876076e+01;2.113612556e+01;2.117333412e+01;2.118160820e+01;5.634005070e-01;6.148044224e+00;9.622461853e+04;4.222753867e+01
2021-03-17T10:47:32;2.973829031e+00;3.144711256e+00;3.144711256e+00;3.144711256e+00;2.101711273e+01;2.367918587e+01;2.373366737e+01;2.374230957e+01;2.374695778e+01;5.258620977e-01;6.347679715e+00;9.621300377e+04;4.219645331e+01
2021-03-17T10:52:32;3.145311594e+00;3.567496061e+00;3.762902498e+00;3.801985979e+00;2.167881966e+01;2.479145050e+01;2.508657265e+01;2.514280319e+01;2.515431404e+01;6.452760696e-01;6.473174276e+00;9.621560959e+04;4.433662033e+01
2021-03-17T10:57:32;2.767036200e+00;3.137158871e+00;3.308025360e+00;3.342200756e+00;1.907451630e+01;2.181121826e+01;2.206958199e+01;2.211879921e+01;2.212889099e+01;6.147776842e-01;6.521638974e+00;9.621468832e+04;4.261517806e+01
2021-03-17T11:02:32;2.501852512e+00;2.782375097e+00;2.893061399e+00;2.915198326e+00;1.736982536e+01;1.977765846e+01;1.995801926e+01;1.999196243e+01;1.999960709e+01;6.036299467e-01;6.306918092e+00;9.623044276e+04;4.114041407e+01
2021-03-17T11:07:32;2.551521063e+00;3.083325624e+00;3.395066977e+00;3.457414865e+00;1.715472603e+01;1.991265488e+01;2.033828926e+01;2.042083168e+01;2.043533897e+01;5.625112057e-01;6.369504844e+00;9.623249036e+04;4.093532664e+01
2021-03-17T11:12:32;2.542002678e+00;2.790531635e+00;2.873453379e+00;2.890040636e+00;1.773175049e+01;2.013332367e+01;2.028067970e+01;2.030804825e+01;2.031482124e+01;5.479221344e-01;6.290549257e+00;9.623190832e+04;4.260128032e+01
2021-03-17T11:17:32;2.249344349e+00;2.683856487e+00;2.930909634e+00;2.980319500e+00;1.520127773e+01;1.759037399e+01;1.793185234e+01;1.799792480e+01;1.800977707e+01;6.791731715e-01;6.223469157e+00;9.624081060e+04;4.553679854e+01
2021-03-17T11:22:32;2.722353458e+00;3.100070477e+00;3.279160738e+00;3.314979553e+00;1.873557091e+01;2.144477272e+01;2.171231461e+01;2.176338387e+01;2.177368355e+01;5.637857914e-01;6.002008895e+00;9.624339828e+04;4.452316393e+01
2021-03-17T11:27:32;2.628674984e+00;2.921405554e+00;3.036071062e+00;3.059006453e+00;1.825491524e+01;2.078232574e+01;2.096985054e+01;2.100512314e+01;2.101310158e+01;6.462812424e-01;6.223469157e+00;9.624098235e+04;4.413833341e+01
2021-03-17T11:32:32;1.775658488e+00;1.877691388e+00;1.877691388e+00;1.877691388e+00;1.254921341e+01;1.413872433e+01;1.417125511e+01;1.417641449e+01;1.417919064e+01;5.138781071e-01;6.363085688e+00;9.624141033e+04;4.513425619e+01
