Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xbd69061e
SPS30 serial number: 00941E593F1072DE
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-19T10:27:17;4.734539032e+00;5.201625824e+00;5.359468460e+00;5.391034126e+00;3.301059723e+01;3.749199295e+01;3.777296066e+01;3.782441711e+01;3.783687210e+01;5.833648443e-01;4.523590505e+00;9.615563343e+04;3.934612160e+01
2021-03-19T10:32:17;5.343659401e+00;6.018336773e+00;6.315861702e+00;6.375365257e+00;3.692855453e+01;4.216331482e+01;4.262305450e+01;4.270929718e+01;4.272715378e+01;6.438881159e-01;4.461771164e+00;9.615313168e+04;3.799379715e+01
2021-03-19T10:37:17;8.026253700e+00;8.996871948e+00;9.409156799e+00;9.491613388e+00;5.556259918e+01;6.337403107e+01;6.402322388e+01;6.414459991e+01;6.417031860e+01;6.249070168e-01;3.831088184e+00;9.616134040e+04;4.175071052e+01
2021-03-19T10:42:17;5.945638657e+00;6.933787823e+00;7.457013607e+00;7.561659813e+00;4.055897141e+01;4.666810989e+01;4.740925217e+01;4.755057144e+01;4.757654953e+01;5.713875294e-01;3.600148490e+00;9.616215173e+04;4.739909996e+01
2021-03-19T10:47:17;4.560757637e+00;4.998851776e+00;5.141306877e+00;5.169798374e+00;3.182536697e+01;3.612807083e+01;3.638727188e+01;3.643457413e+01;3.644626617e+01;5.453901291e-01;3.629936795e+00;9.616049005e+04;4.887391565e+01
2021-03-19T10:52:17;5.507315636e+00;6.041327953e+00;6.217396736e+00;6.252609730e+00;3.841939545e+01;4.362108612e+01;4.393891144e+01;4.399698639e+01;4.401123047e+01;6.162083149e-01;3.407645813e+00;9.615646594e+04;5.177928140e+01
2021-03-19T10:57:17;4.906489372e+00;5.188426495e+00;5.188426495e+00;5.188426495e+00;3.466031265e+01;3.906217957e+01;3.915793228e+01;3.917265320e+01;3.918035507e+01;4.911884069e-01;3.366006352e+00;9.616110790e+04;5.332718212e+01
2021-03-19T11:02:17;5.657955170e+00;5.983072758e+00;5.983072758e+00;5.983072758e+00;3.996879959e+01;4.504484940e+01;4.515526581e+01;4.517223740e+01;4.518112183e+01;4.896858931e-01;3.373373332e+00;9.615791922e+04;5.238010698e+01
2021-03-19T11:07:17;5.613978863e+00;5.936569691e+00;5.936569691e+00;5.936569691e+00;3.965814209e+01;4.469474030e+01;4.480429840e+01;4.482114029e+01;4.482995224e+01;4.859435558e-01;3.379779402e+00;9.615876802e+04;4.935255908e+01
2021-03-19T11:12:17;6.449463367e+00;7.280895710e+00;7.653860092e+00;7.728446960e+00;4.453223419e+01;5.087080765e+01;5.144225311e+01;5.154962540e+01;5.157161713e+01;6.482749581e-01;3.571961716e+00;9.615352401e+04;4.985461614e+01
