Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x7e8af484
SPS30 serial number: FF3297200FEEBA54
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-20T10:27:15;1.631525421e+01;1.910617256e+01;2.060617828e+01;2.090620613e+01;1.087886200e+02;1.278235931e+02;1.300892029e+02;1.305222931e+02;1.306012115e+02;6.574854255e-01;9.792275155e-01;9.679605973e+04;7.544141207e+01
2021-03-20T10:32:15;1.556333828e+01;1.941930199e+01;2.181623840e+01;2.229564476e+01;1.011916275e+02;1.206642609e+02;1.240163498e+02;1.246731644e+02;1.247829437e+02;6.794080734e-01;9.205564670e-01;9.679333125e+04;7.739955593e+01
2021-03-20T10:37:15;1.096327496e+01;1.209271908e+01;1.249696255e+01;1.257782841e+01;7.471647644e+01;8.668558502e+01;8.746378326e+01;8.760253143e+01;8.763398743e+01;6.262292862e-01;5.254844845e-01;9.680519711e+04;7.254726346e+01
2021-03-20T10:42:15;1.028628731e+01;1.166451836e+01;1.230159187e+01;1.242902184e+01;6.941334534e+01;8.099424744e+01;8.204218292e+01;8.223738098e+01;8.227610016e+01;6.223014593e-01;2.818735750e-01;9.681144909e+04;7.301894837e+01
2021-03-20T10:47:15;1.248095703e+01;1.454261208e+01;1.563072777e+01;1.584836388e+01;8.338063812e+01;9.786133575e+01;9.952132416e+01;9.983765411e+01;9.989589691e+01;6.836907268e-01;1.495459376e-01;9.681498796e+04;7.326745003e+01
2021-03-20T10:52:15;1.253217793e+01;1.370621872e+01;1.407357693e+01;1.414706993e+01;8.566209412e+01;9.921512604e+01;9.998792267e+01;1.001226273e+02;1.001552048e+02;5.677556992e-01;6.568539171e-02;9.681957020e+04;7.396739054e+01
2021-03-20T10:57:15;1.182739449e+01;1.388538074e+01;1.500090981e+01;1.522404003e+01;7.878875732e+01;9.262605286e+01;9.430314636e+01;9.462419891e+01;9.468241119e+01;6.629589796e-01;-1.068183738e-01;9.683014280e+04;7.362108274e+01
2021-03-20T11:02:15;1.283169365e+01;1.554151726e+01;1.713788986e+01;1.745719147e+01;8.444643402e+01;9.998424530e+01;1.022797241e+02;1.027254410e+02;1.028023834e+02;6.979951262e-01;-2.818726866e-01;9.684222294e+04;7.408611878e+01
2021-03-20T11:07:15;1.124642467e+01;1.287558937e+01;1.367108917e+01;1.383020306e+01;7.562784576e+01;8.842443085e+01;8.969217682e+01;8.993056488e+01;8.997644043e+01;6.286524534e-01;-3.909227410e-01;9.684620119e+04;7.346407746e+01
2021-03-20T11:12:15;1.290731525e+01;1.410834312e+01;1.448009682e+01;1.455447006e+01;8.824394989e+01;1.021936874e+02;1.029814758e+02;1.031185455e+02;1.031518631e+02;6.062763929e-01;-6.252842502e-01;9.686576428e+04;7.376374564e+01
2021-03-20T11:17:14;1.436437607e+01;2.196633720e+01;2.745075226e+01;2.854764748e+01;8.464625549e+01;1.070724792e+02;1.141999588e+02;1.156315231e+02;1.158497391e+02;8.722333312e-01;-7.423053452e-01;9.687424660e+04;7.565514007e+01
2021-03-20T11:22:14;1.306007671e+01;1.618327713e+01;1.810358810e+01;1.848766708e+01;8.515921021e+01;1.013758163e+02;1.040764389e+02;1.046046295e+02;1.046935043e+02;7.092688680e-01;-9.524327583e-01;9.687989120e+04;7.850408942e+01
2021-03-20T11:27:14;1.382372189e+01;1.699278831e+01;1.891471672e+01;1.929911804e+01;9.043456268e+01;1.074487228e+02;1.101708374e+02;1.107019882e+02;1.107921066e+02;7.186279893e-01;-1.098150568e+00;9.688376711e+04;7.968874099e+01
2021-03-20T11:32:14;1.407037830e+01;1.610999870e+01;1.710634995e+01;1.730564880e+01;9.461486053e+01;1.106261520e+02;1.122136002e+02;1.125121307e+02;1.125695648e+02;6.625643969e-01;-1.274797223e+00;9.687844407e+04;8.013254861e+01
2021-03-20T11:37:14;1.388424873e+01;1.804320526e+01;2.076344872e+01;2.130752945e+01;8.871827698e+01;1.068820953e+02;1.105898514e+02;1.113225861e+02;1.114413147e+02;7.343284488e-01;-1.372367247e+00;9.687063851e+04;8.109496005e+01
2021-03-20T11:42:14;1.323241329e+01;1.542145157e+01;1.657771492e+01;1.680897713e+01;8.839380646e+01;1.037499390e+02;1.055131073e+02;1.058491516e+02;1.059109955e+02;6.497018337e-01;-1.387034627e+00;9.686509681e+04;8.065946116e+01
2021-03-20T11:47:14;1.515255070e+01;1.614459801e+01;1.624282646e+01;1.626247215e+01;1.044984283e+02;1.204143829e+02;1.209222870e+02;1.209979019e+02;1.210249329e+02;5.388292074e-01;-1.336336499e+00;9.687633622e+04;8.046141376e+01
2021-03-20T11:52:14;1.211947536e+01;1.535788250e+01;1.741516304e+01;1.782664871e+01;7.828982544e+01;9.371316528e+01;9.655864716e+01;9.711823273e+01;9.721054077e+01;7.197982073e-01;-1.266188098e+00;9.687960291e+04;8.036974949e+01
2021-03-20T11:57:14;1.265629768e+01;1.487740707e+01;1.608642197e+01;1.632822609e+01;8.426963043e+01;9.909751129e+01;1.009109955e+02;1.012584076e+02;1.013212357e+02;6.377643347e-01;-1.199547066e+00;9.688755675e+04;8.006878682e+01
2021-03-20T12:02:14;1.374528122e+01;1.746883965e+01;1.984315681e+01;2.031803894e+01;8.868247986e+01;1.062307205e+02;1.095085220e+02;1.101535339e+02;1.102596817e+02;7.481667995e-01;-1.202735633e+00;9.689345570e+04;8.021136550e+01
2021-03-20T12:07:14;1.221043015e+01;1.379070568e+01;1.450180912e+01;1.464404488e+01;8.251844025e+01;9.620421600e+01;9.739253235e+01;9.761286163e+01;9.765721130e+01;6.530029774e-01;-1.247375563e+00;9.689925381e+04;8.013534834e+01
