Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x7e8af484
SPS30 serial number: FF3297200FEEBA54
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:27:42;1.541725397e+00;2.226738214e+00;2.709435701e+00;2.805976629e+00;9.368361473e+00;1.163116360e+01;1.226555538e+01;1.239248276e+01;1.241211987e+01;7.802562714e-01;1.408360516e+01;9.554161769e+04;2.214480833e+01
2021-03-15T10:32:42;7.526181340e-01;7.958649397e-01;7.958649397e-01;7.958660126e-01;5.203419209e+00;5.987315178e+00;6.006529331e+00;6.009054661e+00;6.010222435e+00;4.231926203e-01;1.266254806e+01;9.553591691e+04;2.280751610e+01
2021-03-15T10:37:42;1.824556470e+00;2.193186522e+00;2.406675100e+00;2.449374199e+00;1.204366207e+01;1.423462677e+01;1.454437923e+01;1.460435009e+01;1.461480999e+01;5.799068213e-01;1.182382882e+01;9.552909799e+04;2.457357916e+01
2021-03-15T10:42:42;1.027134776e+00;1.086155891e+00;1.086155891e+00;1.086157322e+00;7.101361275e+00;8.171182632e+00;8.197404861e+00;8.200851440e+00;8.202445030e+00;5.211396217e-01;1.084065577e+01;9.552262308e+04;2.554309891e+01
2021-03-15T10:47:42;9.384222031e-01;1.112865567e+00;1.210405350e+00;1.229913473e+00;6.227199554e+00;7.337382793e+00;7.481578827e+00;7.509330750e+00;7.514272213e+00;6.306685805e-01;1.002076851e+01;9.552459437e+04;2.540776878e+01
2021-03-15T10:52:42;1.802136183e+00;1.905690193e+00;1.905690193e+00;1.905692697e+00;1.245953274e+01;1.433656406e+01;1.438257122e+01;1.438861752e+01;1.439141464e+01;4.507250786e-01;9.796903286e+00;9.553112022e+04;2.747200705e+01
2021-03-15T10:57:42;1.746773958e+00;1.847146749e+00;1.847146749e+00;1.847149134e+00;1.207677078e+01;1.389613914e+01;1.394073296e+01;1.394659424e+01;1.394930553e+01;4.934347868e-01;9.942319951e+00;9.552284026e+04;3.079623960e+01
2021-03-15T11:02:42;1.372885108e+00;1.451773643e+00;1.451773643e+00;1.451775551e+00;9.491794586e+00;1.092173576e+01;1.095678520e+01;1.096139145e+01;1.096352196e+01;4.687355757e-01;9.789887576e+00;9.552220428e+04;2.949960898e+01
2021-03-15T11:07:42;1.489601731e+00;1.575196981e+00;1.575196981e+00;1.575199127e+00;1.029874516e+01;1.185025406e+01;1.188828182e+01;1.189328003e+01;1.189559174e+01;5.066753626e-01;9.943276640e+00;9.551729975e+04;3.120269760e+01
2021-03-15T11:12:42;1.335683823e+00;1.703960419e+00;1.939898729e+00;1.987088442e+00;8.603685379e+00;1.031601620e+01;1.064096165e+01;1.070495510e+01;1.071545696e+01;7.236123681e-01;9.646384531e+00;9.551752987e+04;2.821463414e+01
2021-03-15T11:17:42;1.593737721e+00;1.815295219e+00;1.920489073e+00;1.941530347e+00;1.073742104e+01;1.254057407e+01;1.271093655e+01;1.274281788e+01;1.274905014e+01;5.934789181e-01;9.271683222e+00;9.550638050e+04;2.786330216e+01
2021-03-15T11:22:42;1.246885896e+00;1.318534255e+00;1.318534255e+00;1.318536043e+00;8.620666504e+00;9.919372559e+00;9.951204300e+00;9.955388069e+00;9.957323074e+00;4.595488310e-01;8.800040146e+00;9.551266030e+04;2.916071077e+01
2021-03-15T11:27:42;1.571599364e+00;1.661906362e+00;1.661906362e+00;1.661908507e+00;1.086565685e+01;1.250257015e+01;1.254269218e+01;1.254796505e+01;1.255040455e+01;4.975997210e-01;8.619547240e+00;9.551591173e+04;2.820514565e+01
2021-03-15T11:32:42;1.808435678e+00;2.095738649e+00;2.244157553e+00;2.273842812e+00;1.210620880e+01;1.419181442e+01;1.442094135e+01;1.446444511e+01;1.447255421e+01;5.409551859e-01;8.440968044e+00;9.551340586e+04;2.846635734e+01
2021-03-15T11:37:42;1.710007191e+00;1.808267236e+00;1.808267236e+00;1.808269620e+00;1.182257462e+01;1.360364819e+01;1.364730358e+01;1.365304089e+01;1.365569496e+01;4.927977324e-01;8.367942012e+00;9.551426782e+04;2.740043645e+01
2021-03-15T11:42:42;1.126614451e+00;1.306205630e+00;1.399159431e+00;1.417752266e+00;7.540575981e+00;8.840531349e+00;8.983880043e+00;9.011105537e+00;9.016175270e+00;6.339465380e-01;8.351997471e+00;9.551439130e+04;3.014050252e+01
2021-03-15T11:47:42;1.350673318e+00;1.428285480e+00;1.428285480e+00;1.428287387e+00;9.338228226e+00;1.074503422e+01;1.077951622e+01;1.078404808e+01;1.078614426e+01;4.523868561e-01;8.565654552e+00;9.551815468e+04;2.897168059e+01
2021-03-15T11:52:42;2.235984564e+00;3.121345758e+00;3.733901262e+00;3.856416225e+00;1.382105255e+01;1.698372078e+01;1.779591560e+01;1.795792580e+01;1.798327827e+01;8.052046299e-01;8.632302910e+00;9.551097682e+04;2.666217954e+01
2021-03-15T11:57:42;1.460494876e+00;1.785530567e+00;1.980669022e+00;2.019699097e+00;9.575699806e+00;1.136249542e+01;1.164033318e+01;1.169445324e+01;1.170369148e+01;5.540944338e-01;8.884227774e+00;9.549425536e+04;2.812447421e+01
2021-03-15T12:02:42;1.048155308e+00;1.527080894e+00;1.865940809e+00;1.933713555e+00;6.340566158e+00;7.893507004e+00;8.337986946e+00;8.426975250e+00;8.440708160e+00;6.811194420e-01;8.971604411e+00;9.549568546e+04;2.717893138e+01
2021-03-15T12:07:42;1.292778611e+00;1.768412113e+00;2.093230963e+00;2.158197165e+00;8.069376945e+00;9.857996941e+00;1.029141235e+01;1.037768078e+01;1.039129162e+01;5.666933060e-01;8.987867956e+00;9.548526145e+04;3.373160031e+01
2021-03-15T12:12:42;1.181654811e+00;1.472504616e+00;1.652941585e+00;1.689030528e+00;7.687177181e+00;9.163536072e+00;9.416132927e+00;9.465610504e+00;9.473890305e+00;5.639271736e-01;9.264348659e+00;9.548287561e+04;2.863576768e+01
2021-03-15T12:17:42;1.778304696e+00;1.880489230e+00;1.880489230e+00;1.880491734e+00;1.229476738e+01;1.414697647e+01;1.419237518e+01;1.419834232e+01;1.420110226e+01;4.861488342e-01;8.959805372e+00;9.547922788e+04;2.462792186e+01
2021-03-15T12:22:42;1.021955132e+00;1.080678582e+00;1.080678582e+00;1.080680013e+00;7.065550327e+00;8.129977226e+00;8.156066895e+00;8.159495354e+00;8.161082268e+00;4.452425241e-01;9.346942252e+00;9.547205767e+04;2.878831150e+01
2021-03-15T12:27:42;1.116976500e+00;1.181159973e+00;1.181159973e+00;1.181161523e+00;7.722504616e+00;8.885901451e+00;8.914417267e+00;8.918165207e+00;8.919898987e+00;4.198800325e-01;9.432724869e+00;9.546972581e+04;2.650826278e+01
2021-03-15T12:32:42;1.723176837e+00;2.252710581e+00;2.601136208e+00;2.670825243e+00;1.098192120e+01;1.325095749e+01;1.372446156e+01;1.381812954e+01;1.383325100e+01;6.971278191e-01;9.750663387e+00;9.546798208e+04;3.070820358e+01
2021-03-15T12:37:42;1.406283379e+00;2.127268314e+00;2.645378351e+00;2.749001980e+00;8.337255478e+00;1.050718594e+01;1.118177319e+01;1.131717777e+01;1.133786869e+01;8.743938804e-01;1.011643758e+01;9.546300533e+04;3.090756793e+01
2021-03-15T12:42:42;2.156383753e+00;2.818911314e+00;3.254826307e+00;3.342012644e+00;1.374305916e+01;1.658238792e+01;1.717480278e+01;1.729199219e+01;1.731091118e+01;7.068569660e-01;1.030235477e+01;9.544488285e+04;2.830752205e+01
2021-03-15T12:47:42;1.192937732e+00;1.261486053e+00;1.261486053e+00;1.261487722e+00;8.247681618e+00;9.490197182e+00;9.520651817e+00;9.524654388e+00;9.526506424e+00;4.130564928e-01;1.025483902e+01;9.544660415e+04;2.595135245e+01
2021-03-15T12:52:42;9.674195051e-01;1.023009181e+00;1.023009181e+00;1.023010492e+00;6.688503742e+00;7.696128368e+00;7.720825672e+00;7.724071503e+00;7.725573063e+00;5.069770813e-01;9.860682496e+00;9.544702651e+04;2.520059340e+01
2021-03-15T12:57:42;1.036049724e+00;1.162672639e+00;1.216969252e+00;1.227829933e+00;7.017804146e+00;8.170815468e+00;8.264197350e+00;8.281369209e+00;8.284916878e+00;5.716392994e-01;9.339607683e+00;9.544186654e+04;2.507947463e+01
2021-03-15T13:02:42;1.160603046e+00;1.570892096e+00;1.848974228e+00;1.904592276e+00;7.280524731e+00;8.867860794e+00;9.240288734e+00;9.314325333e+00;9.326061249e+00;6.093415022e-01;9.345985569e+00;9.543782097e+04;2.596683369e+01
2021-03-15T13:07:42;7.911015749e-01;9.692103863e-01;1.076567292e+00;1.098039269e+00;5.182407379e+00;6.152511120e+00;6.305048943e+00;6.334782600e+00;6.339845181e+00;6.013169289e-01;9.594404596e+00;9.543717212e+04;2.746583850e+01
