Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x92b16a1b
SPS30 serial number: C498FD7969A0A47B
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-21T10:27:16;9.659801483e+00;1.064478016e+01;1.099271297e+01;1.106229591e+01;6.594769287e+01;7.638358307e+01;7.706547546e+01;7.719305420e+01;7.722566986e+01;5.632169247e-01;1.050554686e+00;9.650793124e+04;6.030652613e+01
2021-03-21T10:32:16;8.915576935e+00;9.427883148e+00;9.427883148e+00;9.427883148e+00;6.178528595e+01;7.095566559e+01;7.115383148e+01;7.118353271e+01;7.120024872e+01;5.100132227e-01;1.013844120e+00;9.650058780e+04;6.128732567e+01
2021-03-21T10:37:16;1.009811306e+01;1.067836952e+01;1.067836952e+01;1.067836952e+01;6.998030090e+01;8.036701965e+01;8.059146881e+01;8.062510681e+01;8.064403534e+01;4.370286465e-01;1.050235464e+00;9.649792832e+04;6.363020585e+01
2021-03-21T10:42:16;8.871802330e+00;9.381592751e+00;9.381592751e+00;9.381592751e+00;6.148192596e+01;7.060727692e+01;7.080447388e+01;7.083402252e+01;7.085065460e+01;4.991778135e-01;1.085349932e+00;9.649179379e+04;6.609513294e+01
2021-03-21T10:47:16;1.057707596e+01;1.189748669e+01;1.247424221e+01;1.258958435e+01;7.165000916e+01;8.335823059e+01;8.436774445e+01;8.456112671e+01;8.460499573e+01;5.924562216e-01;1.160367251e+00;9.649341935e+04;6.598799913e+01
2021-03-21T10:52:16;8.166563034e+00;8.635829926e+00;8.635829926e+00;8.635829926e+00;5.659459305e+01;6.499455261e+01;6.517607117e+01;6.520326996e+01;6.521858215e+01;4.591978788e-01;1.174732277e+00;9.648805001e+04;6.247008692e+01
2021-03-21T10:57:16;9.955211639e+00;1.149205303e+01;1.227287579e+01;1.242904663e+01;6.675679779e+01;7.811865234e+01;7.938836670e+01;7.963565063e+01;7.968685150e+01;5.519808531e-01;1.178562951e+00;9.648933760e+04;6.460903144e+01
2021-03-21T11:02:16;9.986684799e+00;1.149688625e+01;1.225468731e+01;1.240624809e+01;6.704074860e+01;7.840189362e+01;7.964140320e+01;7.988246918e+01;7.993276978e+01;6.359944344e-01;1.237938417e+00;9.649172975e+04;6.192338066e+01
2021-03-21T11:07:16;9.827692032e+00;1.094266987e+01;1.138800335e+01;1.147707462e+01;6.683260345e+01;7.758116150e+01;7.839757538e+01;7.855242920e+01;7.858941650e+01;5.229592323e-01;1.248472778e+00;9.648832124e+04;6.265412162e+01
2021-03-21T11:12:16;1.051971340e+01;1.121854305e+01;1.129490089e+01;1.131018066e+01;7.268362427e+01;8.361372375e+01;8.395006561e+01;8.400605011e+01;8.402896118e+01;5.289123058e-01;1.215912030e+00;9.648246006e+04;6.284873143e+01
