Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x92b16a1b
SPS30 serial number: C498FD7969A0A47B
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:27:51;1.619446874e+00;1.835414648e+00;1.934889555e+00;1.954784393e+00;1.093832684e+01;1.274701118e+01;1.291657543e+01;1.294924641e+01;1.295642853e+01;5.459631681e-01;1.574333015e+01;9.555218788e+04;1.993258042e+01
2021-03-15T10:32:51;1.008986235e+00;1.066964507e+00;1.066964507e+00;1.066964507e+00;6.992312908e+00;8.030136108e+00;8.052562714e+00;8.055923462e+00;8.057814598e+00;4.206840992e-01;1.422263766e+01;9.554705523e+04;2.125090727e+01
2021-03-15T10:37:51;1.129036665e+00;1.538838863e+00;1.817993879e+00;1.873825669e+00;7.025871277e+00;8.588349342e+00;8.988275528e+00;9.068587303e+00;9.082336426e+00;6.930505037e-01;1.312052686e+01;9.554297863e+04;2.258339647e+01
2021-03-15T10:42:51;9.649077058e-01;1.020353198e+00;1.020353198e+00;1.020353198e+00;6.686847210e+00;7.679331779e+00;7.700778961e+00;7.703992844e+00;7.705801964e+00;4.601339102e-01;1.206759589e+01;9.552953452e+04;2.321913400e+01
2021-03-15T10:47:51;1.450385690e+00;1.533727765e+00;1.533727765e+00;1.533727765e+00;1.005122852e+01;1.154306507e+01;1.157530308e+01;1.158013439e+01;1.158285332e+01;4.779282808e-01;1.097093896e+01;9.553638761e+04;2.521239538e+01
2021-03-15T10:52:51;1.817128420e+00;2.286723375e+00;2.582269907e+00;2.641379356e+00;1.174749279e+01;1.404128456e+01;1.447851562e+01;1.456561279e+01;1.458133507e+01;5.647647381e-01;1.076246392e+01;9.553800480e+04;2.553850135e+01
2021-03-15T10:57:51;1.480174541e+00;1.696586013e+00;1.802897811e+00;1.824158430e+00;9.953614235e+00;1.162887001e+01;1.180451679e+01;1.183860016e+01;1.184580517e+01;6.031397581e-01;1.065615142e+01;9.553285673e+04;2.577982548e+01
2021-03-15T11:02:51;2.003405333e+00;2.118525028e+00;2.118525028e+00;2.118525028e+00;1.388367558e+01;1.594433784e+01;1.598886776e+01;1.599554062e+01;1.599929714e+01;4.521459341e-01;1.059868525e+01;9.553252360e+04;2.728991147e+01
2021-03-15T11:07:51;1.122804642e+00;1.695892453e+00;2.107488394e+00;2.189808130e+00;6.603897572e+00;8.350295067e+00;8.927915573e+00;9.044525146e+00;9.063781738e+00;6.046166420e-01;1.066477135e+01;9.552984187e+04;2.701543191e+01
2021-03-15T11:12:51;1.315066576e+00;1.900107622e+00;2.312436342e+00;2.394902229e+00;7.934185505e+00;9.879392624e+00;1.046226978e+01;1.057972050e+01;1.059936810e+01;7.910128832e-01;1.015875104e+01;9.552773148e+04;2.636914455e+01
