Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x95444f80
SPS30 serial number: 244063AEB5C5B31E
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-19T10:27:27;5.991333008e+00;6.335606098e+00;6.335602283e+00;6.335610390e+00;4.141102982e+01;4.765785217e+01;4.781589890e+01;4.783562851e+01;4.784726715e+01;5.187504292e-01;4.014472221e+00;9.633089393e+04;3.800836964e+01
2021-03-19T10:32:27;5.256268501e+00;5.692840576e+00;5.801723480e+00;5.823504925e+00;3.605031967e+01;4.167248917e+01;4.194073105e+01;4.198377609e+01;4.199772644e+01;5.353294611e-01;3.944573288e+00;9.632716764e+04;3.698012417e+01
2021-03-19T10:37:27;7.376021862e+00;7.799861908e+00;7.799857140e+00;7.799866676e+00;5.098175430e+01;5.867231369e+01;5.886688614e+01;5.889117813e+01;5.890550232e+01;4.518213272e-01;3.425918532e+00;9.633238238e+04;4.054587971e+01
2021-03-19T10:42:27;6.652289391e+00;7.424800873e+00;7.740646362e+00;7.803818226e+00;4.516701508e+01;5.251418686e+01;5.306555557e+01;5.316212463e+01;5.318589020e+01;5.879111290e-01;3.107386207e+00;9.633917990e+04;4.634680089e+01
2021-03-19T10:47:27;4.560894012e+00;5.058710098e+00;5.249496937e+00;5.287662506e+00;3.103333282e+01;3.603711319e+01;3.638448334e+01;3.644460297e+01;3.646001434e+01;5.581393242e-01;3.112173758e+00;9.633532322e+04;4.778630353e+01
2021-03-19T10:52:27;5.531442642e+00;5.849289894e+00;5.849286079e+00;5.849293232e+00;3.823234940e+01;4.399967194e+01;4.414558792e+01;4.416379929e+01;4.417454529e+01;4.587080479e-01;2.981633276e+00;9.632867030e+04;4.941252593e+01
2021-03-19T10:57:27;4.932651520e+00;5.867234707e+00;6.394214153e+00;6.499616623e+00;3.273808670e+01;3.856718445e+01;3.932446289e+01;3.946527481e+01;3.949295425e+01;6.357639432e-01;2.942056248e+00;9.632679284e+04;5.171904672e+01
2021-03-19T11:02:27;5.459815979e+00;6.538301468e+00;7.157228470e+00;7.281023502e+00;3.614524460e+01;4.264369202e+01;4.352430344e+01;4.368859100e+01;4.372045135e+01;6.360431910e-01;2.967589812e+00;9.632979684e+04;5.074869566e+01
2021-03-19T11:07:27;4.755751133e+00;5.029025555e+00;5.029022217e+00;5.029028416e+00;3.287090683e+01;3.782945633e+01;3.795491028e+01;3.797057343e+01;3.797980881e+01;4.332011938e-01;2.828431974e+00;9.633295805e+04;4.852098761e+01
2021-03-19T11:12:27;8.304512978e+00;1.083794689e+01;1.250210285e+01;1.283493996e+01;5.311871719e+01;6.394398499e+01;6.614354706e+01;6.656428528e+01;6.663756561e+01;5.965125561e-01;3.059510705e+00;9.632666257e+04;4.890901746e+01
2021-03-19T11:17:27;5.398258209e+00;5.708452225e+00;5.708448887e+00;5.708456039e+00;3.731180191e+01;4.294026184e+01;4.308266449e+01;4.310043716e+01;4.311092377e+01;4.659420252e-01;3.471560030e+00;9.632660942e+04;4.674257131e+01
