Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xbb1a5576
SPS30 serial number: 7D6E454FFCFF64BB
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-18T10:27:55;4.356231689e+00;5.650602818e+00;6.495579243e+00;6.664566994e+00;2.793575478e+01;3.357814026e+01;3.469864273e+01;3.491286850e+01;3.495033264e+01;6.963584423e-01;3.981472566e+00;9.648834929e+04;3.325589246e+01
2021-03-18T10:32:55;4.215621471e+00;4.635024071e+00;4.778409958e+00;4.807079315e+00;2.876857185e+01;3.335084152e+01;3.363272858e+01;3.368056107e+01;3.369369888e+01;6.002162695e-01;4.283542351e+00;9.647807443e+04;3.258306692e+01
2021-03-18T10:37:55;4.380013466e+00;4.798113823e+00;4.932800770e+00;4.959731579e+00;2.992718315e+01;3.466953278e+01;3.494541168e+01;3.499172974e+01;3.500489044e+01;5.296831131e-01;4.710916892e+00;9.647105980e+04;3.222798942e+01
2021-03-18T10:42:55;4.530106068e+00;5.022741318e+00;5.210770607e+00;5.248372078e+00;3.082738304e+01;3.579568481e+01;3.613899994e+01;3.619842911e+01;3.621371460e+01;5.811027288e-01;5.147883091e+00;9.646074824e+04;3.215863187e+01
2021-03-18T10:47:55;4.125231743e+00;4.362275600e+00;4.362278938e+00;4.362272739e+00;2.851263809e+01;3.281396484e+01;3.292284393e+01;3.293646622e+01;3.294451523e+01;4.775776863e-01;5.534985133e+00;9.646303942e+04;3.375363871e+01
2021-03-18T10:52:55;4.810730457e+00;5.314106464e+00;5.497780800e+00;5.534505844e+00;3.277819443e+01;3.803343201e+01;3.837896729e+01;3.843829727e+01;3.845397568e+01;6.049425602e-01;5.620013551e+00;9.645529971e+04;3.015365861e+01
2021-03-18T10:57:55;4.317812443e+00;4.803052425e+00;4.994972229e+00;5.033346653e+00;2.935005569e+01;3.410206223e+01;3.444440460e+01;3.450405121e+01;3.451905060e+01;5.757521391e-01;5.501101651e+00;9.645760425e+04;2.967365628e+01
2021-03-18T11:02:55;5.228450775e+00;5.750801563e+00;5.930404186e+00;5.966320515e+00;3.567584991e+01;4.136133575e+01;4.171305466e+01;4.177280045e+01;4.178915787e+01;5.448068380e-01;5.541058589e+00;9.645357485e+04;3.039061270e+01
2021-03-18T11:07:55;4.177208900e+00;5.355823040e+00;6.115439415e+00;6.267356396e+00;2.691795921e+01;3.226253891e+01;3.327673340e+01;3.347018051e+01;3.350436783e+01;7.350302339e-01;5.483200948e+00;9.644547232e+04;2.943285089e+01
2021-03-18T11:12:55;3.902507782e+00;4.381613255e+00;4.587881088e+00;4.629125118e+00;2.644265747e+01;3.078031731e+01;3.112877274e+01;3.119044304e+01;3.120512772e+01;5.497722626e-01;5.606588006e+00;9.644326205e+04;3.045254066e+01
2021-03-18T11:17:55;4.966327190e+00;5.415760040e+00;5.548536777e+00;5.575086594e+00;3.398456192e+01;3.933576965e+01;3.962484741e+01;3.967265320e+01;3.968689346e+01;5.459963083e-01;5.489274400e+00;9.645036378e+04;3.064992497e+01
2021-03-18T11:22:55;5.219063759e+00;5.518961430e+00;5.518965244e+00;5.518958092e+00;3.607294846e+01;4.151480103e+01;4.165254593e+01;4.166978455e+01;4.167996597e+01;4.582904577e-01;5.307390667e+00;9.644806647e+04;3.289610210e+01
2021-03-18T11:27:55;4.322094440e+00;4.905743122e+00;5.177103996e+00;5.231368065e+00;2.917530251e+01;3.403521729e+01;3.447220612e+01;3.455065918e+01;3.456839371e+01;5.967148542e-01;5.178569897e+00;9.645051795e+04;3.263979078e+01
2021-03-18T11:32:55;4.681219101e+00;5.234771729e+00;5.465074539e+00;5.511126041e+00;3.176309967e+01;3.694400787e+01;3.734162140e+01;3.741154861e+01;3.742857361e+01;5.602364540e-01;5.200945700e+00;9.644276395e+04;3.233561022e+01
2021-03-18T11:37:55;4.328144073e+00;4.995898724e+00;5.335048199e+00;5.402874470e+00;2.904274368e+01;3.399723053e+01;3.451505280e+01;3.460955429e+01;3.462962341e+01;5.898734331e-01;5.181446786e+00;9.643845382e+04;3.043181191e+01
2021-03-18T11:42:55;4.175294399e+00;4.819438457e+00;5.146587849e+00;5.212009907e+00;2.801715469e+01;3.279663849e+01;3.329614639e+01;3.338730621e+01;3.340666580e+01;6.729282141e-01;5.309947905e+00;9.643207409e+04;3.010803956e+01
2021-03-18T11:47:55;4.029726028e+00;4.261282444e+00;4.261285305e+00;4.261279583e+00;2.785252571e+01;3.205427170e+01;3.216062927e+01;3.217393494e+01;3.218179703e+01;5.170810223e-01;5.674035407e+00;9.642750379e+04;2.991709703e+01
2021-03-18T11:52:55;4.146409988e+00;4.630882740e+00;4.830146313e+00;4.869994640e+00;2.814645767e+01;3.272931671e+01;3.307587814e+01;3.313669968e+01;3.315161896e+01;5.960370302e-01;5.939989633e+00;9.640329848e+04;2.868724110e+01
2021-03-18T11:57:55;3.525190115e+00;3.949443817e+00;4.128863335e+00;4.164744854e+00;2.390378380e+01;2.781306267e+01;2.811961365e+01;2.817368698e+01;2.818671227e+01;5.916142464e-01;6.128587457e+00;9.641549327e+04;2.750343692e+01
2021-03-18T12:02:55;3.584094048e+00;3.790043354e+00;3.790045977e+00;3.790040970e+00;2.477242088e+01;2.850951195e+01;2.860410690e+01;2.861594200e+01;2.862293625e+01;5.155627728e-01;6.090228546e+00;9.641093523e+04;2.691749039e+01
2021-03-18T12:07:55;3.464973927e+00;3.912463903e+00;4.113490105e+00;4.153687000e+00;2.343200302e+01;2.730663109e+01;2.763730049e+01;2.769628525e+01;2.770993614e+01;5.454679728e-01;5.948300715e+00;9.641353801e+04;2.673150149e+01
