Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x5b392615
SPS30 serial number: C903D98B57446B25
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-19T10:27:52;4.403295994e+00;4.656319141e+00;4.656319141e+00;4.656319141e+00;3.043452454e+01;3.502582550e+01;3.514202881e+01;3.515654373e+01;3.516515732e+01;5.106146336e-01;4.513398311e+00;9.633090023e+04;3.750036634e+01
2021-03-19T10:32:52;5.350375175e+00;5.657819271e+00;5.657819271e+00;5.657819271e+00;3.698050690e+01;4.255932236e+01;4.270051956e+01;4.271815872e+01;4.272862625e+01;5.185174942e-01;4.435474969e+00;9.633232484e+04;3.681246171e+01
2021-03-19T10:37:52;5.398080826e+00;5.708266258e+00;5.708266258e+00;5.708266258e+00;3.731023788e+01;4.293879700e+01;4.308125305e+01;4.309904480e+01;4.310960770e+01;4.393076897e-01;3.876655286e+00;9.633856729e+04;4.062832265e+01
2021-03-19T10:42:52;6.502384663e+00;6.876025677e+00;6.876025677e+00;6.876025677e+00;4.494292068e+01;5.172293091e+01;5.189453125e+01;5.191596603e+01;5.192868805e+01;5.197950602e-01;3.620305485e+00;9.633820214e+04;4.520452524e+01
2021-03-19T10:47:52;4.286065102e+00;4.532351971e+00;4.532351971e+00;4.532351971e+00;2.962425423e+01;3.409331894e+01;3.420642853e+01;3.422055817e+01;3.422894287e+01;5.341267586e-01;3.577050504e+00;9.634021575e+04;4.910214251e+01
2021-03-19T10:52:51;4.297888279e+00;5.461712837e+00;6.203743935e+00;6.352153778e+00;2.779676056e+01;3.324460220e+01;3.424126816e+01;3.443090439e+01;3.446479416e+01;6.056382656e-01;3.516302736e+00;9.633592855e+04;5.504893229e+01
2021-03-19T10:57:51;4.918888569e+00;5.201538563e+00;5.201538563e+00;5.201538563e+00;3.399817657e+01;3.912708282e+01;3.925689316e+01;3.927310562e+01;3.928273010e+01;4.657102823e-01;3.475274162e+00;9.633298363e+04;5.389581615e+01
2021-03-19T11:02:51;4.809536934e+00;5.085903168e+00;5.085903168e+00;5.085903168e+00;3.324236298e+01;3.825724792e+01;3.838417435e+01;3.840002823e+01;3.840943909e+01;4.447132349e-01;3.547789794e+00;9.633535204e+04;5.061075219e+01
2021-03-19T11:07:51;4.707747936e+00;4.978265285e+00;4.978265285e+00;4.978265285e+00;3.253882217e+01;3.744757462e+01;3.757181168e+01;3.758732986e+01;3.759654236e+01;5.289831161e-01;3.516620787e+00;9.633309503e+04;4.618186964e+01
2021-03-19T11:12:51;7.289175510e+00;9.179459572e+00;1.037031841e+01;1.060848713e+01;4.731700897e+01;5.646841812e+01;5.807826614e+01;5.838389587e+01;5.843904877e+01;6.946620345e-01;3.745617826e+00;9.633437398e+04;4.850120635e+01
2021-03-19T11:17:51;4.881929398e+00;5.990263462e+00;6.660228252e+00;6.794220448e+00;3.201894379e+01;3.798189163e+01;3.890818787e+01;3.908270645e+01;3.911526489e+01;6.137820482e-01;4.265952178e+00;9.632693256e+04;4.600922123e+01
2021-03-19T11:22:51;4.588008404e+00;4.851645470e+00;4.851645470e+00;4.851645470e+00;3.171121216e+01;3.649511337e+01;3.661619186e+01;3.663131332e+01;3.664028931e+01;4.589186907e-01;4.768160407e+00;9.632313857e+04;4.236141229e+01
2021-03-19T11:27:51;3.675345421e+00;4.457786083e+00;4.920111179e+00;5.012572765e+00;2.421357346e+01;2.864798737e+01;2.929528427e+01;2.941672707e+01;2.943979263e+01;6.068218946e-01;5.100529034e+00;9.631693464e+04;3.979922152e+01
2021-03-19T11:32:51;3.888803959e+00;4.112263203e+00;4.112263203e+00;4.112263203e+00;2.687847710e+01;3.093331909e+01;3.103594589e+01;3.104876518e+01;3.105637169e+01;4.424877167e-01;5.386462462e+00;9.631105215e+04;3.667266464e+01
2021-03-19T11:37:51;4.255477428e+00;4.500006199e+00;4.500006199e+00;4.500006199e+00;2.941283798e+01;3.385000610e+01;3.396231079e+01;3.397633743e+01;3.398466492e+01;4.460600615e-01;5.838423627e+00;9.630678590e+04;3.692199241e+01
