Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x5b392615
SPS30 serial number: C903D98B57446B25
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:28:15;1.690530062e+00;1.787671685e+00;1.787671685e+00;1.787671685e+00;1.168453789e+01;1.344724751e+01;1.349186039e+01;1.349743366e+01;1.350074100e+01;4.730048180e-01;1.360004595e+01;9.559263048e+04;2.250044294e+01
2021-03-15T10:33:14;9.954463840e-01;1.052646875e+00;1.052646875e+00;1.052646875e+00;6.880286217e+00;7.918234348e+00;7.944504261e+00;7.947785854e+00;7.949733257e+00;5.107575655e-01;1.264101859e+01;9.559821602e+04;2.256736969e+01
2021-03-15T10:38:14;8.712656498e-01;1.115302920e+00;1.272287965e+00;1.303686023e+00;5.618062973e+00;6.730991840e+00;6.940845490e+00;6.980839252e+00;6.987935066e+00;7.166444659e-01;1.218965904e+01;9.558311067e+04;2.410214812e+01
2021-03-15T10:43:14;1.255438805e+00;1.327579021e+00;1.327579021e+00;1.327579021e+00;8.677290916e+00;9.986332893e+00;1.001946354e+01;1.002360249e+01;1.002605820e+01;4.794878960e-01;1.155063452e+01;9.557553672e+04;2.780182089e+01
2021-03-15T10:48:14;1.711492419e+00;1.809838533e+00;1.809838533e+00;1.809838533e+00;1.182942390e+01;1.361399078e+01;1.365915775e+01;1.366479969e+01;1.366814804e+01;4.672050476e-01;1.069659449e+01;9.557753467e+04;2.669036649e+01
2021-03-15T10:53:14;1.418628812e+00;1.909315228e+00;2.240463257e+00;2.306693316e+00;8.953192711e+00;1.086369133e+01;1.129529572e+01;1.137827873e+01;1.139242554e+01;7.539348006e-01;1.048730027e+01;9.557936165e+04;2.714178886e+01
2021-03-15T10:58:14;1.263163805e+00;1.637989163e+00;1.882600546e+00;1.931521416e+00;8.101316452e+00;9.737000465e+00;1.006149578e+01;1.012350273e+01;1.013437366e+01;6.487527490e-01;1.036961225e+01;9.557180702e+04;3.108037264e+01
2021-03-15T11:03:14;1.590479493e+00;1.681871891e+00;1.681871891e+00;1.681871891e+00;1.099301243e+01;1.265139866e+01;1.269337177e+01;1.269861507e+01;1.270172691e+01;4.214795828e-01;1.008811585e+01;9.557301797e+04;3.150114263e+01
2021-03-15T11:08:14;2.093399763e+00;3.364811659e+00;4.296439648e+00;4.482763290e+00;1.207205200e+01;1.546821308e+01;1.663237572e+01;1.685957909e+01;1.689566612e+01;8.834553361e-01;1.001018763e+01;9.557211538e+04;2.969605541e+01
2021-03-15T11:13:14;1.167962432e+00;1.235076070e+00;1.235076070e+00;1.235076070e+00;8.072675705e+00;9.290505409e+00;9.321328163e+00;9.325178146e+00;9.327463150e+00;4.510060549e-01;9.750957495e+00;9.556519876e+04;2.864570616e+01
