Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xb208f50b
SPS30 serial number: BA5D484176C95811
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-16T10:28:11;1.322158813e+00;2.042418480e+00;2.563853502e+00;2.668140650e+00;7.796756744e+00;9.854609489e+00;1.051012230e+01;1.063784122e+01;1.065833282e+01;7.553265691e-01;6.361781610e+00;9.597975003e+04;4.203152951e+01
2021-03-16T10:33:11;5.180293918e-01;5.477964282e-01;5.477968454e-01;5.477968454e-01;3.580497026e+00;4.120644569e+00;4.134313107e+00;4.136019230e+00;4.137028694e+00;5.367716551e-01;6.390418998e+00;9.598844267e+04;3.960510410e+01
2021-03-16T10:38:11;6.470456123e-01;1.130614519e+00;1.491886020e+00;1.564140201e+00;3.542645931e+00;4.687925816e+00;5.134994507e+00;5.222598076e+00;5.236270428e+00;6.268748045e-01;6.312229298e+00;9.599678781e+04;3.921958033e+01
2021-03-16T10:43:11;7.819219828e-01;1.272811174e+00;1.633734822e+00;1.705919623e+00;4.475774765e+00;5.761236668e+00;6.211449623e+00;6.299415588e+00;6.313338757e+00;7.556337714e-01;6.306759239e+00;9.598799453e+04;3.715401211e+01
2021-03-16T10:48:11;5.923645496e-01;1.039805532e+00;1.374381661e+00;1.441296816e+00;3.233393431e+00;4.286882877e+00;4.700734138e+00;4.781842232e+00;4.794490814e+00;6.615689993e-01;6.503359794e+00;9.596403907e+04;3.642194145e+01
2021-03-16T10:53:11;7.505824566e-01;1.837795019e+00;2.682793379e+00;2.851792812e+00;3.013599396e+00;4.896960735e+00;5.922506332e+00;6.124895573e+00;6.155387402e+00;9.049877524e-01;6.402002663e+00;9.598132985e+04;3.694066077e+01
2021-03-16T10:58:11;5.030206442e-01;6.690810323e-01;7.800846100e-01;8.022850752e-01;3.191140175e+00;3.860235453e+00;4.005627155e+00;4.033545971e+00;4.038340092e+00;6.453298926e-01;6.259781100e+00;9.598790632e+04;3.602606255e+01
2021-03-16T11:03:11;6.727483869e-01;1.481502414e+00;2.104758739e+00;2.229409695e+00;3.046189785e+00;4.559542179e+00;5.319110394e+00;5.468780994e+00;5.491503716e+00;9.509353638e-01;6.214090057e+00;9.599929157e+04;3.424726790e+01
2021-03-16T11:08:11;4.238542616e-01;6.991491914e-01;9.022398591e-01;9.428578615e-01;2.407011986e+00;3.113518000e+00;3.366425991e+00;3.415870667e+00;3.423674107e+00;7.263222337e-01;6.168399037e+00;9.599761965e+04;3.446079703e+01
2021-03-16T11:13:11;4.298988581e-01;6.076142788e-01;7.314510345e-01;7.562180758e-01;2.652718544e+00;3.262287140e+00;3.421023846e+00;3.451738119e+00;3.456830263e+00;6.432794929e-01;6.279408950e+00;9.600286740e+04;3.633680014e+01
2021-03-16T11:18:11;6.934989095e-01;1.222063899e+00;1.617591739e+00;1.696696997e+00;3.775576353e+00;5.013916492e+00;5.502983093e+00;5.598844528e+00;5.613784313e+00;9.074600935e-01;6.304506862e+00;9.599667068e+04;3.509873831e+01
2021-03-16T11:23:11;3.566810787e-01;3.771767020e-01;3.771770000e-01;3.771770000e-01;2.465295553e+00;2.837205648e+00;2.846616983e+00;2.847791672e+00;2.848486900e+00;4.658805132e-01;6.475044140e+00;9.599311102e+04;3.530468846e+01
2021-03-16T11:28:11;4.948507547e-01;1.281758547e+00;1.895606518e+00;2.018376112e+00;1.840809941e+00;3.156414270e+00;3.900091171e+00;4.046950340e+00;4.069003105e+00;1.301730394e+00;6.510438709e+00;9.600372861e+04;3.550028137e+01
2021-03-16T11:33:11;8.383530378e-01;1.470353723e+00;1.942857623e+00;2.037358284e+00;4.578707218e+00;6.068358898e+00;6.652867794e+00;6.767417431e+00;6.785284042e+00;6.529713869e-01;6.666496748e+00;9.600311620e+04;3.491698025e+01
2021-03-16T11:38:11;5.233095288e-01;8.289322257e-01;1.051942587e+00;1.096544981e+00;3.043168068e+00;3.879324198e+00;4.158565044e+00;4.213050842e+00;4.221731663e+00;9.274191856e-01;6.633354503e+00;9.600349439e+04;3.544748404e+01
2021-03-16T11:43:11;5.842396021e-01;6.178112030e-01;6.178116798e-01;6.178116798e-01;4.038126469e+00;4.647311211e+00;4.662726402e+00;4.664650440e+00;4.665789604e+00;4.052059650e-01;6.528135999e+00;9.601115007e+04;3.479721399e+01
2021-03-16T11:48:11;6.457409859e-01;7.937286496e-01;8.834682703e-01;9.014157653e-01;4.232303619e+00;5.022513390e+00;5.146361828e+00;5.169719696e+00;5.174061775e+00;6.579192877e-01;6.573505431e+00;9.601420520e+04;3.525780007e+01
2021-03-16T11:53:11;5.568107963e-01;7.326860428e-01;8.491320014e-01;8.724210858e-01;3.548921824e+00;4.281193256e+00;4.434481621e+00;4.463864803e+00;4.468950272e+00;6.990293860e-01;6.575757815e+00;9.601358885e+04;3.491779598e+01
2021-03-16T11:58:11;4.334155619e-01;7.620272040e-01;1.007823467e+00;1.056982994e+00;2.363212109e+00;3.135318041e+00;3.439307451e+00;3.498887777e+00;3.508176804e+00;8.439697027e-01;6.797135229e+00;9.602141398e+04;3.648948924e+01
2021-03-16T12:03:11;6.180842519e-01;1.633128047e+00;2.425880432e+00;2.584430695e+00;2.232235432e+00;3.909383535e+00;4.869248867e+00;5.058841228e+00;5.087279797e+00;1.255524993e+00;6.761418778e+00;9.602057120e+04;3.716960314e+01
2021-03-16T12:08:11;8.245377541e-01;2.129563808e+00;3.147404432e+00;3.350971699e+00;3.080024004e+00;5.265649319e+00;6.498868465e+00;6.742393494e+00;6.778967381e+00;1.221850038e+00;6.761740548e+00;9.602337755e+04;3.790699187e+01
2021-03-16T12:13:11;6.987891793e-01;8.552461863e-01;9.493730664e-01;9.681993127e-01;4.587669849e+00;5.438908577e+00;5.569378853e+00;5.593949318e+00;5.598545551e+00;6.253427267e-01;6.896240409e+00;9.601533776e+04;3.763588452e+01
2021-03-16T12:18:11;7.374367714e-01;1.399052858e+00;1.900218606e+00;2.000451803e+00;3.807449579e+00;5.229212284e+00;5.845171928e+00;5.966170311e+00;5.984824657e+00;9.916859269e-01;6.789412752e+00;9.602255658e+04;3.747486196e+01
2021-03-16T12:23:11;4.894386530e-01;9.434534907e-01;1.288136005e+00;1.357072473e+00;2.495988607e+00;3.455322742e+00;3.878487825e+00;3.961647749e+00;3.974443197e+00;9.676711559e-01;6.748547989e+00;9.603814452e+04;3.635721159e+01
2021-03-16T12:28:11;3.769602478e-01;3.986211419e-01;3.986214399e-01;3.986214399e-01;2.605460405e+00;2.998515606e+00;3.008461714e+00;3.009703159e+00;3.010437965e+00;3.253048658e-01;6.839930634e+00;9.603421594e+04;3.624717563e+01
2021-03-16T12:33:11;3.225539923e-01;4.101544321e-01;4.660511613e-01;4.772303104e-01;2.085591078e+00;2.494729996e+00;2.569770336e+00;2.584057093e+00;2.586606026e+00;6.041779518e-01;6.929382749e+00;9.601882944e+04;3.322429565e+01
2021-03-16T12:38:11;6.244046092e-01;1.385818839e+00;1.973010063e+00;2.090448141e+00;2.804847717e+00;4.220812321e+00;4.936179638e+00;5.077158451e+00;5.098547935e+00;1.174646735e+00;6.768175944e+00;9.602652863e+04;3.375702822e+01
2021-03-16T12:43:11;5.102898479e-01;1.302268028e+00;1.919501901e+00;2.042948484e+00;1.938810110e+00;3.274923086e+00;4.023036480e+00;4.170748234e+00;4.192946911e+00;9.912591577e-01;6.676793370e+00;9.602319680e+04;3.246625491e+01
2021-03-16T12:48:11;3.341124058e-01;3.533112109e-01;3.533114493e-01;3.533114493e-01;2.309306383e+00;2.657684088e+00;2.666499853e+00;2.667600155e+00;2.668251514e+00;4.503179789e-01;6.682263451e+00;9.602973663e+04;3.311793350e+01
2021-03-16T12:53:11;3.807384372e-01;6.837697029e-01;9.113128781e-01;9.568213820e-01;2.046087027e+00;2.739489317e+00;3.020363808e+00;3.075452089e+00;3.084011078e+00;6.071412563e-01;6.904928206e+00;9.602790838e+04;3.387079889e+01
2021-03-16T12:58:11;5.679103732e-01;7.857630849e-01;9.356657863e-01;9.656460285e-01;3.539553165e+00;4.326980114e+00;4.520382404e+00;4.557717800e+00;4.563974380e+00;7.513757348e-01;7.187121169e+00;9.601658733e+04;3.354423556e+01
2021-03-16T13:03:11;4.228686094e-01;4.471674860e-01;4.471678138e-01;4.471678138e-01;2.922768116e+00;3.363691807e+00;3.374849319e+00;3.376241922e+00;3.377066135e+00;4.556165934e-01;7.490873752e+00;9.601907239e+04;3.252347313e+01
2021-03-16T13:08:11;3.136877716e-01;5.315223336e-01;6.932325959e-01;7.255744934e-01;1.752042770e+00;2.289774179e+00;2.490523100e+00;2.529814959e+00;2.535981894e+00;6.281038523e-01;7.306498388e+00;9.602656674e+04;3.135913803e+01
2021-03-16T13:13:11;4.616893828e-01;7.938557267e-01;1.041214347e+00;1.090685964e+00;2.554615021e+00;3.358236551e+00;3.664831400e+00;3.724874258e+00;3.734272003e+00;7.998720407e-01;7.263380992e+00;9.602209514e+04;3.036015411e+01
2021-03-16T13:18:10;1.512622714e+00;3.341689110e+00;4.751646996e+00;5.033638477e+00;6.826954842e+00;1.024083328e+01;1.195891666e+01;1.229747963e+01;1.234886456e+01;1.030974865e+00;7.404638805e+00;9.602111479e+04;2.916034345e+01
2021-03-16T13:23:10;5.404346585e-01;1.500489831e+00;2.252349854e+00;2.402721643e+00;1.800759435e+00;3.343673944e+00;4.252819538e+00;4.432480812e+00;4.459363937e+00;1.414031148e+00;7.306820159e+00;9.601335875e+04;2.957886558e+01
2021-03-16T13:28:10;5.108989477e-01;1.485233307e+00;2.250023365e+00;2.402981281e+00;1.563345313e+00;3.092306852e+00;4.016062737e+00;4.198685646e+00;4.225955486e+00;1.397803783e+00;7.328700637e+00;9.601128230e+04;3.032417299e+01
