Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xc59627fb
SPS30 serial number: 9BC4514C922B18F5
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-20T10:28:00;2.074914360e+01;2.240993881e+01;2.278909492e+01;2.286493111e+01;1.424348297e+02;1.645665131e+02;1.655653229e+02;1.657235260e+02;1.657772369e+02;5.703649521e-01;1.482268653e+00;9.677868831e+04;8.458614418e+01
2021-03-20T10:33:00;1.682903290e+01;1.819614410e+01;1.851992226e+01;1.858469772e+01;1.154829559e+02;1.334544983e+02;1.342839508e+02;1.344161224e+02;1.344602356e+02;5.762585402e-01;1.529366157e+00;9.678705050e+04;8.307970499e+01
2021-03-20T10:38:00;1.259994125e+01;1.362843227e+01;1.387483215e+01;1.392412186e+01;8.645214081e+01;9.991267395e+01;1.005384293e+02;1.006383286e+02;1.006715012e+02;6.216844320e-01;1.305491936e+00;9.679542927e+04;7.933187448e+01
2021-03-20T10:43:00;1.328992176e+01;1.522340298e+01;1.617014694e+01;1.635949326e+01;8.941915894e+01;1.045112839e+02;1.059888763e+02;1.062567673e+02;1.063153458e+02;6.022208929e-01;1.171296700e+00;9.680863508e+04;7.932435937e+01
2021-03-20T10:48:00;1.454756832e+01;1.686371422e+01;1.806167412e+01;1.830126572e+01;9.746521759e+01;1.141960220e+02;1.160058289e+02;1.163372955e+02;1.164069672e+02;6.037309170e-01;1.061940631e+00;9.680466771e+04;8.086449162e+01
2021-03-20T10:53:00;1.482638168e+01;1.681228256e+01;1.772999954e+01;1.791353416e+01;1.001132889e+02;1.167698822e+02;1.182534637e+02;1.185195618e+02;1.185801468e+02;6.425121427e-01;8.903260617e-01;9.681147161e+04;8.024273874e+01
2021-03-20T10:58:00;1.385008049e+01;1.467930698e+01;1.470630455e+01;1.471170616e+01;9.565713501e+01;1.101356125e+02;1.105331955e+02;1.105852966e+02;1.106133957e+02;5.519545078e-01;7.129053222e-01;9.682358897e+04;7.906685463e+01
2021-03-20T11:03:00;1.489998436e+01;1.694906044e+01;1.791447449e+01;1.810756302e+01;1.004992523e+02;1.172947388e+02;1.188370438e+02;1.191146698e+02;1.191770401e+02;6.258420944e-01;4.245167086e-01;9.682934307e+04;7.820540364e+01
2021-03-20T11:08:00;1.455662251e+01;1.696612358e+01;1.823919868e+01;1.849381828e+01;9.733449554e+01;1.141725845e+02;1.160720673e+02;1.164213409e+02;1.164936066e+02;7.042553425e-01;1.012902820e-01;9.684153270e+04;7.730802894e+01
2021-03-20T11:13:00;1.500213146e+01;1.650116920e+01;1.701669312e+01;1.711979675e+01;1.023627930e+02;1.186788712e+02;1.196883469e+02;1.198598480e+02;1.199069824e+02;5.935323238e-01;-2.525800558e-01;9.685714750e+04;7.754295303e+01
2021-03-20T11:18:00;1.427671337e+01;1.719522667e+01;1.889328384e+01;1.923289108e+01;9.430648041e+01;1.114061203e+02;1.138040619e+02;1.142529678e+02;1.143392715e+02;6.913791299e-01;-4.951594787e-01;9.686571016e+04;8.086216308e+01
2021-03-20T11:23:00;1.479879856e+01;1.734156609e+01;1.871125412e+01;1.898517609e+01;9.875980377e+01;1.159762344e+02;1.179970779e+02;1.183700180e+02;1.184460831e+02;6.736103892e-01;-6.612873031e-01;9.686213070e+04;8.357557812e+01
2021-03-20T11:28:00;1.282042694e+01;1.390343380e+01;1.418369961e+01;1.423975658e+01;8.788893127e+01;1.016234894e+02;1.022953796e+02;1.024040222e+02;1.024387894e+02;5.658462048e-01;-8.116085309e-01;9.686609852e+04;8.591921327e+01
2021-03-20T11:33:00;1.537356758e+01;1.787551308e+01;1.918543816e+01;1.944742203e+01;1.028861542e+02;1.206241455e+02;1.225890121e+02;1.229497070e+02;1.230248413e+02;6.597671509e-01;-9.641875504e-01;9.686717168e+04;8.633555654e+01
2021-03-20T11:38:00;1.627860069e+01;1.795608330e+01;1.855663681e+01;1.867675972e+01;1.109664612e+02;1.287244415e+02;1.298688354e+02;1.300646820e+02;1.301172333e+02;6.245042086e-01;-1.033541566e+00;9.685909653e+04;8.701141133e+01
2021-03-20T11:43:00;1.432837677e+01;1.530188751e+01;1.542340565e+01;1.544770527e+01;9.871973419e+01;1.138200989e+02;1.143428268e+02;1.144188690e+02;1.144511566e+02;5.834816694e-01;-1.010638618e+00;9.685920226e+04;8.671941543e+01
2021-03-20T11:48:00;1.302649784e+01;1.508517933e+01;1.614551353e+01;1.635756493e+01;8.730624390e+01;1.022715912e+02;1.038774338e+02;1.041713181e+02;1.042332840e+02;6.920664907e-01;-9.506393179e-01;9.686325300e+04;8.625368972e+01
2021-03-20T11:53:00;1.434576225e+01;1.757349777e+01;1.951860046e+01;1.990763092e+01;9.414807892e+01;1.116414795e+02;1.143353119e+02;1.148429108e+02;1.149378281e+02;7.045701146e-01;-9.335427360e-01;9.687057758e+04;8.584406382e+01
2021-03-20T11:58:00;1.253452301e+01;1.332176971e+01;1.337597275e+01;1.338681412e+01;8.649449921e+01;9.963650513e+01;1.000317535e+02;1.000859604e+02;1.001124039e+02;5.505415201e-01;-9.109623399e-01;9.687809813e+04;8.581325630e+01
2021-03-20T12:03:00;1.369603062e+01;1.556204128e+01;1.643528366e+01;1.660993767e+01;9.241511536e+01;1.078350449e+02;1.092358704e+02;1.094877090e+02;1.095445557e+02;6.086628437e-01;-1.151604560e+00;9.688641340e+04;8.503506530e+01
2021-03-20T12:08:00;1.271716595e+01;1.596408558e+01;1.800046730e+01;1.840773773e+01;8.265701294e+01;9.857090759e+01;1.013303986e+02;1.018542175e+02;1.019490891e+02;7.658212781e-01;-1.495470228e+00;9.688986456e+04;8.527967972e+01
2021-03-20T12:13:00;1.494762421e+01;1.680583954e+01;1.761456108e+01;1.777632332e+01;1.012316666e+02;1.178727722e+02;1.192298355e+02;1.194705353e+02;1.195276260e+02;6.160036325e-01;-1.513857005e+00;9.689125735e+04;8.697171730e+01
2021-03-20T12:18:00;1.571529007e+01;1.735823059e+01;1.795704651e+01;1.807679749e+01;1.070775757e+02;1.242458496e+02;1.253732910e+02;1.255668488e+02;1.256182404e+02;6.036599874e-01;-1.535469527e+00;9.689085434e+04;8.735784352e+01
2021-03-20T12:23:00;1.206361008e+01;1.322115421e+01;1.359694481e+01;1.367209625e+01;8.241233063e+01;9.548205566e+01;9.624768066e+01;9.637641907e+01;9.641297913e+01;6.227638721e-01;-1.521598804e+00;9.689558643e+04;8.679309944e+01
2021-03-20T12:28:00;1.235661697e+01;1.395024014e+01;1.466533566e+01;1.480834770e+01;8.356450653e+01;9.738167572e+01;9.855890656e+01;9.876889801e+01;9.881769562e+01;5.928103924e-01;-1.527727729e+00;9.689510730e+04;8.648139707e+01
2021-03-20T12:33:00;1.351281834e+01;1.793965721e+01;2.089396095e+01;2.148483658e+01;8.579455566e+01;1.037336273e+02;1.076067581e+02;1.083503952e+02;1.084783478e+02;7.978346348e-01;-1.682241001e+00;9.688895887e+04;8.565274885e+01
2021-03-20T12:38:00;1.448706722e+01;1.625431061e+01;1.701084900e+01;1.716214752e+01;9.818276215e+01;1.142756042e+02;1.155583725e+02;1.157852020e+02;1.158395996e+02;6.356643438e-01;-1.772561791e+00;9.688678598e+04;8.679700642e+01
2021-03-20T12:43:00;1.538774872e+01;1.667259026e+01;1.699680710e+01;1.706165123e+01;1.055201950e+02;1.219892960e+02;1.227812500e+02;1.229087524e+02;1.229500732e+02;5.958086252e-01;-1.662886534e+00;9.688044366e+04;8.691534792e+01
2021-03-20T12:48:00;1.532675552e+01;1.799421883e+01;1.944027138e+01;1.972947693e+01;1.022123566e+02;1.200788193e+02;1.222044907e+02;1.225972443e+02;1.226769638e+02;6.680133343e-01;-1.586113777e+00;9.688127930e+04;8.687439138e+01
2021-03-20T12:53:00;1.507239151e+01;1.621969986e+01;1.644728088e+01;1.649280357e+01;1.035892258e+02;1.196035995e+02;1.202721939e+02;1.203757935e+02;1.204131699e+02;5.517060757e-01;-1.559340069e+00;9.687882892e+04;8.693860828e+01
2021-03-20T12:58:00;1.656108665e+01;1.801573563e+01;1.842283058e+01;1.850424385e+01;1.134166946e+02;1.312173004e+02;1.321388397e+02;1.322898407e+02;1.323363037e+02;5.632101297e-01;-1.612887477e+00;9.687943883e+04;8.714883804e+01
2021-03-20T13:03:00;1.317986012e+01;1.482297230e+01;1.553982925e+01;1.568321133e+01;8.924989319e+01;1.039278717e+02;1.051289368e+02;1.053420563e+02;1.053925323e+02;5.815500021e-01;-1.657080194e+00;9.688308566e+04;8.634973433e+01
2021-03-20T13:08:00;1.403083420e+01;1.634006119e+01;1.755644989e+01;1.779972267e+01;9.384631348e+01;1.100622559e+02;1.118803711e+02;1.122145004e+02;1.122837830e+02;6.400989890e-01;-1.749013879e+00;9.687685490e+04;8.513983437e+01
2021-03-20T13:12:59;1.345096970e+01;1.555105686e+01;1.662515259e+01;1.683996582e+01;9.020461273e+01;1.056305313e+02;1.072639618e+02;1.075625153e+02;1.076257782e+02;6.808683872e-01;-1.850947261e+00;9.687743791e+04;8.617183365e+01
2021-03-20T13:17:59;1.448086834e+01;1.589627552e+01;1.636833191e+01;1.646274567e+01;9.887181091e+01;1.145877151e+02;1.155317230e+02;1.156912231e+02;1.157358322e+02;5.728367567e-01;-1.938042150e+00;9.687527844e+04;8.581769674e+01
2021-03-20T13:22:59;1.627175713e+01;1.824606705e+01;1.908716583e+01;1.925538254e+01;1.103002701e+02;1.283643799e+02;1.297949219e+02;1.300476532e+02;1.301084442e+02;6.425200701e-01;-1.902881631e+00;9.687082346e+04;8.629344639e+01
2021-03-20T13:27:59;1.392936707e+01;1.537133121e+01;1.589054394e+01;1.599437332e+01;9.493875122e+01;1.101409378e+02;1.111264954e+02;1.112953339e+02;1.113404846e+02;6.164084673e-01;-1.984170150e+00;9.687419394e+04;8.541840426e+01
2021-03-20T13:32:59;1.583648968e+01;1.718128967e+01;1.753317070e+01;1.760353851e+01;1.085505753e+02;1.255236588e+02;1.263603668e+02;1.264958954e+02;1.265390472e+02;6.350132823e-01;-2.001266535e+00;9.687259163e+04;8.632084483e+01
2021-03-20T13:37:59;1.696957588e+01;1.878171921e+01;1.945914650e+01;1.959461784e+01;1.155444870e+02;1.341231384e+02;1.353772430e+02;1.355935364e+02;1.356500854e+02;6.401664615e-01;-1.940300164e+00;9.687141436e+04;8.637231808e+01
2021-03-20T13:42:59;1.508169079e+01;1.631620789e+01;1.661392403e+01;1.667347908e+01;1.034730301e+02;1.195884476e+02;1.203407898e+02;1.204610138e+02;1.205008163e+02;5.620244741e-01;-1.945461340e+00;9.687029493e+04;8.588343378e+01
2021-03-20T13:47:59;1.892043114e+01;2.067012215e+01;2.120626450e+01;2.131350136e+01;1.293915405e+02;1.498206177e+02;1.509580536e+02;1.511473694e+02;1.512028809e+02;5.846970081e-01;-1.799335436e+00;9.686731102e+04;8.664957618e+01
2021-03-20T13:52:59;1.559411907e+01;1.677860451e+01;1.701200294e+01;1.705869484e+01;1.071802216e+02;1.237462540e+02;1.244355469e+02;1.245422516e+02;1.245808487e+02;5.719318390e-01;-1.520631079e+00;9.686316069e+04;8.455448455e+01
2021-03-20T13:57:59;1.857954216e+01;2.228813553e+01;2.442551422e+01;2.485297585e+01;1.229157181e+02;1.450746307e+02;1.481090240e+02;1.486760864e+02;1.487859344e+02;6.695810556e-01;-9.796712422e-01;9.685948839e+04;8.460935210e+01
2021-03-20T14:02:59;1.469148159e+01;1.577674675e+01;1.597182178e+01;1.601084518e+01;1.010401306e+02;1.166149597e+02;1.172348251e+02;1.173294754e+02;1.173649979e+02;5.527018309e-01;-8.380598802e-01;9.685589364e+04;8.090502414e+01
