Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xe0da3bb4
SPS30 serial number: 98F9290B17B584E9
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-19T10:28:16;4.729943752e+00;5.001737595e+00;5.001734257e+00;5.001734257e+00;3.260942459e+01;3.760781860e+01;3.774895096e+01;3.776469040e+01;3.777222061e+01;5.022786856e-01;4.444267551e+00;9.627595654e+04;3.815656646e+01
2021-03-19T10:33:16;5.152333736e+00;6.434646606e+00;7.232834339e+00;7.392475128e+00;3.343260956e+01;3.991765594e+01;4.105596542e+01;4.127099991e+01;4.130738831e+01;6.536161304e-01;4.429656244e+00;9.627762867e+04;3.727082356e+01
2021-03-19T10:38:16;6.135643959e+00;7.440266132e+00;8.210781097e+00;8.364878654e+00;4.028422165e+01;4.777232361e+01;4.890582657e+01;4.911727524e+01;4.915424728e+01;7.108439207e-01;3.878239976e+00;9.627632560e+04;4.271870278e+01
2021-03-19T10:43:16;5.863915443e+00;6.355123997e+00;6.479957104e+00;6.504923820e+00;4.010060501e+01;4.646003723e+01;4.678899002e+01;4.683945847e+01;4.685319901e+01;5.484099388e-01;3.674000834e+00;9.627519899e+04;4.822011455e+01
2021-03-19T10:48:16;4.876999378e+00;5.157243252e+00;5.157239914e+00;5.157239914e+00;3.362326431e+01;3.877706146e+01;3.892258072e+01;3.893880844e+01;3.894657135e+01;4.870069027e-01;3.735304291e+00;9.627122267e+04;4.907460233e+01
2021-03-19T10:53:16;5.228592396e+00;5.917933464e+00;6.232672215e+00;6.295623302e+00;3.522355652e+01;4.115910721e+01;4.170335007e+01;4.179877853e+01;4.181821823e+01;5.814677477e-01;3.935096679e+00;9.627049745e+04;5.172969155e+01
2021-03-19T10:58:16;4.434818745e+00;5.188933849e+00;5.593008518e+00;5.673826694e+00;2.951728439e+01;3.473044205e+01;3.536119843e+01;3.547613525e+01;3.549746323e+01;5.350583792e-01;3.971942384e+00;9.627336578e+04;5.219699425e+01
2021-03-19T11:03:16;4.679310799e+00;4.948194981e+00;4.948192120e+00;4.948192120e+00;3.226034927e+01;3.720523834e+01;3.734486008e+01;3.736043167e+01;3.736787796e+01;5.001951456e-01;4.172370577e+00;9.627335993e+04;5.012155524e+01
2021-03-19T11:08:16;4.874594212e+00;5.154700279e+00;5.154696941e+00;5.154696941e+00;3.360668182e+01;3.875793839e+01;3.890338516e+01;3.891960907e+01;3.892736816e+01;4.741239548e-01;3.958919331e+00;9.627190931e+04;4.702021453e+01
2021-03-19T11:13:16;5.449016571e+00;5.762130260e+00;5.762126446e+00;5.762126446e+00;3.756689453e+01;4.332517624e+01;4.348776245e+01;4.350589371e+01;4.351456833e+01;4.756575823e-01;4.333412259e+00;9.626784661e+04;4.783691041e+01
2021-03-19T11:18:16;4.721760750e+00;5.143496513e+00;5.265222073e+00;5.289565086e+00;3.223443985e+01;3.738283920e+01;3.767388153e+01;3.771977615e+01;3.773158646e+01;6.159836054e-01;4.965511625e+00;9.626507375e+04;4.395247530e+01
2021-03-19T11:23:16;5.000039577e+00;5.560747147e+00;5.782008648e+00;5.826259613e+00;3.389248276e+01;3.946467972e+01;3.988679886e+01;3.995829391e+01;3.997406387e+01;5.585049391e-01;5.454041758e+00;9.626669558e+04;4.220872708e+01
2021-03-19T11:28:16;4.246984005e+00;4.491025448e+00;4.491022587e+00;4.491022587e+00;2.927977753e+01;3.376780319e+01;3.389452362e+01;3.390865707e+01;3.391541672e+01;4.495971203e-01;5.775812423e+00;9.625556919e+04;3.992076276e+01
2021-03-19T11:33:16;4.019232273e+00;4.719206810e+00;5.098792076e+00;5.174710274e+00;2.671620941e+01;3.145827866e+01;3.204642487e+01;3.215391159e+01;3.217370987e+01;5.680805445e-01;6.094407825e+00;9.625063375e+04;3.672121799e+01
2021-03-19T11:38:16;4.149206638e+00;4.681076527e+00;4.918570995e+00;4.966067791e+00;2.798415375e+01;3.267837524e+01;3.309512711e+01;3.316781616e+01;3.318280792e+01;5.422370434e-01;6.534026887e+00;9.624922213e+04;3.500127836e+01
2021-03-19T11:43:16;3.889545441e+00;4.113048077e+00;4.113045216e+00;4.113045216e+00;2.681550598e+01;3.092580605e+01;3.104186249e+01;3.105480576e+01;3.106099701e+01;4.845547676e-01;6.846272095e+00;9.625219576e+04;3.537817350e+01
2021-03-19T11:48:16;3.451715708e+00;3.650059700e+00;3.650057316e+00;3.650057316e+00;2.379699898e+01;2.744462013e+01;2.754761314e+01;2.755909729e+01;2.756459236e+01;4.830470085e-01;7.042895023e+00;9.624668227e+04;3.388041412e+01
2021-03-19T11:53:16;4.732974529e+00;5.004942894e+00;5.004939556e+00;5.004939556e+00;3.263032150e+01;3.763191986e+01;3.777314377e+01;3.778889084e+01;3.779642487e+01;4.824361801e-01;6.877083737e+00;9.625325856e+04;3.342771322e+01
2021-03-19T11:58:16;3.480962992e+00;3.680987358e+00;3.680984974e+00;3.680984974e+00;2.399863625e+01;2.767716408e+01;2.778103065e+01;2.779261208e+01;2.779815292e+01;5.245383978e-01;7.064812630e+00;9.625018226e+04;3.198583354e+01
2021-03-19T12:03:16;4.766705036e+00;5.040611267e+00;5.040607929e+00;5.040607929e+00;3.286286926e+01;3.790011215e+01;3.804233932e+01;3.805820084e+01;3.806578827e+01;4.273414612e-01;7.140412533e+00;9.624014294e+04;3.097641227e+01
2021-03-19T12:08:15;3.856474638e+00;4.078076839e+00;4.078073978e+00;4.078073978e+00;2.658750916e+01;3.066286087e+01;3.077792931e+01;3.079076195e+01;3.079690170e+01;4.563091993e-01;7.195047797e+00;9.623774325e+04;3.241583757e+01
2021-03-19T12:13:15;4.750494957e+00;5.023469925e+00;5.023466587e+00;5.023466587e+00;3.275111008e+01;3.777122498e+01;3.791297150e+01;3.792877579e+01;3.793634033e+01;4.358489513e-01;7.415812725e+00;9.623749235e+04;3.253358711e+01
2021-03-19T12:18:15;4.881525040e+00;5.894561768e+00;6.487415314e+00;6.605982780e+00;3.210295868e+01;3.803421021e+01;3.891114807e+01;3.907437897e+01;3.910308075e+01;6.207591295e-01;7.536836610e+00;9.623487448e+04;3.144784779e+01
2021-03-19T12:23:15;3.197159767e+00;3.380876303e+00;3.380873919e+00;3.380873919e+00;2.204202652e+01;2.542064285e+01;2.551604080e+01;2.552667809e+01;2.553176880e+01;4.773111343e-01;7.472671695e+00;9.622947953e+04;3.223877567e+01
2021-03-19T12:28:15;3.976267815e+00;4.715827465e+00;5.129446507e+00;5.212171078e+00;2.633093262e+01;3.107195663e+01;3.170080185e+01;3.181658173e+01;3.183751678e+01;6.093792915e-01;7.306224311e+00;9.623322030e+04;3.312859709e+01
2021-03-19T12:33:15;4.045441151e+00;4.277901649e+00;4.277898788e+00;4.277898788e+00;2.789029121e+01;3.216533279e+01;3.228604126e+01;3.229950333e+01;3.230594254e+01;4.382530451e-01;7.008589214e+00;9.623326774e+04;3.305766787e+01
2021-03-19T12:38:15;4.806849003e+00;5.083061695e+00;5.083058834e+00;5.083058834e+00;3.313962936e+01;3.821929550e+01;3.836272049e+01;3.837871552e+01;3.838636780e+01;4.656225443e-01;7.033047984e+00;9.623510490e+04;3.175596406e+01
2021-03-19T12:43:15;4.505424500e+00;5.488468647e+00;6.074536324e+00;6.191750050e+00;2.952777672e+01;3.505273819e+01;3.591008759e+01;3.607038116e+01;3.609825134e+01;6.641457677e-01;7.052742063e+00;9.623276859e+04;3.236611280e+01
2021-03-19T12:48:15;5.110003948e+00;5.403636932e+00;5.403633118e+00;5.403633118e+00;3.522965622e+01;4.062968063e+01;4.078215408e+01;4.079915619e+01;4.080729294e+01;4.765313864e-01;6.893918968e+00;9.622348626e+04;3.452072957e+01
2021-03-19T12:53:15;4.961036205e+00;5.246109486e+00;5.246106148e+00;5.246106148e+00;3.420263672e+01;3.944524002e+01;3.959326553e+01;3.960977554e+01;3.961767197e+01;4.044692516e-01;6.733507931e+00;9.622641199e+04;3.309006062e+01
2021-03-19T12:58:15;4.419933319e+00;5.243086815e+00;5.703726768e+00;5.795855999e+00;2.926661873e+01;3.453777313e+01;3.523785400e+01;3.536677170e+01;3.539007187e+01;6.263481379e-01;6.930130609e+00;9.623026711e+04;3.417515372e+01
2021-03-19T13:03:15;5.119267464e+00;5.739523888e+00;6.003432751e+00;6.056218624e+00;3.460285950e+01;4.035663605e+01;4.083491516e+01;4.091738510e+01;4.093485260e+01;5.710411072e-01;7.146447822e+00;9.622737897e+04;3.585344240e+01
2021-03-19T13:08:15;4.238249779e+00;4.481790066e+00;4.481787205e+00;4.481787205e+00;2.921956444e+01;3.369836044e+01;3.382482147e+01;3.383892441e+01;3.384566879e+01;4.876152277e-01;7.046389134e+00;9.622511464e+04;3.656162647e+01
2021-03-19T13:13:15;5.014778614e+00;5.913036823e+00;6.406801701e+00;6.505551338e+00;3.328095627e+01;3.922387695e+01;3.998257065e+01;4.012167358e+01;4.014709091e+01;5.351034403e-01;6.994930423e+00;9.622481248e+04;3.843039270e+01
2021-03-19T13:18:15;4.899219036e+00;5.180739403e+00;5.180736065e+00;5.180736065e+00;3.377645111e+01;3.895372772e+01;3.909991074e+01;3.911621475e+01;3.912401199e+01;4.903490543e-01;7.101024340e+00;9.621237698e+04;4.308391416e+01
2021-03-19T13:23:15;4.869278431e+00;5.149078846e+00;5.149075508e+00;5.149075508e+00;3.357003403e+01;3.871567154e+01;3.886096191e+01;3.887716675e+01;3.888491440e+01;4.490932226e-01;7.416130373e+00;9.620506736e+04;4.124802431e+01
2021-03-19T13:28:15;4.862549305e+00;5.141962528e+00;5.141959667e+00;5.141959667e+00;3.352363968e+01;3.866216660e+01;3.880725479e+01;3.882343674e+01;3.883117676e+01;4.877400398e-01;7.520318905e+00;9.620816412e+04;3.915498293e+01
2021-03-19T13:33:15;3.699356794e+00;4.535804272e+00;5.040717125e+00;5.141698837e+00;2.418292999e+01;2.875030518e+01;2.948349571e+01;2.962098885e+01;2.964470482e+01;5.760594606e-01;7.535883665e+00;9.620464952e+04;3.681819183e+01
2021-03-19T13:38:15;4.613846779e+00;4.878969669e+00;4.878966331e+00;4.878966331e+00;3.180902481e+01;3.668473434e+01;3.682240295e+01;3.683775330e+01;3.684510040e+01;4.896358252e-01;7.899591603e+00;9.620052110e+04;3.700085605e+01
2021-03-19T13:43:15;4.535905361e+00;5.395772457e+00;5.880736351e+00;5.977728844e+00;3.000251579e+01;3.542791748e+01;3.616146469e+01;3.629679489e+01;3.632114029e+01;5.328887701e-01;7.966298024e+00;9.619679863e+04;3.534615031e+01
2021-03-19T13:48:15;3.619150877e+00;3.827115774e+00;3.827113390e+00;3.827113390e+00;2.495133972e+01;2.877589798e+01;2.888388634e+01;2.889592934e+01;2.890168953e+01;4.857708216e-01;8.282360082e+00;9.620327905e+04;3.421814978e+01
2021-03-19T13:53:15;4.001239300e+00;4.231160164e+00;4.231157303e+00;4.231157303e+00;2.758555222e+01;3.181388474e+01;3.193327332e+01;3.194658852e+01;3.195295715e+01;5.057208538e-01;8.292207260e+00;9.620762204e+04;3.215675837e+01
2021-03-19T13:58:15;3.712039948e+00;3.925342560e+00;3.925339937e+00;3.925339937e+00;2.559173965e+01;2.951445961e+01;2.962521935e+01;2.963757133e+01;2.964347839e+01;4.928429127e-01;8.289983703e+00;9.620902799e+04;3.275740548e+01
2021-03-19T14:03:15;4.133176327e+00;4.370678425e+00;4.370675564e+00;4.370675564e+00;2.849515915e+01;3.286291504e+01;3.298624420e+01;3.299999619e+01;3.300657654e+01;5.138088465e-01;7.986945260e+00;9.620949001e+04;3.514415685e+01
2021-03-19T14:08:15;5.890284538e+00;7.044433117e+00;7.704578400e+00;7.836608410e+00;3.888149261e+01;4.596645737e+01;4.695650101e+01;4.713977432e+01;4.717245865e+01;6.249819994e-01;7.595283899e+00;9.621543515e+04;3.842413922e+01
2021-03-19T14:13:15;5.438137531e+00;5.750625610e+00;5.750622272e+00;5.750622272e+00;3.749188995e+01;4.323867416e+01;4.340093613e+01;4.341903305e+01;4.342768860e+01;4.834581614e-01;7.336400818e+00;9.622836582e+04;4.119584223e+01
2021-03-19T14:18:15;8.972386360e+00;1.051017666e+01;1.133746719e+01;1.150292969e+01;5.969283295e+01;7.025268555e+01;7.154087067e+01;7.177584076e+01;7.181933594e+01;6.888711452e-01;6.759554852e+00;9.622863090e+04;4.287965154e+01
2021-03-19T14:23:15;6.610833168e+00;7.899449825e+00;8.634905815e+00;8.782001495e+00;4.365202332e+01;5.159659958e+01;5.270104980e+01;5.290538788e+01;5.294187927e+01;6.002020836e-01;6.004514889e+00;9.623253888e+04;4.442380868e+01
2021-03-19T14:28:15;1.360438824e+01;1.567511463e+01;1.671830750e+01;1.692693710e+01;9.106201172e+01;1.067981415e+02;1.084908524e+02;1.087947617e+02;1.088532486e+02;6.579983234e-01;6.005785460e+00;9.623837073e+04;4.674712122e+01
2021-03-19T14:33:15;6.605413437e+00;7.926152706e+00;8.687865257e+00;8.840207100e+00;4.354596710e+01;5.151902008e+01;5.265568924e+01;5.286651611e+01;5.290393066e+01;5.812308788e-01;5.508040702e+00;9.623218056e+04;4.931350806e+01
2021-03-19T14:38:15;5.601381302e+00;5.923249722e+00;5.923245907e+00;5.923245907e+00;3.861733627e+01;4.453662491e+01;4.470376205e+01;4.472240067e+01;4.473131561e+01;4.308493137e-01;5.735154269e+00;9.622743100e+04;4.952489239e+01
2021-03-19T14:43:15;6.638997555e+00;7.020490170e+00;7.020485401e+00;7.020485401e+00;4.577092361e+01;5.278672409e+01;5.298481750e+01;5.300690842e+01;5.301747513e+01;4.763504267e-01;5.822505795e+00;9.622516047e+04;5.193731045e+01
2021-03-19T14:48:15;5.302936077e+00;5.607655525e+00;5.607652187e+00;5.607652187e+00;3.655978012e+01;4.216368866e+01;4.232191849e+01;4.233956528e+01;4.234800339e+01;4.856142998e-01;5.777718275e+00;9.622377108e+04;4.991443075e+01
2021-03-19T14:53:15;5.713119030e+00;6.041408539e+00;6.041404724e+00;6.041404724e+00;3.938768387e+01;4.542505646e+01;4.559552383e+01;4.561453629e+01;4.562363052e+01;4.464942217e-01;5.913351474e+00;9.621583973e+04;5.208862086e+01
2021-03-19T14:58:15;5.091897011e+00;5.784567356e+00;6.108355045e+00;6.173109531e+00;3.425745773e+01;4.006034851e+01;4.061167526e+01;4.070889282e+01;4.072843170e+01;6.153508425e-01;6.120772201e+00;9.622179074e+04;5.122668327e+01
2021-03-19T15:03:15;5.848046303e+00;6.184089184e+00;6.184084892e+00;6.184084892e+00;4.031790543e+01;4.649786377e+01;4.667235565e+01;4.669181824e+01;4.670112610e+01;5.195590258e-01;6.467639186e+00;9.621761312e+04;5.300362240e+01
