Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x9744e944
SPS30 serial number: DE685F7756526A66
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-17T10:28:27;3.244235992e+00;3.927639008e+00;4.329856396e+00;4.410298347e+00;2.132974625e+01;2.523868752e+01;2.585948372e+01;2.598438072e+01;2.600805664e+01;7.639363408e-01;5.152995111e+00;9.629263314e+04;4.235958364e+01
2021-03-17T10:33:27;3.826109171e+00;4.451745033e+00;4.780151367e+00;4.845830917e+00;2.557724953e+01;2.997541428e+01;3.050924110e+01;3.061505508e+01;3.063661194e+01;7.254819870e-01;5.283696654e+00;9.629590561e+04;4.210693003e+01
2021-03-17T10:38:27;3.035614729e+00;3.602987051e+00;3.921004057e+00;3.984603643e+00;2.012676620e+01;2.369965172e+01;2.420126343e+01;2.430154800e+01;2.432115555e+01;7.101638913e-01;5.514496918e+00;9.629919014e+04;4.358296656e+01
2021-03-17T10:43:27;3.329746962e+00;3.926296234e+00;4.254246235e+00;4.319833755e+00;2.213727760e+01;2.602604675e+01;2.654789162e+01;2.665195465e+01;2.667255402e+01;7.044948936e-01;5.640735989e+00;9.628526331e+04;4.338696136e+01
2021-03-17T10:48:27;2.648822546e+00;3.799719095e+00;4.607979774e+00;4.769628525e+00;1.602802086e+01;1.991614532e+01;2.107501030e+01;2.131339073e+01;2.135363960e+01;7.638947368e-01;5.764106162e+00;9.628271022e+04;4.456897420e+01
2021-03-17T10:53:27;3.494200468e+00;5.495207310e+00;6.952165604e+00;7.243556023e+00;2.001393127e+01;2.571017838e+01;2.776980782e+01;2.819533920e+01;2.826546860e+01;1.003724337e+00;5.862611151e+00;9.628587348e+04;4.357055506e+01
2021-03-17T10:58:27;2.796147108e+00;2.956819534e+00;2.956819534e+00;2.956817627e+00;1.938578033e+01;2.225159073e+01;2.231561661e+01;2.232472420e+01;2.233001518e+01;4.771177769e-01;5.845077892e+00;9.629085306e+04;4.318046350e+01
2021-03-17T11:03:27;2.695794821e+00;3.101327658e+00;3.304163694e+00;3.344731092e+00;1.810371590e+01;2.116111755e+01;2.149845123e+01;2.156488800e+01;2.157883072e+01;5.902481079e-01;5.633085131e+00;9.630241237e+04;4.257919325e+01
2021-03-17T11:08:27;2.540659428e+00;2.686650991e+00;2.686650991e+00;2.686649084e+00;1.761447525e+01;2.021843338e+01;2.027660942e+01;2.028488350e+01;2.028969193e+01;5.651738644e-01;5.591961781e+00;9.630182517e+04;4.075390045e+01
2021-03-17T11:13:27;3.052913666e+00;3.228340387e+00;3.228340387e+00;3.228338242e+00;2.116595078e+01;2.429492378e+01;2.436483002e+01;2.437477303e+01;2.438055038e+01;4.549536705e-01;5.385707747e+00;9.630772187e+04;4.141336564e+01
2021-03-17T11:18:27;2.257704258e+00;2.708647251e+00;2.968609333e+00;3.020598888e+00;1.490129185e+01;1.759261894e+01;1.799753761e+01;1.807878494e+01;1.809438896e+01;6.905651093e-01;5.422686797e+00;9.630253778e+04;4.513358646e+01
2021-03-17T11:23:27;2.772925138e+00;3.904407740e+00;4.691184044e+00;4.848537922e+00;1.695052910e+01;2.093466187e+01;2.206717873e+01;2.229985619e+01;2.233940315e+01;8.956443071e-01;5.291028697e+00;9.631093804e+04;4.680039990e+01
2021-03-17T11:28:27;2.327707529e+00;2.461462259e+00;2.461462259e+00;2.461460590e+00;1.613807297e+01;1.852377319e+01;1.857707214e+01;1.858465385e+01;1.858905792e+01;5.353822708e-01;5.526929546e+00;9.630961331e+04;5.028357143e+01
2021-03-17T11:33:27;2.147819519e+00;2.271237612e+00;2.271237612e+00;2.271236181e+00;1.489090443e+01;1.709223366e+01;1.714141464e+01;1.714841080e+01;1.715247536e+01;4.851495028e-01;5.695248370e+00;9.630416270e+04;4.263070353e+01
2021-03-17T11:38:27;2.306166649e+00;3.470417738e+00;4.305421829e+00;4.472420692e+00;1.357507133e+01;1.715082550e+01;1.833818245e+01;1.858304787e+01;1.862381554e+01;9.508124590e-01;5.973548939e+00;9.630426463e+04;4.330070035e+01
