Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xee103ef
SPS30 serial number: 3D0EBA6AC17D82AF
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-19T10:28:07;5.745372772e+00;6.804554462e+00;7.394590378e+00;7.512589455e+00;3.819433212e+01;4.495202637e+01;4.580560303e+01;4.596383286e+01;4.599526596e+01;6.354725361e-01;3.900684084e+00;9.627073118e+04;4.474214775e+01
2021-03-19T10:33:07;5.026614666e+00;5.972322464e+00;6.503946781e+00;6.610264778e+00;3.337651825e+01;3.930886841e+01;4.007398987e+01;4.021606064e+01;4.024408722e+01;6.462768912e-01;3.755298037e+00;9.627642573e+04;4.388533819e+01
2021-03-19T10:38:07;6.048839569e+00;6.515375137e+00;6.611661434e+00;6.630904675e+00;4.156199265e+01;4.799296570e+01;4.826712799e+01;4.830972672e+01;4.832481766e+01;5.433040857e-01;3.243886866e+00;9.628000046e+04;4.856312950e+01
2021-03-19T10:43:07;6.146169186e+00;6.499339581e+00;6.499347210e+00;6.499339581e+00;4.248239517e+01;4.888943481e+01;4.905162430e+01;4.907180023e+01;4.908377838e+01;5.238225460e-01;2.995707787e+00;9.628232794e+04;5.322726420e+01
2021-03-19T10:48:07;5.709624290e+00;6.179016113e+00;6.293383121e+00;6.316247940e+00;3.917081833e+01;4.527172852e+01;4.555845642e+01;4.560420990e+01;4.561925888e+01;5.552405119e-01;2.972971415e+00;9.628409024e+04;5.450207531e+01
2021-03-19T10:53:07;4.801218510e+00;5.806605339e+00;6.397013187e+00;6.515089512e+00;3.166736794e+01;3.744131851e+01;3.827042770e+01;3.842564392e+01;3.845524979e+01;5.714665651e-01;2.980336718e+00;9.627820655e+04;5.709140964e+01
2021-03-19T10:58:07;5.445541382e+00;6.358206749e+00;6.843606472e+00;6.940678596e+00;3.639105225e+01;4.269990921e+01;4.342108917e+01;4.355361938e+01;4.358087921e+01;5.750000477e-01;2.919492930e+00;9.627846333e+04;5.817269145e+01
2021-03-19T11:03:07;4.903948307e+00;5.185738564e+00;5.185744762e+00;5.185738564e+00;3.389615250e+01;3.900824356e+01;3.913765335e+01;3.915375137e+01;3.916330719e+01;4.886077642e-01;3.064557399e+00;9.627805774e+04;5.720149738e+01
2021-03-19T11:08:07;4.980176926e+00;5.266346931e+00;5.266353130e+00;5.266346931e+00;3.442304230e+01;3.961459732e+01;3.974601746e+01;3.976236725e+01;3.977207184e+01;4.348641634e-01;3.012680012e+00;9.627630296e+04;5.415118730e+01
2021-03-19T11:13:07;6.062685966e+00;6.411058903e+00;6.411066532e+00;6.411058903e+00;4.190535736e+01;4.822536850e+01;4.838535690e+01;4.840525818e+01;4.841707230e+01;4.608147144e-01;3.205138862e+00;9.627379597e+04;5.566969228e+01
2021-03-19T11:18:06;5.842553616e+00;6.178277493e+00;6.178284645e+00;6.178277493e+00;4.038380051e+01;4.647433472e+01;4.662851334e+01;4.664769363e+01;4.665908051e+01;5.170387030e-01;3.705661886e+00;9.626745035e+04;5.381944240e+01
2021-03-19T11:23:06;4.870350838e+00;5.688153744e+00;6.123523712e+00;6.210593224e+00;3.254401016e+01;3.818811035e+01;3.883459473e+01;3.895341873e+01;3.897784424e+01;5.637170076e-01;4.226362489e+00;9.625996800e+04;5.155445837e+01
2021-03-19T11:28:06;3.609101057e+00;4.669961452e+00;5.360700130e+00;5.498842716e+00;2.316934967e+01;2.783126068e+01;2.874827576e+01;2.892327690e+01;2.895400238e+01;6.469629407e-01;4.600077506e+00;9.625589292e+04;4.743315105e+01
2021-03-19T11:33:06;4.179055214e+00;4.685276508e+00;4.900627613e+00;4.943691730e+00;2.833173370e+01;3.296863937e+01;3.333512115e+01;3.339970398e+01;3.341523743e+01;5.701552629e-01;4.812394439e+00;9.624519522e+04;4.391745100e+01
2021-03-19T11:38:06;3.885262966e+00;4.108517170e+00;4.108521938e+00;4.108517170e+00;2.685498238e+01;3.090515327e+01;3.100768089e+01;3.102043533e+01;3.102800751e+01;4.480705261e-01;5.172021395e+00;9.624798607e+04;4.552967031e+01
2021-03-19T11:43:06;3.789222956e+00;4.006958961e+00;4.006963730e+00;4.006958961e+00;2.619115448e+01;3.014120865e+01;3.024120140e+01;3.025364113e+01;3.026102638e+01;4.775344133e-01;5.521402117e+00;9.624580039e+04;4.483050257e+01
2021-03-19T11:48:06;3.736379862e+00;4.198031425e+00;4.397899628e+00;4.437870502e+00;2.531177902e+01;2.946705627e+01;2.980343628e+01;2.986291122e+01;2.987704849e+01;5.418640375e-01;5.749412997e+00;9.624428462e+04;4.240527321e+01
2021-03-19T11:53:06;4.055188179e+00;4.288206577e+00;4.288211823e+00;4.288206577e+00;2.802950859e+01;3.225681686e+01;3.236382675e+01;3.237714005e+01;3.238504410e+01;5.221098661e-01;5.674156534e+00;9.625108618e+04;4.165867756e+01
