Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x7c759c9e
SPS30 serial number: E7D536CB98CF8EA6
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-19T10:28:04;4.640140057e+00;4.906772137e+00;4.906774998e+00;4.906774998e+00;3.203115463e+01;3.690333176e+01;3.703224564e+01;3.704774094e+01;3.705530548e+01;4.595228434e-01;3.969200458e+00;9.626161556e+04;4.175240228e+01
2021-03-19T10:33:04;5.255391121e+00;5.557376385e+00;5.557380199e+00;5.557380199e+00;3.627827072e+01;4.179646301e+01;4.194246674e+01;4.196002197e+01;4.196858978e+01;5.223681927e-01;3.856145126e+00;9.626266920e+04;4.081174705e+01
2021-03-19T10:38:04;5.916502476e+00;6.725868702e+00;7.105758190e+00;7.181743145e+00;3.983885956e+01;4.656184769e+01;4.718822479e+01;4.730092621e+01;4.732373810e+01;5.752261877e-01;3.145831604e+00;9.626403530e+04;4.584445836e+01
2021-03-19T10:43:04;6.561053276e+00;7.143309116e+00;7.309421062e+00;7.342643261e+00;4.485272217e+01;5.196513748e+01;5.234943008e+01;5.241198349e+01;5.242843628e+01;5.966249704e-01;2.997942705e+00;9.626644794e+04;5.123446694e+01
2021-03-19T10:48:04;4.902278423e+00;5.384310722e+00;5.546450615e+00;5.578874588e+00;3.341258621e+01;3.877794266e+01;3.911132431e+01;3.916736221e+01;3.918097687e+01;5.778248310e-01;3.034360720e+00;9.626645966e+04;5.219915873e+01
2021-03-19T10:53:04;4.971023083e+00;5.766950607e+00;6.179936409e+00;6.262534142e+00;3.322477341e+01;3.899948883e+01;3.963984299e+01;3.975748062e+01;3.977989960e+01;5.669726133e-01;3.088512751e+00;9.626000881e+04;5.477137718e+01
2021-03-19T10:58:04;4.608661652e+00;4.873485088e+00;4.873487949e+00;4.873487949e+00;3.181385994e+01;3.665298462e+01;3.678102112e+01;3.679641342e+01;3.680392838e+01;5.059148073e-01;3.096746396e+00;9.625858170e+04;5.557492859e+01
2021-03-19T11:03:04;4.473190308e+00;4.848880291e+00;4.944914818e+00;4.964120388e+00;3.062513161e+01;3.545108414e+01;3.569214249e+01;3.573057556e+01;3.574119568e+01;5.852748156e-01;3.189216618e+00;9.626009755e+04;5.437635561e+01
2021-03-19T11:08:04;5.245184898e+00;6.189002514e+00;6.708931923e+00;6.812918186e+00;3.483494949e+01;4.104128265e+01;4.181930923e+01;4.196402740e+01;4.199059296e+01;5.777789354e-01;2.986542287e+00;9.625987534e+04;5.147929044e+01
2021-03-19T11:13:04;5.792311668e+00;6.125149727e+00;6.125153542e+00;6.125153542e+00;3.998466492e+01;4.606662750e+01;4.622755051e+01;4.624689484e+01;4.625633621e+01;5.268443823e-01;3.294987469e+00;9.625546488e+04;5.290356259e+01
2021-03-19T11:18:03;4.970985413e+00;5.256628513e+00;5.256631851e+00;5.256631851e+00;3.431500244e+01;3.953456497e+01;3.967267227e+01;3.968927383e+01;3.969737625e+01;3.987303972e-01;3.856778489e+00;9.625371748e+04;5.010054913e+01
2021-03-19T11:23:03;5.413985729e+00;5.725084305e+00;5.725088120e+00;5.725088120e+00;3.737305832e+01;4.305777740e+01;4.320818710e+01;4.322627258e+01;4.323509598e+01;5.233287811e-01;4.373604052e+00;9.625021301e+04;4.736115371e+01
2021-03-19T11:28:03;4.358371258e+00;4.608812332e+00;4.608815193e+00;4.608815193e+00;3.008609200e+01;3.466240692e+01;3.478349304e+01;3.479804993e+01;3.480515289e+01;4.692292213e-01;4.728606698e+00;9.624232143e+04;4.382447843e+01
2021-03-19T11:33:03;4.894627571e+00;5.175883293e+00;5.175886154e+00;5.175886154e+00;3.378789902e+01;3.892728806e+01;3.906327438e+01;3.907962036e+01;3.908760071e+01;5.058205128e-01;5.034524487e+00;9.623243343e+04;4.083546159e+01
2021-03-19T11:38:03;4.430937290e+00;4.685548306e+00;4.685551167e+00;4.685551167e+00;3.058701897e+01;3.523953247e+01;3.536263275e+01;3.537742996e+01;3.538465500e+01;5.160186291e-01;5.431015788e+00;9.623474724e+04;4.075124081e+01
2021-03-19T11:43:03;4.850730419e+00;5.129463196e+00;5.129466534e+00;5.129466534e+00;3.348487473e+01;3.857817078e+01;3.871293640e+01;3.872913742e+01;3.873704147e+01;4.124296904e-01;5.792673145e+00;9.623223131e+04;3.991233852e+01
2021-03-19T11:48:03;4.233629227e+00;4.802549362e+00;5.066108227e+00;5.118819714e+00;2.852906990e+01;3.332865906e+01;3.376680374e+01;3.384542084e+01;3.386145401e+01;5.557073355e-01;6.013088513e+00;9.623092128e+04;3.794768241e+01
2021-03-19T11:53:03;4.308548450e+00;5.213927269e+00;5.746298313e+00;5.852774143e+00;2.833642578e+01;3.357601929e+01;3.434316254e+01;3.448779678e+01;3.451326752e+01;7.193028331e-01;5.901930694e+00;9.623317949e+04;3.771158221e+01
2021-03-19T11:58:03;4.260736942e+00;4.505567551e+00;4.505570412e+00;4.505570412e+00;2.941211510e+01;3.388591385e+01;3.400428772e+01;3.401851654e+01;3.402546310e+01;4.866065979e-01;5.970335489e+00;9.622863127e+04;3.626416770e+01
2021-03-19T12:03:03;3.904405832e+00;4.819040775e+00;5.377701283e+00;5.489431858e+00;2.547719765e+01;3.032777023e+01;3.111565208e+01;3.126536751e+01;3.129109192e+01;6.226465702e-01;5.952284219e+00;9.622251545e+04;3.601628693e+01
2021-03-19T12:08:03;4.615665436e+00;4.880890846e+00;4.880894184e+00;4.880894184e+00;3.186220551e+01;3.670868301e+01;3.683691788e+01;3.685233307e+01;3.685985565e+01;5.301917791e-01;5.977302647e+00;9.621975672e+04;3.693882940e+01
2021-03-19T12:13:03;4.553990841e+00;5.041669369e+00;5.224576473e+00;5.261161327e+00;3.095349884e+01;3.598107147e+01;3.633002853e+01;3.638998795e+01;3.640374756e+01;5.508389473e-01;6.183150747e+00;9.621687652e+04;3.841446618e+01
2021-03-19T12:18:03;4.355158806e+00;4.605414867e+00;4.605417728e+00;4.605417728e+00;3.006391335e+01;3.463685608e+01;3.475785065e+01;3.477239990e+01;3.477949905e+01;4.903699160e-01;6.241738371e+00;9.621601641e+04;3.592785451e+01
2021-03-19T12:23:03;4.626945496e+00;4.892819405e+00;4.892822266e+00;4.892822266e+00;3.194007492e+01;3.679839706e+01;3.692694092e+01;3.694239807e+01;3.694993973e+01;4.995723963e-01;6.159715709e+00;9.621483391e+04;3.673614533e+01
2021-03-19T12:28:03;4.349344730e+00;4.599267006e+00;4.599269867e+00;4.599269867e+00;3.002377892e+01;3.459061813e+01;3.471145248e+01;3.472597885e+01;3.473306656e+01;4.783821106e-01;6.089093941e+00;9.621489308e+04;3.788411239e+01
2021-03-19T12:33:03;4.411215305e+00;4.664692402e+00;4.664695263e+00;4.664695263e+00;3.045087433e+01;3.508267593e+01;3.520523071e+01;3.521996307e+01;3.522715378e+01;5.324116945e-01;6.051724597e+00;9.621928566e+04;3.788418949e+01
2021-03-19T12:38:03;5.179354668e+00;6.022752285e+00;6.464468956e+00;6.552812099e+00;3.458704376e+01;4.061912155e+01;4.130020523e+01;4.142556763e+01;4.144931793e+01;6.074196100e-01;5.827825559e+00;9.621102977e+04;3.675500031e+01
2021-03-19T12:43:03;5.014364243e+00;5.813856125e+00;6.227710724e+00;6.310482502e+00;3.352167130e+01;3.934306335e+01;3.998567581e+01;4.010367203e+01;4.012619019e+01;5.566986799e-01;5.863611364e+00;9.621359731e+04;3.706612557e+01
2021-03-19T12:48:03;5.362967491e+00;5.998314381e+00;6.263111115e+00;6.316066265e+00;3.632168579e+01;4.230875778e+01;4.277978134e+01;4.286246872e+01;4.288038635e+01;6.386337280e-01;5.732185690e+00;9.620742538e+04;3.916933163e+01
2021-03-19T12:53:03;4.721180916e+00;4.992469788e+00;4.992472649e+00;4.992472649e+00;3.259058762e+01;3.754785538e+01;3.767901993e+01;3.769478989e+01;3.770248413e+01;5.019567013e-01;5.570991577e+00;9.620698577e+04;3.835157590e+01
2021-03-19T12:58:03;4.128180027e+00;5.021619797e+00;5.552722931e+00;5.658939362e+00;2.709469414e+01;3.214318466e+01;3.290377045e+01;3.304748917e+01;3.307262802e+01;6.630614996e-01;5.683099043e+00;9.621090173e+04;3.896196940e+01
2021-03-19T13:03:03;4.908161163e+00;5.190194130e+00;5.190197468e+00;5.190197468e+00;3.388132095e+01;3.903492355e+01;3.917127991e+01;3.918767548e+01;3.919567490e+01;5.135952234e-01;5.927265797e+00;9.620948337e+04;4.057509605e+01
2021-03-19T13:08:03;4.519733429e+00;5.157503128e+00;5.463478565e+00;5.524667740e+00;3.039206696e+01;3.554908752e+01;3.604675674e+01;3.613670731e+01;3.615467834e+01;6.151537895e-01;6.046340880e+00;9.620622060e+04;4.092700178e+01
2021-03-19T13:13:03;4.319107533e+00;5.350481510e+00;5.984335423e+00;6.111105919e+00;2.814135742e+01;3.352843857e+01;3.441929245e+01;3.458879089e+01;3.461779785e+01;5.776379108e-01;5.909531224e+00;9.621249828e+04;4.295268551e+01
2021-03-19T13:18:03;4.650821209e+00;4.918066978e+00;4.918070316e+00;4.918070316e+00;3.210488892e+01;3.698828125e+01;3.711749268e+01;3.713302612e+01;3.714060593e+01;4.287279844e-01;5.841126476e+00;9.620246344e+04;4.731660260e+01
2021-03-19T13:23:03;4.669125557e+00;6.066509724e+00;6.980302811e+00;7.163064003e+00;2.981836128e+01;3.594924927e+01;3.719027710e+01;3.742943192e+01;3.746871185e+01;7.207923532e-01;6.000104259e+00;9.619835942e+04;4.671609988e+01
2021-03-19T13:28:03;4.369815826e+00;4.620914459e+00;4.620917320e+00;4.620917320e+00;3.016509247e+01;3.475342560e+01;3.487482834e+01;3.488942337e+01;3.489654922e+01;4.693590403e-01;6.065975616e+00;9.619355740e+04;4.479601391e+01
2021-03-19T13:33:03;4.617918968e+00;5.493786812e+00;5.987892628e+00;6.086711407e+00;3.057308006e+01;3.608607101e+01;3.681526947e+01;3.695157623e+01;3.697622681e+01;6.075257063e-01;6.012138446e+00;9.619028388e+04;4.289037413e+01
2021-03-19T13:38:03;4.301784039e+00;5.354634285e+00;6.006676674e+00;6.137084007e+00;2.797374344e+01;3.336708069e+01;3.427957535e+01;3.445346451e+01;3.448307037e+01;7.187310457e-01;6.158132260e+00;9.618737373e+04;4.276508988e+01
2021-03-19T13:43:03;4.215547562e+00;5.050170898e+00;5.529607296e+00;5.625495911e+00;2.783421898e+01;3.290499878e+01;3.360518265e+01;3.373655701e+01;3.376004410e+01;5.927551985e-01;6.204052274e+00;9.618744344e+04;4.118133229e+01
2021-03-19T13:48:03;3.346873760e+00;3.539192200e+00;3.539194345e+00;3.539194345e+00;2.310366440e+01;2.661790276e+01;2.671088600e+01;2.672206497e+01;2.672751999e+01;4.508042336e-01;6.420351692e+00;9.618579617e+04;4.057716173e+01
