Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x7c759c9e
SPS30 serial number: E7D536CB98CF8EA6
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:28:28;1.991454005e+00;2.782326221e+00;3.329783440e+00;3.439274311e+00;1.230155849e+01;1.512845993e+01;1.584957695e+01;1.599016285e+01;1.601238060e+01;7.646621466e-01;1.440701688e+01;9.551831363e+04;2.341471641e+01
2021-03-15T10:33:28;1.367755771e+00;2.483244896e+00;3.322426796e+00;3.490262270e+00;7.225830078e+00;9.789968491e+00;1.084853840e+01;1.105841255e+01;1.108972263e+01;7.859057188e-01;1.318892296e+01;9.551880607e+04;2.440916883e+01
2021-03-15T10:38:28;1.448485136e+00;1.667057276e+00;1.776590586e+00;1.798497796e+00;9.709754944e+00;1.137790203e+01;1.155135155e+01;1.158298683e+01;1.158914375e+01;5.729410648e-01;1.149356437e+01;9.551048407e+04;2.630974994e+01
2021-03-15T10:43:28;1.084717870e+00;1.147047997e+00;1.147048712e+00;1.147048712e+00;7.487870693e+00;8.626831055e+00;8.656967163e+00;8.660590172e+00;8.662358284e+00;3.927078247e-01;1.080504209e+01;9.550047074e+04;2.869331668e+01
2021-03-15T10:48:28;1.252525926e+00;1.908195734e+00;2.380594730e+00;2.475074768e+00;7.398886204e+00;9.349020958e+00;9.958325386e+00;1.007808208e+01;1.009649372e+01;8.432441354e-01;9.869496502e+00;9.550162721e+04;3.010465784e+01
2021-03-15T10:53:28;1.544152379e+00;1.632882476e+00;1.632883549e+00;1.632883549e+00;1.065937328e+01;1.228074265e+01;1.232364273e+01;1.232880020e+01;1.233131695e+01;5.086994171e-01;9.821357661e+00;9.550777290e+04;2.956934104e+01
2021-03-15T10:58:28;1.452419877e+00;1.535878897e+00;1.535879850e+00;1.535879850e+00;1.002613926e+01;1.155118942e+01;1.159154034e+01;1.159639168e+01;1.159875870e+01;4.776984453e-01;9.689926091e+00;9.550258873e+04;2.972388933e+01
2021-03-15T11:03:28;1.366399407e+00;1.444915533e+00;1.444916368e+00;1.444916368e+00;9.432333946e+00;1.086706257e+01;1.090502357e+01;1.090958786e+01;1.091181469e+01;5.338374376e-01;9.693409817e+00;9.549331556e+04;3.105826409e+01
2021-03-15T11:08:28;1.293404818e+00;1.931214809e+00;2.387258530e+00;2.478466749e+00;7.724261284e+00;9.695334435e+00;1.028588581e+01;1.040177536e+01;1.041968822e+01;7.950944304e-01;9.612967456e+00;9.549003155e+04;3.016846928e+01
2021-03-15T11:13:28;1.422642827e+00;1.777006745e+00;1.997640014e+00;2.041767359e+00;9.238000870e+00;1.102834988e+01;1.133619690e+01;1.139492607e+01;1.140489101e+01;6.954916716e-01;9.311467604e+00;9.548533051e+04;2.981972147e+01
2021-03-15T11:18:28;1.539065599e+00;1.627503514e+00;1.627504587e+00;1.627504587e+00;1.062425995e+01;1.224028873e+01;1.228304672e+01;1.228818703e+01;1.229069614e+01;4.670969248e-01;8.937127835e+00;9.548809171e+04;2.999087553e+01
2021-03-15T11:23:28;8.289250135e-01;8.765567541e-01;8.765572906e-01;8.765572906e-01;5.722117901e+00;6.592494011e+00;6.615523338e+00;6.618291855e+00;6.619643211e+00;4.674975872e-01;8.602376950e+00;9.549081623e+04;3.027710530e+01
2021-03-15T11:28:28;1.314604282e+00;1.390144110e+00;1.390145063e+00;1.390145063e+00;9.074790001e+00;1.045513248e+01;1.049165535e+01;1.049604607e+01;1.049818897e+01;5.251193047e-01;8.565323240e+00;9.549890665e+04;3.008025416e+01
2021-03-15T11:33:27;1.245238185e+00;1.440042138e+00;1.539791584e+00;1.559741497e+00;8.332561493e+00;9.774147034e+00;9.930052757e+00;9.958615303e+00;9.964102745e+00;5.365768671e-01;8.378471438e+00;9.549343553e+04;3.037470969e+01
2021-03-15T11:38:27;1.610325575e+00;1.702858210e+00;1.702859282e+00;1.702859282e+00;1.111617088e+01;1.280702305e+01;1.285176086e+01;1.285713959e+01;1.285976505e+01;4.077097178e-01;8.301197249e+00;9.549651752e+04;3.013232212e+01
