Data Measurement of Sensor: SPS30 
Start Time: 10.12.2019 12:56:55 
Sensortype: Particle Sensor 
Timestamp; ; Mass PM1.0 [ug/m^3]; Mass PM2.5 [ug/m^3]; Mass PM4.0 [ug/m^3]; Mass PM10.0 [ug/m^3]; Number PM0.5 [#/cm^3]; Number PM1.0 [#/cm^3]; Number PM2.5 [#/cm^3]; Number PM4.0 [#/cm^3]; Number PM10.0 [#/cm^3]; Typical Particle Size [um];
10.12.2019; 12:57:35; 1.302133083e+01 ; 1.450504398e+01 ; 1.510026836e+01 ; 1.521933556e+01 ; 8.816403961e+01 ; 1.027435074e+02 ; 1.038735046e+02 ; 1.040496292e+02 ; 1.040967255e+02 ; 5.343538523e-01 ;
10.12.2019; 13:12:35; 1.250966167e+01 ; 1.531103516e+01 ; 1.699647141e+01 ; 1.733357620e+01 ; 8.177394104e+01 ; 9.733384705e+01 ; 9.970247650e+01 ; 1.001204758e+02 ; 1.002027206e+02 ; 6.748397946e-01 ;
10.12.2019; 13:27:35; 1.415278530e+01 ; 1.623556137e+01 ; 1.726301003e+01 ; 1.746852303e+01 ; 9.482517242e+01 ; 1.112022324e+02 ; 1.128687897e+02 ; 1.131452332e+02 ; 1.132090836e+02 ; 6.395730972e-01 ;
10.12.2019; 13:42:35; 1.169101810e+01 ; 1.348764515e+01 ; 1.439799213e+01 ; 1.458008099e+01 ; 7.816915894e+01 ; 9.178350067e+01 ; 9.323120117e+01 ; 9.347329712e+01 ; 9.352809143e+01 ; 6.103084683e-01 ;
10.12.2019; 13:57:35; 1.196575642e+01 ; 1.347941017e+01 ; 1.414796352e+01 ; 1.428169250e+01 ; 8.069759369e+01 ; 9.426477051e+01 ; 9.544321442e+01 ; 9.563222504e+01 ; 9.567955017e+01 ; 5.342651606e-01 ;
10.12.2019; 14:12:35; 1.291148853e+01 ; 1.563913631e+01 ; 1.724621964e+01 ; 1.756765556e+01 ; 8.474874115e+01 ; 1.006236115e+02 ; 1.029156876e+02 ; 1.033174973e+02 ; 1.033979950e+02 ; 5.958076119e-01 ;
10.12.2019; 14:27:35; 1.065957069e+01 ; 1.194110203e+01 ; 1.248253536e+01 ; 1.259084034e+01 ; 7.203085327e+01 ; 8.404151154e+01 ; 8.502893829e+01 ; 8.518523407e+01 ; 8.522560883e+01 ; 5.691044927e-01 ;
10.12.2019; 14:42:35; 1.147469139e+01 ; 1.409354687e+01 ; 1.567939758e+01 ; 1.599658298e+01 ; 7.490375519e+01 ; 8.923194122e+01 ; 9.145054626e+01 ; 9.184284210e+01 ; 9.191962433e+01 ; 6.730043888e-01 ;
10.12.2019; 14:57:35; 1.099368858e+01 ; 1.261742210e+01 ; 1.342027187e+01 ; 1.358085823e+01 ; 7.364641571e+01 ; 8.637451935e+01 ; 8.767453003e+01 ; 8.789034271e+01 ; 8.794008636e+01 ; 5.482051969e-01 ;
10.12.2019; 15:12:35; 1.179847145e+01 ; 1.388255978e+01 ; 1.502056408e+01 ; 1.524817753e+01 ; 7.831151581e+01 ; 9.235688019e+01 ; 9.407051086e+01 ; 9.436384583e+01 ; 9.442641449e+01 ; 6.646651626e-01 ;
