Data Measurement of Sensor: SPS30 
Start Time: 10.12.2019 12:56:14 
Sensortype: Particle Sensor 
Timestamp; ; Mass PM1.0 [ug/m^3]; Mass PM2.5 [ug/m^3]; Mass PM4.0 [ug/m^3]; Mass PM10.0 [ug/m^3]; Number PM0.5 [#/cm^3]; Number PM1.0 [#/cm^3]; Number PM2.5 [#/cm^3]; Number PM4.0 [#/cm^3]; Number PM10.0 [#/cm^3]; Typical Particle Size [um];
10.12.2019; 12:56:57; 1.381827831e+01 ; 1.769347382e+01 ; 2.018712997e+01 ; 2.068586349e+01 ; 8.871327972e+01 ; 1.068552475e+02 ; 1.100815506e+02 ; 1.106611786e+02 ; 1.107652588e+02 ; 7.424882650e-01 ;
10.12.2019; 13:11:57; 1.547460270e+01 ; 1.756366539e+01 ; 1.853475380e+01 ; 1.872896767e+01 ; 1.040715714e+02 ; 1.218426819e+02 ; 1.234225388e+02 ; 1.236844406e+02 ; 1.237456207e+02 ; 6.471075416e-01 ;
10.12.2019; 13:26:57; 1.181667137e+01 ; 1.270964718e+01 ; 1.288282299e+01 ; 1.291745567e+01 ; 8.094512177e+01 ; 9.372118378e+01 ; 9.429315948e+01 ; 9.437231445e+01 ; 9.440177155e+01 ; 5.032946467e-01 ;
10.12.2019; 13:41:57; 1.245305157e+01 ; 1.355321407e+01 ; 1.386447525e+01 ; 1.392672539e+01 ; 8.497037506e+01 ; 9.861441803e+01 ; 9.936091614e+01 ; 9.947172546e+01 ; 9.950669861e+01 ; 5.359168649e-01 ;
10.12.2019; 13:56:57; 1.177824402e+01 ; 1.357236576e+01 ; 1.447664261e+01 ; 1.465749741e+01 ; 7.878403473e+01 ; 9.254099274e+01 ; 9.392783356e+01 ; 9.416230011e+01 ; 9.421387482e+01 ; 5.453215837e-01 ;
10.12.2019; 14:11:57; 1.150055218e+01 ; 1.248515034e+01 ; 1.274718094e+01 ; 1.279958630e+01 ; 7.853717804e+01 ; 9.110208893e+01 ; 9.176313019e+01 ; 9.186001587e+01 ; 9.189152527e+01 ; 5.537201762e-01 ;
10.12.2019; 14:26:57; 1.072403336e+01 ; 1.171240902e+01 ; 1.201360703e+01 ; 1.207384396e+01 ; 7.308686066e+01 ; 8.488284302e+01 ; 8.556270599e+01 ; 8.566517639e+01 ; 8.569627380e+01 ; 5.484521985e-01 ;
10.12.2019; 14:41:57; 1.153364372e+01 ; 1.294828701e+01 ; 1.355682564e+01 ; 1.367852783e+01 ; 7.786631012e+01 ; 9.095055389e+01 ; 9.199942017e+01 ; 9.217012024e+01 ; 9.221222687e+01 ; 5.931805968e-01 ;
10.12.2019; 14:56:57; 1.030976295e+01 ; 1.210472202e+01 ; 1.307797241e+01 ; 1.327261639e+01 ; 6.849008179e+01 ; 8.078582001e+01 ; 8.220256805e+01 ; 8.244640350e+01 ; 8.249709320e+01 ; 5.793424249e-01 ;
10.12.2019; 15:11:57; 1.101573181e+01 ; 1.239269924e+01 ; 1.299482822e+01 ; 1.311525059e+01 ; 7.431551361e+01 ; 8.684143829e+01 ; 8.786656189e+01 ; 8.803404999e+01 ; 8.807488251e+01 ; 5.934857130e-01 ;
10.12.2019; 15:26:57; 1.059009933e+01 ; 1.498369217e+01 ; 1.804703522e+01 ; 1.865970039e+01 ; 6.499959564e+01 ; 8.051348114e+01 ; 8.427223969e+01 ; 8.496141052e+01 ; 8.507620239e+01 ; 7.971012592e-01 ;
10.12.2019; 15:41:57; 9.729710579e+00 ; 1.087040901e+01 ; 1.134112453e+01 ; 1.143526649e+01 ; 6.579814911e+01 ; 7.677634430e+01 ; 7.761356354e+01 ; 7.774851227e+01 ; 7.778273010e+01 ; 5.835497379e-01 ;
10.12.2019; 15:56:57; 1.146926212e+01 ; 1.275925922e+01 ; 1.326990891e+01 ; 1.337203884e+01 ; 7.767675018e+01 ; 9.055591583e+01 ; 9.149344635e+01 ; 9.164309692e+01 ; 9.168211365e+01 ; 5.883716345e-01 ;
10.12.2019; 16:11:57; 1.138482285e+01 ; 1.367046165e+01 ; 1.499083042e+01 ; 1.525490093e+01 ; 7.499479675e+01 ; 8.891594696e+01 ; 9.075462341e+01 ; 9.107610321e+01 ; 9.113955688e+01 ; 6.176378727e-01 ;
10.12.2019; 16:26:57; 9.430270195e+00 ; 1.007615566e+01 ; 1.016033459e+01 ; 1.017716885e+01 ; 6.473820496e+01 ; 7.485862732e+01 ; 7.525477600e+01 ; 7.530648041e+01 ; 7.532833862e+01 ; 4.848032594e-01 ;
10.12.2019; 16:41:57; 8.128039360e+00 ; 1.009876728e+01 ; 1.131572819e+01 ; 1.155912113e+01 ; 5.283001709e+01 ; 6.315215683e+01 ; 6.477102661e+01 ; 6.505886078e+01 ; 6.511249542e+01 ; 7.225636840e-01 ;
10.12.2019; 16:56:57; 1.084428406e+01 ; 1.157541943e+01 ; 1.166283321e+01 ; 1.168031502e+01 ; 7.446965790e+01 ; 8.609445953e+01 ; 8.653955078e+01 ; 8.659700775e+01 ; 8.662185669e+01 ; 4.858432412e-01 ;
10.12.2019; 17:11:57; 8.166025162e+00 ; 1.012845135e+01 ; 1.133692551e+01 ; 1.157862282e+01 ; 5.311368561e+01 ; 6.346424866e+01 ; 6.507487488e+01 ; 6.536103821e+01 ; 6.541448212e+01 ; 7.172448039e-01 ;
10.12.2019; 17:26:57; 8.711811066e+00 ; 1.100748062e+01 ; 1.246027565e+01 ; 1.275083351e+01 ; 5.623936462e+01 ; 6.751028442e+01 ; 6.941110992e+01 ; 6.975116730e+01 ; 6.981316376e+01 ; 6.941155791e-01 ;
10.12.2019; 17:41:57; 7.977126598e+00 ; 1.040772438e+01 ; 1.200388432e+01 ; 1.232311440e+01 ; 5.080691910e+01 ; 6.149888992e+01 ; 6.353619766e+01 ; 6.390410614e+01 ; 6.396895218e+01 ; 7.342602015e-01 ;
10.12.2019; 17:56:57; 9.019895554e+00 ; 1.157536411e+01 ; 1.322408962e+01 ; 1.355383873e+01 ; 5.785326004e+01 ; 6.972476196e+01 ; 7.185416412e+01 ; 7.223698425e+01 ; 7.230557251e+01 ; 7.195033431e-01 ;
10.12.2019; 18:11:57; 6.878445625e+00 ; 7.273694992e+00 ; 7.273701191e+00 ; 7.273701191e+00 ; 4.737934875e+01 ; 5.467538834e+01 ; 5.489581680e+01 ; 5.492046738e+01 ; 5.493454742e+01 ; 4.813896418e-01 ;
10.12.2019; 18:26:57; 6.757920265e+00 ; 7.433743477e+00 ; 7.666425705e+00 ; 7.712961197e+00 ; 4.594561005e+01 ; 5.343896866e+01 ; 5.391526031e+01 ; 5.398893738e+01 ; 5.400984573e+01 ; 5.742390752e-01 ;
10.12.2019; 18:41:57; 7.181730747e+00 ; 7.849214077e+00 ; 8.055438042e+00 ; 8.096682549e+00 ; 4.893349075e+01 ; 5.683942413e+01 ; 5.729975128e+01 ; 5.736932755e+01 ; 5.739029312e+01 ; 5.517398119e-01 ;
10.12.2019; 18:56:57; 8.125616074e+00 ; 8.592531204e+00 ; 8.592535973e+00 ; 8.592535973e+00 ; 5.596996689e+01 ; 6.458890533e+01 ; 6.484928894e+01 ; 6.487841797e+01 ; 6.489505768e+01 ; 4.549284279e-01 ;
10.12.2019; 19:11:57; 7.313974857e+00 ; 9.278410912e+00 ; 1.052813911e+01 ; 1.077808189e+01 ; 4.713767242e+01 ; 5.664210129e+01 ; 5.827147293e+01 ; 5.856334686e+01 ; 5.861629868e+01 ; 7.427009940e-01 ;
10.12.2019; 19:26:57; 7.120761395e+00 ; 8.877972603e+00 ; 9.968974113e+00 ; 1.018717003e+01 ; 4.621852112e+01 ; 5.529620743e+01 ; 5.674219131e+01 ; 5.699965286e+01 ; 5.704738617e+01 ; 6.518429518e-01 ;
10.12.2019; 19:41:57; 7.586824894e+00 ; 8.853760719e+00 ; 9.526293755e+00 ; 9.660798073e+00 ; 5.051427460e+01 ; 5.950152588e+01 ; 6.049534988e+01 ; 6.066550446e+01 ; 6.070148468e+01 ; 5.551584363e-01 ;
10.12.2019; 19:56:57; 8.577565193e+00 ; 1.151883888e+01 ; 1.350037861e+01 ; 1.389668465e+01 ; 5.394316101e+01 ; 6.581056976e+01 ; 6.829730988e+01 ; 6.874927521e+01 ; 6.882705688e+01 ; 7.494757175e-01 ;
10.12.2019; 20:11:57; 8.894460678e+00 ; 1.029465675e+01 ; 1.101422787e+01 ; 1.115814114e+01 ; 5.939935303e+01 ; 6.983937073e+01 ; 7.092759705e+01 ; 7.111244965e+01 ; 7.115251923e+01 ; 6.570879817e-01 ;
10.12.2019; 20:26:57; 9.143047333e+00 ; 9.740220070e+00 ; 9.798333168e+00 ; 9.809953690e+00 ; 6.282740021e+01 ; 7.260672760e+01 ; 7.296458435e+01 ; 7.300971985e+01 ; 7.303018951e+01 ; 4.857924283e-01 ;
10.12.2019; 20:41:57; 8.705147743e+00 ; 9.566153526e+00 ; 9.858155251e+00 ; 9.916554451e+00 ; 5.920441818e+01 ; 6.884611511e+01 ; 6.945101166e+01 ; 6.954428864e+01 ; 6.957099152e+01 ; 5.332273245e-01 ;
10.12.2019; 20:56:57; 9.062825203e+00 ; 1.025129128e+01 ; 1.079168224e+01 ; 1.089975452e+01 ; 6.102386093e+01 ; 7.139205933e+01 ; 7.228567505e+01 ; 7.243303680e+01 ; 7.246801758e+01 ; 6.014803648e-01 ;
10.12.2019; 21:11:57; 1.118998528e+01 ; 1.228973961e+01 ; 1.265940762e+01 ; 1.273334026e+01 ; 7.611875153e+01 ; 8.850467682e+01 ; 8.927587891e+01 ; 8.939458466e+01 ; 8.942872620e+01 ; 5.886194110e-01 ;
