Data Measurement of Sensor: SPS30 
Start Time: 10.12.2019 12:56:14 
Sensortype: Particle Sensor 
Timestamp; ; Mass PM1.0 [ug/m^3]; Mass PM2.5 [ug/m^3]; Mass PM4.0 [ug/m^3]; Mass PM10.0 [ug/m^3]; Number PM0.5 [#/cm^3]; Number PM1.0 [#/cm^3]; Number PM2.5 [#/cm^3]; Number PM4.0 [#/cm^3]; Number PM10.0 [#/cm^3]; Typical Particle Size [um];
10.12.2019; 12:56:54; 1.188552380e+01 ; 1.295336819e+01 ; 1.326486111e+01 ; 1.332715988e+01 ; 8.120565796e+01 ; 9.407604218e+01 ; 9.483155060e+01 ; 9.494211578e+01 ; 9.497726440e+01 ; 5.033127069e-01 ;
10.12.2019; 13:11:54; 1.233490944e+01 ; 1.329973125e+01 ; 1.350694847e+01 ; 1.354839134e+01 ; 8.457662201e+01 ; 9.777305603e+01 ; 9.842639923e+01 ; 9.851685333e+01 ; 9.854965973e+01 ; 5.105757117e-01 ;
10.12.2019; 13:26:54; 1.120280170e+01 ; 1.266554737e+01 ; 1.332839775e+01 ; 1.346096706e+01 ; 7.558458710e+01 ; 8.822654724e+01 ; 8.935465240e+01 ; 8.953609467e+01 ; 8.958080292e+01 ; 5.851627588e-01 ;
10.12.2019; 13:41:54; 1.266636181e+01 ; 1.422386837e+01 ; 1.489534378e+01 ; 1.502964211e+01 ; 8.566110992e+01 ; 9.984677887e+01 ; 1.010344315e+02 ; 1.012232590e+02 ; 1.012713699e+02 ; 5.681536794e-01 ;
10.12.2019; 13:56:54; 1.181543636e+01 ; 1.335104275e+01 ; 1.404436207e+01 ; 1.418302727e+01 ; 7.973294067e+01 ; 9.305825806e+01 ; 9.424156189e+01 ; 9.443171692e+01 ; 9.447868347e+01 ; 5.577977896e-01 ;
10.12.2019; 14:11:54; 1.094500542e+01 ; 1.354912281e+01 ; 1.514769554e+01 ; 1.546740913e+01 ; 7.138186646e+01 ; 8.504866791e+01 ; 8.722217560e+01 ; 8.759834290e+01 ; 8.767188263e+01 ; 6.895564198e-01 ;
10.12.2019; 14:26:54; 1.141958618e+01 ; 1.305302620e+01 ; 1.384393692e+01 ; 1.400212097e+01 ; 7.674870300e+01 ; 8.979474640e+01 ; 9.107449341e+01 ; 9.128356171e+01 ; 9.133274841e+01 ; 6.107995510e-01 ;
10.12.2019; 14:41:54; 1.049766541e+01 ; 1.377278519e+01 ; 1.593521786e+01 ; 1.636770058e+01 ; 6.683451843e+01 ; 8.081325531e+01 ; 8.360679626e+01 ; 8.409919739e+01 ; 8.418948364e+01 ; 6.557824612e-01 ;
10.12.2019; 14:56:54; 9.951224327e+00 ; 1.193071651e+01 ; 1.306998253e+01 ; 1.329783535e+01 ; 6.571434784e+01 ; 7.770556641e+01 ; 7.932779694e+01 ; 7.960411835e+01 ; 7.966111755e+01 ; 6.465687156e-01 ;
10.12.2019; 15:11:54; 9.630279541e+00 ; 1.107654190e+01 ; 1.179917526e+01 ; 1.194370079e+01 ; 6.457899475e+01 ; 7.565786743e+01 ; 7.679981232e+01 ; 7.698774719e+01 ; 7.703098297e+01 ; 5.519622564e-01 ;
10.12.2019; 15:26:54; 9.323886871e+00 ; 1.058012867e+01 ; 1.116322517e+01 ; 1.127984333e+01 ; 6.282629395e+01 ; 7.339144135e+01 ; 7.436573792e+01 ; 7.452332306e+01 ; 7.456150818e+01 ; 5.713620186e-01 ;
10.12.2019; 15:41:54; 1.040764999e+01 ; 1.324194813e+01 ; 1.505179977e+01 ; 1.541376591e+01 ; 6.712671661e+01 ; 8.052342224e+01 ; 8.291669464e+01 ; 8.333499146e+01 ; 8.341399384e+01 ; 6.866743565e-01 ;
